ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td
1,2017,2017-09-17,2,23.303,NWE,@,NOR,W 36-20,*,2,1,5,5.00,0,50.0%,2.50,0,0,,0
2,2017,2017-09-24,3,23.310,NWE,,HOU,W 36-33,,1,1,19,19.00,0,100.0%,19.00,0,0,,0
3,2017,2017-10-01,4,23.317,NWE,,CAR,L 30-33,,1,0,0,,0,0.0%,0.00,0,0,,0
4,2017,2017-10-05,5,23.321,NWE,@,TAM,W 19-14,,1,0,0,,0,0.0%,0.00,0,0,,0
5,2017,2017-10-15,6,23.331,NWE,@,NYJ,W 24-17,,0,0,0,,0,0.0%,,0,0,,0
6,2017,2017-10-22,7,23.338,NWE,,ATL,W 23-7,,0,0,0,,0,0.0%,,0,0,,0
7,2017,2017-10-29,8,23.345,NWE,,LAC,W 21-13,,1,1,13,13.00,0,100.0%,13.00,0,0,,0
8,2017,2017-11-12,9,23.359,NWE,@,DEN,W 41-16,,0,0,0,,0,0.0%,,0,0,,0
9,2017,2017-11-19,10,24.001,NWE,@,OAK,W 33-8,,0,0,0,,0,0.0%,,0,0,,0
10,2017,2017-11-26,11,24.008,NWE,,MIA,W 35-17,,0,0,0,,0,0.0%,,0,0,,0
11,2017,2017-12-03,12,24.015,NWE,@,BUF,W 23-3,,1,0,0,,0,0.0%,0.00,0,0,,0
12,2017,2017-12-11,13,24.023,NWE,@,MIA,L 20-27,,0,0,0,,0,0.0%,,0,0,,0
13,2017,2017-12-17,14,24.029,NWE,@,PIT,W 27-24,,1,0,0,,0,0.0%,0.00,0,0,,0
14,2017,2017-12-24,15,24.036,NWE,,BUF,W 37-16,,2,1,5,5.00,0,50.0%,2.50,1,5,5.00,0
15,2017,2017-12-31,16,24.043,NWE,,NYJ,W 26-6,,1,0,0,,0,0.0%,0.00,0,0,,0
16,2018,2018-09-16,2,24.302,NWE,@,JAX,L 20-31,*,3,3,35,11.67,0,100.0%,11.67,0,0,,0
