ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,def_int,def_int_yds,def_int_td
1,1976,1976-09-12,1,22.346,NYJ,@,CLE,L 17-38,,,,,,,
2,1976,1976-09-19,2,22.353,NYJ,@,DEN,L 3-46,,,,,,,
3,1976,1976-09-26,3,22.360,NYJ,@,MIA,L 0-16,,,,,,,
4,1976,1976-10-03,4,23.001,NYJ,@,SFO,L 6-17,,,,,,,
5,1976,1976-10-10,5,23.008,NYJ,,BUF,W 17-14,,,,,,,
6,1976,1976-10-18,6,23.016,NYJ,@,NWE,L 7-41,,,,,,,
7,1976,1976-10-24,7,23.022,NYJ,,BAL,L 0-20,,,,,,,
8,1976,1976-10-31,8,23.029,NYJ,@,BUF,W 19-14,0,0,,0,1,31,0
9,1976,1976-11-07,9,23.036,NYJ,,MIA,L 7-27,,,,,,,
10,1976,1976-11-14,10,23.043,NYJ,,TAM,W 34-0,,,,,,,
11,1976,1976-11-21,11,23.050,NYJ,,NWE,L 24-38,,,,,,,
12,1976,1976-11-28,12,23.057,NYJ,@,BAL,L 16-33,,,,,,,
13,1976,1976-12-05,13,23.064,NYJ,,WAS,L 16-37,,,,,,,
14,1976,1976-12-12,14,23.071,NYJ,,CIN,L 3-42,,,,,,,
15,1977,1977-09-18,1,23.351,NYJ,@,HOU,L 0-20,,,,,,,
16,1977,1977-09-25,2,23.358,NYJ,,BAL,L 12-20,,,,,,,
17,1977,1977-10-02,3,24.000,NYJ,,NWE,W 30-27,,,,,,,
18,1977,1977-10-09,4,24.007,NYJ,@,BUF,W 24-19,,,,,,,
19,1977,1977-10-16,5,24.014,NYJ,@,MIA,L 17-21,,,,,,,
20,1977,1977-10-23,6,24.021,NYJ,,OAK,L 27-28,,,,,,,
21,1977,1977-10-30,7,24.028,NYJ,@,NWE,L 13-24,1,25,25.00,0,0,0,0
22,1977,1977-11-06,8,24.035,NYJ,,MIA,L 10-14,,,,,,,
23,1977,1977-11-13,9,24.042,NYJ,,SEA,L 0-17,,,,,,,
24,1977,1977-11-20,10,24.049,NYJ,@,BAL,L 12-33,,,,,,,
25,1977,1977-11-27,11,24.056,NYJ,,PIT,L 20-23,,,,,,,
26,1977,1977-12-04,12,24.063,NYJ,@,NOR,W 16-13,,,,,,,
27,1977,1977-12-11,13,24.070,NYJ,,BUF,L 10-14,0,0,,0,1,36,0
28,1977,1977-12-18,14,24.077,NYJ,@,PHI,L 0-27,,,,,,,
29,1978,1978-09-03,1,24.336,NYJ,,MIA,W 33-20,,,,,,,
30,1978,1978-09-10,2,24.343,NYJ,@,BUF,W 21-20,,,,,,,
31,1978,1978-09-17,3,24.350,NYJ,,SEA,L 17-24,,,,,,,
32,1978,1978-09-24,4,24.357,NYJ,@,WAS,L 3-23,,,,,,,
33,1978,1978-10-01,5,24.364,NYJ,,PIT,L 17-28,,,,,,,
34,1978,1978-10-08,6,25.006,NYJ,,BUF,W 45-14,,,,,,,
35,1978,1978-10-15,7,25.013,NYJ,@,BAL,W 33-10,,,,,,,
36,1978,1978-10-22,8,25.020,NYJ,,STL,W 23-10,,,,,,,
37,1978,1978-10-29,9,25.027,NYJ,@,NWE,L 21-55,,,,,,,
38,1978,1978-11-05,10,25.034,NYJ,@,DEN,W 31-28,,,,,,,
39,1978,1978-11-12,11,25.041,NYJ,@,PHI,L 9-17,,,,,,,
40,1978,1978-11-19,12,25.048,NYJ,,NWE,L 17-19,,,,,,,
41,1978,1978-11-26,13,25.055,NYJ,@,MIA,W 24-13,,,,,,,
42,1978,1978-12-03,14,25.062,NYJ,,BAL,W 24-16,,,,,,,
43,1978,1978-12-10,15,25.069,NYJ,@,CLE,L 34-37,,,,,,,
44,1978,1978-12-17,16,25.076,NYJ,,DAL,L 7-30,0,0,,0,1,4,0
