ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring
1,1991,1991-09-01,1,25.152,DET,@,WAS,L 0-45,,1,16,16.00,0,,,0,0,,0,0,0
2,1991,1991-09-08,2,25.159,DET,,GNB,W 23-14,,3,39,13.00,1,,,0,0,,0,1,6
3,1991,1991-09-15,3,25.166,DET,,MIA,W 17-13,,2,29,14.50,1,,,0,0,,0,1,6
4,1991,1991-09-22,4,25.173,DET,@,IND,W 33-24,,1,11,11.00,1,,,0,0,,0,1,6
5,1991,1991-09-29,5,25.180,DET,,TAM,W 31-3,,3,66,22.00,1,,,0,0,,0,1,6
6,1991,1991-10-06,6,25.187,DET,,MIN,W 24-20,,7,73,10.43,1,,,0,0,,0,1,6
7,1991,1991-10-20,7,25.201,DET,@,SFO,L 3-35,,0,0,,0,,,,,,,,
8,1991,1991-10-27,8,25.208,DET,,DAL,W 34-10,,4,57,14.25,1,,,0,0,,0,1,6
9,1991,1991-11-03,9,25.215,DET,@,CHI,L 10-20,,3,54,18.00,0,,,0,0,,0,0,0
10,1991,1991-11-10,10,25.222,DET,@,TAM,L 21-30,,2,15,7.50,0,,,0,0,,0,0,0
11,1991,1991-11-17,11,25.229,DET,,RAM,W 21-10,,4,52,13.00,0,,,0,0,,0,0,0
12,1991,1991-11-24,12,25.236,DET,@,MIN,W 34-14,,1,9,9.00,0,,,0,0,,0,0,0
13,1991,1991-11-28,13,25.240,DET,,CHI,W 16-6,,2,33,16.50,0,,,0,0,,0,0,0
14,1991,1991-12-08,14,25.250,DET,,NYJ,W 34-20,,4,91,22.75,1,,,0,0,,0,1,6
15,1991,1991-12-15,15,25.257,DET,@,GNB,W 21-17,,0,0,,0,,,,,,,,
16,1991,1991-12-22,16,25.264,DET,@,BUF,W 17-14,,2,47,23.50,0,,,0,0,,0,0,0
17,1992,1992-09-06,1,26.157,DET,@,CHI,L 24-27,9,5,114,22.80,1,55.6%,12.67,0,0,,0,1,6
18,1992,1992-09-13,2,26.164,DET,,MIN,W 31-17,5,3,34,11.33,1,60.0%,6.80,0,0,,0,1,6
19,1992,1992-09-20,3,26.171,DET,@,WAS,L 10-13,6,1,67,67.00,1,16.7%,11.17,0,0,,0,1,6
20,1992,1992-09-27,4,26.178,DET,,TAM,L 23-27,9,5,66,13.20,0,55.6%,7.33,0,0,,0,0,0
21,1992,1992-10-04,5,26.185,DET,,NOR,L 7-13,11,6,84,14.00,0,54.5%,7.64,0,0,,0,0,0
22,1992,1992-10-15,6,26.196,DET,@,MIN,L 14-31,4,1,13,13.00,0,25.0%,3.25,0,0,,0,0,0
23,1992,1992-10-25,7,26.206,DET,@,TAM,W 38-7,4,2,45,22.50,1,50.0%,11.25,0,0,,0,1,6
24,1992,1992-11-01,8,26.213,DET,,GNB,L 13-27,4,0,0,,0,0.0%,0.00,,,,,,
25,1992,1992-11-08,9,26.220,DET,,DAL,L 3-37,1,0,0,,0,0.0%,0.00,,,,,,
26,1992,1992-11-15,10,26.227,DET,@,PIT,L 14-17,9,6,115,19.17,1,66.7%,12.78,0,0,,0,1,6
27,1992,1992-11-22,11,26.234,DET,@,CIN,W 19-13,4,0,0,,0,0.0%,0.00,,,,,,
28,1992,1992-11-26,12,26.238,DET,,HOU,L 21-24,3,1,7,7.00,0,33.3%,2.33,0,0,,0,0,0
29,1992,1992-12-06,13,26.248,DET,@,GNB,L 10-38,2,0,0,,0,0.0%,0.00,,,,,,
30,1992,1992-12-20,15,26.262,DET,,CHI,W 16-3,5,3,41,13.67,0,60.0%,8.20,0,0,,0,0,0
31,1992,1992-12-28,16,26.270,DET,@,SFO,L 6-24,2,0,0,,0,0.0%,0.00,,,,,,
32,1993,1993-09-05,1,27.156,DET,,ATL,W 30-13,2,0,0,,0,0.0%,0.00,,,,,,
33,1993,1993-09-12,2,27.163,DET,@,NWE,W 19-16,2,0,0,,0,0.0%,0.00,,,,,,
34,1993,1993-09-19,3,27.170,DET,@,NOR,L 3-14,3,3,17,5.67,0,100.0%,5.67,0,0,,0,0,0
35,1993,1993-09-26,4,27.177,DET,,PHO,W 26-20,6,3,102,34.00,0,50.0%,17.00,0,0,,0,0,0
36,1993,1993-10-03,5,27.184,DET,@,TAM,L 10-27,4,3,88,29.33,0,75.0%,22.00,0,0,,0,0,0
37,1993,1993-10-17,6,27.198,DET,,SEA,W 30-10,,0,0,,0,0.0%,,,,,,,
38,1993,1993-10-24,7,27.205,DET,@,RAM,W 16-13,2,1,10,10.00,0,50.0%,5.00,0,0,,0,0,0
