ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1982,1982-11-21,3,22.311,DET,@,CHI,L 17-20,,,,,,,,,,,,,,,,
2,1983,1983-09-18,3,23.247,BAL,@,BUF,L 23-28,0,0,,0,0,0,,0,0,0,,0,1,0,0.00,0
3,1983,1983-09-25,4,23.254,BAL,,CHI,W 22-19,0,0,,0,0,0,,0,3,74,24.67,0,0,0,,0
4,1983,1983-10-02,5,23.261,BAL,@,CIN,W 34-31,0,0,,0,0,0,,0,1,17,17.00,0,2,55,27.50,0
5,1983,1983-10-09,6,23.268,BAL,,NWE,W 12-7,0,0,,0,0,0,,0,1,22,22.00,0,2,13,6.50,0
6,1983,1983-10-16,7,23.275,BAL,,BUF,L 7-30,0,0,,0,0,0,,0,3,48,16.00,0,2,1,0.50,0
7,1983,1983-10-23,8,23.282,BAL,,MIA,L 7-21,0,0,,0,0,0,,0,4,83,20.75,0,4,20,5.00,0
8,1983,1983-10-30,9,23.289,BAL,@,PHI,W 22-21,0,0,,0,0,0,,0,2,38,19.00,0,2,15,7.50,0
9,1983,1983-11-06,10,23.296,BAL,@,NYJ,W 17-14,0,0,,0,0,0,,0,1,19,19.00,0,1,0,0.00,0
10,1983,1983-11-13,11,23.303,BAL,,PIT,L 13-24,0,0,,0,0,0,,0,1,12,12.00,0,0,0,,0
11,1983,1983-11-20,12,23.310,BAL,@,MIA,L 0-37,0,0,,0,0,0,,0,1,16,16.00,0,0,0,,0
12,1983,1983-11-27,13,23.317,BAL,@,CLE,L 23-41,,,,,,,,,0,0,,0,0,0,,0
13,1983,1983-12-04,14,23.324,BAL,,NYJ,L 6-10,,,,,,,,,0,0,,0,0,0,,0
14,1983,1983-12-11,15,23.331,BAL,@,DEN,L 19-21,0,0,,0,0,0,,0,1,11,11.00,0,0,0,,0
15,1983,1983-12-18,16,23.338,BAL,,HOU,W 20-10,,,,,,,,,0,0,,0,0,0,,0
16,1987,1987-10-18,5,27.277,BUF,,NYG,W 6-3,1,-1,-1.00,0,0,0,,0,0,0,,0,0,0,,0
17,1987,1987-11-08,8,27.298,BUF,,DEN,W 21-14,0,0,,0,0,0,,0,0,0,,0,,,,
18,1987,1987-11-15,9,27.305,BUF,@,CLE,L 21-27,0,0,,0,1,4,4.00,0,2,47,23.50,0,0,0,,0
19,1987,1987-11-22,10,27.312,BUF,@,NYJ,W 17-14,12,42,3.50,0,4,30,7.50,0,1,18,18.00,0,0,0,,0
20,1987,1987-11-29,11,27.319,BUF,,MIA,W 27-0,14,67,4.79,0,0,0,,0,1,24,24.00,0,0,0,,0
21,1987,1987-12-06,12,27.326,BUF,@,RAI,L 21-34,3,14,4.67,0,2,28,14.00,0,2,62,31.00,0,0,0,,0
22,1987,1987-12-13,13,27.333,BUF,@,IND,W 27-3,14,46,3.29,0,1,2,2.00,0,0,0,,0,0,0,,0
23,1987,1987-12-20,14,27.340,BUF,,NWE,L 7-13,0,0,,0,1,6,6.00,0,1,30,30.00,0,0,0,,0
24,1987,1987-12-27,15,27.347,BUF,@,PHI,L 7-17,3,9,3.00,0,0,0,,0,1,38,38.00,0,0,0,,0
