ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1985,1985-09-08,1,22.130,CHI,,TAM,W 38-28,0,0,,0,0,0,,0
2,1985,1985-09-15,2,22.137,CHI,,NWE,W 20-7,0,0,,0,2,9,4.50,0
3,1985,1985-09-19,3,22.141,CHI,@,MIN,W 33-24,0,0,,0,0,0,,0
4,1985,1985-09-29,4,22.151,CHI,,WAS,W 45-10,0,0,,0,0,0,,0
5,1985,1985-10-06,5,22.158,CHI,@,TAM,W 27-19,0,0,,0,0,0,,0
6,1985,1985-10-13,6,22.165,CHI,@,SFO,W 26-10,0,0,,0,0,0,,0
7,1985,1985-10-21,7,22.173,CHI,,GNB,W 23-7,0,0,,0,0,0,,0
8,1985,1985-10-27,8,22.179,CHI,,MIN,W 27-9,1,34,34.00,0,0,0,,0
