ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td
1,1953,1953-09-27,1,24.225,RAM,,NYG,W 21-7,3,12,4.00,0,1,9,9.00,0
2,1953,1953-10-11,3,24.239,RAM,@,GNB,W 38-20,7,24,3.43,2,0,0,,0
3,1953,1953-10-18,4,24.246,RAM,@,DET,W 31-19,4,26,6.50,0,0,0,,0
4,1953,1953-10-25,5,24.253,RAM,,CHI,W 38-24,3,-7,-2.33,0,0,0,,0
5,1953,1953-11-01,6,24.260,RAM,,DET,W 37-24,2,9,4.50,0,0,0,,0
6,1953,1953-11-08,7,24.267,RAM,,SFO,L 27-31,2,4,2.00,0,0,0,,0
7,1953,1953-11-15,8,24.274,RAM,@,CRD,T 24-24,4,27,6.75,0,0,0,,0
8,1953,1953-11-22,9,24.281,RAM,@,BAL,W 21-13,5,7,1.40,0,1,3,3.00,0
9,1953,1953-11-29,10,24.288,RAM,@,CHI,L 21-24,2,5,2.50,0,1,3,3.00,0
10,1953,1953-12-05,11,24.294,RAM,,BAL,W 45-2,2,-13,-6.50,0,1,-2,-2.00,0
11,1953,1953-12-12,12,24.301,RAM,,GNB,W 33-17,6,30,5.00,1,0,0,,0
12,1956,1956-10-07,2,27.236,RAM,@,SFO,L 30-33,1,-1,-1.00,0,0,0,,0
13,1956,1956-10-14,3,27.243,RAM,@,DET,L 21-24,1,7,7.00,0,0,0,,0
14,1956,1956-11-25,9,27.285,RAM,@,BAL,L 21-56,2,22,11.00,0,0,0,,0
15,1956,1956-12-02,10,27.292,RAM,@,PIT,L 13-30,2,5,2.50,0,0,0,,0
16,1958,1958-09-28,1,29.226,PHI,,WAS,L 14-24,0,0,,0,1,9,9.00,0
17,1958,1958-10-05,2,29.233,PHI,,NYG,W 27-24,4,6,1.50,0,0,0,,0
18,1958,1958-11-02,6,29.261,PHI,@,CRD,T 21-21,1,3,3.00,0,0,0,,0
19,1958,1958-11-09,7,29.268,PHI,,PIT,L 24-31,2,15,7.50,0,2,3,1.50,0
20,1958,1958-11-16,8,29.275,PHI,,CRD,W 49-21,0,0,,0,1,13,13.00,0
21,1958,1958-11-30,10,29.289,PHI,@,NYG,L 10-24,2,-1,-0.50,0,0,0,,0
