ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,2014,2014-10-05,5,27.019,CHI,@,CAR,L 24-31,,0,0,,0,2,45,22.50,0,0,0,,0,0,0
2,2014,2014-10-12,6,27.026,CHI,@,ATL,W 27-13,,0,0,,0,2,35,17.50,0,0,0,,0,0,0
3,2014,2014-10-19,7,27.033,CHI,,MIA,L 14-27,,0,0,,0,2,75,37.50,0,0,0,,0,0,0
4,2014,2014-10-26,8,27.040,CHI,@,NWE,L 23-51,,0,0,,0,5,94,18.80,0,0,0,,0,0,0
5,2014,2014-11-09,9,27.054,CHI,@,GNB,L 14-55,,1,-8,-8.00,0,10,288,28.80,1,1,13,13.00,0,0,6
6,2014,2014-11-16,10,27.061,CHI,,MIN,W 21-13,,0,0,,0,3,42,14.00,0,3,17,5.67,0,0,0
