ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring
1,1991,1991-09-01,1,25.060,PIT,,SDG,W 26-20,,1,4,25.00,89,1,0,118.7,0,0,22.25,27.25,1,5,5.00,0,0,0
2,1991,1991-10-06,5,25.095,PIT,@,IND,W 21-3,,1,1,100.00,5,0,0,87.5,0,0,5.00,5.00,0,0,,0,0,0
3,1991,1991-10-14,6,25.103,PIT,,NYG,L 20-23,,11,21,52.38,152,2,0,107.6,0,0,7.24,9.14,2,13,6.50,0,0,0
4,1991,1991-10-20,7,25.109,PIT,,SEA,L 7-27,*,14,22,63.64,184,1,1,86.2,4,22,8.36,7.23,1,6,6.00,0,0,0
5,1991,1991-10-27,8,25.116,PIT,@,CLE,L 14-17,*,19,35,54.29,221,0,2,49.8,2,14,6.31,3.74,2,1,0.50,1,1,6
6,1991,1991-11-03,9,25.123,PIT,@,DEN,L 13-20,*,18,33,54.55,204,1,1,70.8,6,41,6.18,5.42,4,37,9.25,0,0,0
7,1991,1991-11-10,10,25.130,PIT,@,CIN,W 33-27,*,24,39,61.54,309,3,0,112.0,2,15,7.92,9.46,1,1,1.00,0,0,0
8,1991,1991-11-17,11,25.137,PIT,,WAS,L 14-41,*,23,36,63.89,289,2,1,95.7,5,48,8.03,7.89,2,4,2.00,0,0,0
9,1991,1991-11-24,12,25.144,PIT,,HOU,W 26-14,*,12,29,41.38,155,1,1,56.0,1,0,5.34,4.48,3,9,3.00,0,0,0
10,1991,1991-11-28,13,25.148,PIT,@,DAL,L 10-20,*,17,36,47.22,167,0,0,60.8,3,33,4.64,4.64,1,1,1.00,0,0,0
11,1991,1991-12-08,14,25.158,PIT,@,HOU,L 6-31,*,16,30,53.33,188,0,1,58.8,7,41,6.27,4.77,1,5,5.00,0,0,0
12,1991,1991-12-22,16,25.172,PIT,,CLE,W 17-10,,0,0,,0,0,0,,0,,,,0,0,,0,,
13,1992,1992-09-06,1,26.065,PIT,@,HOU,W 29-24,*,14,23,60.87,223,2,0,122.2,3,22,9.70,11.43,3,-5,-1.67,0,0,0
14,1992,1992-09-13,2,26.072,PIT,,NYJ,W 27-10,*,11,22,50.00,185,0,2,40.9,5,30,8.41,4.32,3,-5,-1.67,0,0,0
15,1992,1992-09-20,3,26.079,PIT,@,SDG,W 23-6,*,17,24,70.83,215,2,1,108.9,1,10,8.96,8.75,4,-3,-0.75,1,1,6
16,1992,1992-09-27,4,26.086,PIT,@,GNB,L 3-17,*,16,41,39.02,224,0,0,57.4,2,16,5.46,5.46,1,5,5.00,0,0,0
17,1992,1992-10-11,5,26.100,PIT,@,CLE,L 9-17,*,25,32,78.13,241,0,0,98.0,1,11,7.53,7.53,3,7,2.33,0,0,0
18,1992,1992-10-19,6,26.108,PIT,,CIN,W 20-0,*,23,37,62.16,287,2,0,104.2,4,36,7.76,8.84,0,0,,0,0,0
19,1992,1992-10-25,7,26.114,PIT,@,KAN,W 27-3,*,13,22,59.09,114,1,0,88.1,1,5,5.18,6.09,5,0,0.00,0,0,0
20,1992,1992-11-01,8,26.121,PIT,,HOU,W 21-20,*,14,22,63.64,201,2,1,104.5,3,20,9.14,8.91,2,2,1.00,0,0,0
21,1992,1992-11-08,9,26.128,PIT,@,BUF,L 20-28,*,15,24,62.50,158,2,0,109.4,1,12,6.58,8.25,0,0,,0,0,0
22,1992,1992-11-15,10,26.135,PIT,,DET,W 17-14,*,17,31,54.84,182,1,1,69.6,3,33,5.87,5.06,2,8,4.00,0,0,0
23,1992,1992-11-29,12,26.149,PIT,@,CIN,W 21-9,*,10,18,55.56,149,0,1,59.7,1,8,8.28,5.78,3,-4,-1.33,0,0,0
24,1992,1992-12-06,13,26.156,PIT,,SEA,W 20-14,*,10,17,58.82,104,1,3,56.6,2,5,6.12,-0.65,1,0,0.00,0,0,0
25,1993,1993-09-05,1,27.064,PIT,,SFO,L 13-24,,9,16,56.25,92,0,0,72.9,2,18,5.75,5.75,1,9,9.00,0,0,0
26,1993,1993-09-12,2,27.071,PIT,@,RAM,L 0-27,*,17,33,51.52,169,0,1,53.7,5,49,5.12,3.76,2,0,0.00,0,0,0
27,1993,1993-09-19,3,27.078,PIT,,CIN,W 34-7,*,21,25,84.00,189,3,0,137.7,1,8,7.56,9.96,0,0,,0,0,0
28,1993,1993-09-27,4,27.086,PIT,@,ATL,W 45-17,*,19,25,76.00,259,2,0,135.2,0,0,10.36,11.96,2,8,4.00,0,0,0
29,1993,1993-10-10,5,27.099,PIT,,SDG,W 16-3,*,16,25,64.00,156,0,0,81.4,0,0,6.24,6.24,1,2,2.00,0,0,0
30,1993,1993-10-17,6,27.106,PIT,,NOR,W 37-14,*,12,25,48.00,137,1,1,61.6,1,11,5.48,4.48,0,0,,0,0,0
31,1993,1993-10-24,7,27.113,PIT,@,CLE,L 23-28,*,25,39,64.10,355,0,1,82.7,2,7,9.10,7.95,2,11,5.50,0,0,0
32,1993,1993-11-07,8,27.127,PIT,@,CIN,W 24-16,*,14,34,41.18,244,2,1,73.7,0,0,7.18,7.03,6,8,1.33,0,0,0
33,1993,1993-11-15,9,27.135,PIT,,BUF,W 23-0,*,16,27,59.26,212,1,0,96.5,4,39,7.85,8.59,0,0,,0,0,0
34,1993,1993-11-21,10,27.141,PIT,@,DEN,L 13-37,*,18,32,56.25,197,0,1,61.6,4,30,6.16,4.75,2,7,3.50,0,0,0
35,1993,1993-11-28,11,27.148,PIT,@,HOU,L 3-23,*,13,26,50.00,153,0,0,68.3,4,35,5.88,5.88,1,27,27.00,0,0,0
36,1993,1993-12-05,12,27.155,PIT,,NWE,W 17-14,*,17,32,53.13,115,2,0,82.2,3,23,3.59,4.84,0,0,,0,0,0
37,1993,1993-12-13,13,27.163,PIT,@,MIA,W 21-20,*,16,28,57.14,163,1,0,85.9,2,18,5.82,6.54,3,6,2.00,0,0,0
38,1993,1993-12-19,14,27.169,PIT,,HOU,L 17-26,*,15,37,40.54,256,1,1,62.4,4,31,6.92,6.24,1,1,1.00,0,0,0
39,1993,1993-12-26,15,27.176,PIT,@,SEA,L 6-16,*,20,43,46.51,285,0,1,58.8,2,21,6.63,5.58,4,33,8.25,0,0,0
40,1993,1994-01-02,16,27.183,PIT,,CLE,W 16-9,*,22,39,56.41,226,1,0,81.8,7,41,5.79,6.31,1,-1,-1.00,0,0,0
41,1994,1994-09-04,1,28.063,PIT,,DAL,L 9-26,*,13,26,50.00,127,0,0,64.1,9,56,4.88,4.88,2,7,3.50,1,1,6
42,1994,1994-09-11,2,28.070,PIT,@,CLE,W 17-10,*,15,25,60.00,199,1,0,98.6,0,0,7.96,8.76,4,15,3.75,0,0,0
43,1994,1994-09-18,3,28.077,PIT,,IND,W 31-21,*,22,35,62.86,254,2,1,91.8,2,15,7.26,7.11,1,4,4.00,0,0,0
44,1994,1994-09-25,4,28.084,PIT,@,SEA,L 13-30,*,21,43,48.84,282,1,4,39.1,0,0,6.56,2.84,1,8,8.00,0,0,0
45,1994,1994-10-03,5,28.092,PIT,,HOU,W 30-14,*,9,17,52.94,154,1,0,103.6,1,3,9.06,10.24,1,2,2.00,0,0,0
46,1994,1994-10-16,6,28.105,PIT,,CIN,W 14-10,*,15,22,68.18,190,2,0,125.2,8,61,8.64,10.45,4,10,2.50,0,0,0
47,1994,1994-10-23,7,28.112,PIT,@,NYG,W 10-6,*,16,29,55.17,138,0,1,53.5,2,17,4.76,3.21,2,-1,-0.50,0,0,0
48,1994,1994-10-30,8,28.119,PIT,@,ARI,L 17-20,*,18,31,58.06,260,1,1,82.7,4,28,8.39,7.58,3,13,4.33,0,0,0
49,1994,1994-11-06,9,28.126,PIT,@,HOU,W 12-9,*,15,25,60.00,154,0,0,77.7,3,19,6.16,6.16,4,24,6.00,0,0,0
50,1994,1994-11-14,10,28.134,PIT,,BUF,W 23-10,*,14,27,51.85,148,0,1,52.7,1,8,5.48,3.81,0,0,,0,0,0
51,1994,1994-12-04,13,28.154,PIT,@,CIN,W 38-15,*,17,24,70.83,131,2,0,111.6,1,8,5.46,7.13,2,-1,-0.50,0,0,0
52,1994,1994-12-11,14,28.161,PIT,,PHI,W 14-3,*,19,35,54.29,158,1,1,63.7,2,13,4.51,3.80,3,0,0.00,0,0,0
53,1994,1994-12-18,15,28.168,PIT,,CLE,W 17-7,*,10,18,55.56,175,1,0,107.4,2,22,9.72,10.83,3,0,0.00,0,0,0
54,1994,1994-12-24,16,28.174,PIT,@,SDG,L 34-37,*,8,13,61.54,73,1,0,102.4,0,0,5.62,7.15,1,-1,-1.00,0,0,0
55,1995,1995-09-03,1,29.062,PIT,,DET,W 23-20,*,7,10,70.00,63,0,0,86.7,0,0,6.30,6.30,1,0,0.00,0,0,0
56,1995,1995-10-08,6,29.097,PIT,@,JAX,L 16-20,*,19,35,54.29,282,1,0,90.4,0,0,8.06,8.63,1,0,0.00,0,0,0
57,1995,1995-10-19,7,29.108,PIT,,CIN,L 9-27,*,30,52,57.69,359,0,1,70.9,1,12,6.90,6.04,3,24,8.00,0,0,0
58,1995,1995-10-29,8,29.118,PIT,,JAX,W 24-7,*,17,25,68.00,178,2,0,115.1,0,0,7.12,8.72,6,10,1.67,0,0,0
59,1995,1995-11-05,9,29.125,PIT,@,CHI,W 37-34,*,34,52,65.38,341,2,2,80.7,5,43,6.56,5.60,1,2,2.00,0,0,0
60,1995,1995-11-13,10,29.133,PIT,,CLE,W 20-3,*,17,31,54.84,167,1,0,81.0,1,12,5.39,6.03,1,-2,-2.00,0,0,0
61,1995,1995-11-19,11,29.139,PIT,@,CIN,W 49-31,*,24,31,77.42,377,3,0,149.5,1,12,12.16,14.10,0,0,,0,0,0
62,1995,1995-11-26,12,29.146,PIT,@,CLE,W 20-17,*,21,30,70.00,251,1,0,106.4,1,10,8.37,9.03,7,-1,-0.14,0,0,0
63,1995,1995-12-03,13,29.153,PIT,,HOU,W 21-7,*,15,39,38.46,209,2,2,52.2,2,4,5.36,4.08,1,-1,-1.00,0,0,0
64,1995,1995-12-10,14,29.160,PIT,@,OAK,W 29-10,*,15,31,48.39,230,2,1,81.4,2,19,7.42,7.26,1,1,1.00,0,0,0
65,1995,1995-12-16,15,29.166,PIT,,NWE,W 41-27,*,14,25,56.00,195,2,1,91.2,1,10,7.80,7.60,0,0,,0,0,0
66,1995,1995-12-24,16,29.174,PIT,@,GNB,L 19-24,*,33,55,60.00,318,1,0,82.2,1,4,5.78,6.15,2,12,6.00,0,0,0
67,1996,1996-09-01,1,30.060,NYJ,@,DEN,L 6-31,*,7,13,53.85,50,0,1,30.9,8,53,3.85,0.38,3,7,2.33,0,0,0
68,1996,1996-09-08,2,30.067,NYJ,,IND,L 7-21,*,26,46,56.52,319,1,1,76.3,3,29,6.93,6.39,1,2,2.00,0,0,0
69,1996,1996-09-15,3,30.074,NYJ,@,MIA,L 27-36,*,25,44,56.82,325,3,3,74.5,2,21,7.39,5.68,1,17,17.00,0,0,0
70,1996,1996-09-22,4,30.081,NYJ,,NYG,L 6-13,*,22,38,57.89,149,0,1,55.7,4,19,3.92,2.74,0,0,,0,0,0
71,1996,1996-09-29,5,30.088,NYJ,@,WAS,L 16-31,*,27,40,67.50,292,0,1,78.3,1,5,7.30,6.18,0,0,,0,0,0
72,1996,1996-10-06,6,30.095,NYJ,,OAK,L 13-34,*,3,7,42.86,12,0,0,50.3,0,0,1.71,1.71,1,4,4.00,0,0,0
73,1997,1997-08-31,1,31.059,NYJ,@,SEA,W 41-3,*,18,25,72.00,270,5,0,146.7,0,0,10.80,14.80,1,-1,-1.00,0,0,0
74,1997,1997-09-07,2,31.066,NYJ,,BUF,L 22-28,*,16,37,43.24,218,1,2,49.2,8,55,5.89,4.00,2,1,0.50,0,0,0
75,1997,1997-09-14,3,31.073,NYJ,@,NWE,L 24-27,*,30,50,60.00,271,1,0,81.3,7,46,5.42,5.82,3,20,6.67,1,1,6
76,1997,1997-09-21,4,31.080,NYJ,,OAK,W 23-22,*,17,32,53.13,198,0,0,72.1,1,4,6.19,6.19,4,10,2.50,0,0,0
77,1997,1997-09-28,5,31.087,NYJ,@,CIN,W 31-14,*,20,34,58.82,212,3,0,106.5,0,0,6.24,8.00,4,2,0.50,0,0,0
78,1997,1997-10-05,6,31.094,NYJ,@,IND,W 16-12,*,15,28,53.57,129,0,1,51.0,1,1,4.61,3.00,2,-31,-15.50,0,0,0
79,1997,1997-10-12,7,31.101,NYJ,,MIA,L 20-31,*,24,37,64.86,319,2,0,110.1,5,31,8.62,9.70,1,3,3.00,0,0,0
80,1997,1997-10-19,8,31.108,NYJ,,NWE,W 24-19,*,6,15,40.00,59,0,0,51.8,1,5,3.93,3.93,0,0,,0,0,0
81,1997,1997-11-02,9,31.122,NYJ,,BAL,W 19-16,*,12,20,60.00,96,1,0,88.7,2,8,4.80,5.80,3,4,1.33,0,0,0
82,1997,1997-11-16,11,31.136,NYJ,@,CHI,W 23-15,,4,12,33.33,25,0,0,42.4,2,15,2.08,2.08,2,-2,-1.00,0,0,0
83,1997,1997-11-23,12,31.143,NYJ,,MIN,W 23-21,*,23,34,67.65,242,1,0,97.9,3,15,7.12,7.71,1,11,11.00,0,0,0
84,1997,1997-11-30,13,31.150,NYJ,@,BUF,L 10-20,*,25,47,53.19,292,1,1,70.5,3,28,6.21,5.68,3,-2,-0.67,0,0,0
85,1997,1997-12-07,14,31.157,NYJ,,IND,L 14-22,*,14,32,43.75,151,2,1,66.0,8,58,4.72,4.56,1,4,4.00,0,0,0
86,1997,1997-12-14,15,31.164,NYJ,,TAM,W 31-0,*,14,22,63.64,112,0,1,57.4,0,0,5.09,3.05,4,-2,-0.50,0,0,0
87,1997,1997-12-21,16,31.171,NYJ,@,DET,L 10-13,*,21,35,60.00,202,0,1,64.2,4,23,5.77,4.49,1,19,19.00,0,0,0
88,1998,1998-09-06,1,32.065,CIN,,TEN,L 14-23,*,24,32,75.00,200,1,1,88.0,1,4,6.25,5.47,1,5,5.00,0,0,0
89,1998,1998-09-13,2,32.072,CIN,@,DET,W 34-28,*,25,36,69.44,303,2,0,113.5,3,19,8.42,9.53,2,15,7.50,0,0,0
90,1998,1998-09-20,3,32.079,CIN,,GNB,L 6-13,*,16,30,53.33,151,0,0,67.5,3,19,5.03,5.03,0,0,,0,0,0
91,1998,1998-09-27,4,32.086,CIN,@,BAL,L 24-31,*,13,19,68.42,100,1,0,98.6,4,38,5.26,6.32,1,5,5.00,0,0,0
92,1998,1998-10-11,5,32.100,CIN,,PIT,W 25-20,*,20,26,76.92,298,3,0,152.4,3,17,11.46,13.77,1,4,4.00,0,0,0
93,1998,1998-10-18,6,32.107,CIN,@,TEN,L 14-44,*,11,22,50.00,192,1,0,95.3,2,14,8.73,9.64,2,5,2.50,0,0,0
94,1998,1998-10-25,7,32.114,CIN,@,OAK,L 10-27,*,16,26,61.54,137,1,0,88.1,4,28,5.27,6.04,0,0,,0,0,0
95,1998,1998-11-01,8,32.121,CIN,,DEN,L 26-33,*,20,37,54.05,257,3,0,103.1,2,12,6.95,8.57,1,2,2.00,0,0,0
96,1998,1998-11-08,9,32.128,CIN,@,JAX,L 11-24,*,17,30,56.67,128,0,1,53.2,3,22,4.27,2.77,1,0,0.00,0,0,0
97,1998,1998-11-15,10,32.135,CIN,@,MIN,L 3-24,*,10,17,58.82,77,0,0,70.0,3,17,4.53,4.53,1,-1,-1.00,0,0,0
98,1998,1998-11-22,11,32.142,CIN,,BAL,L 13-20,,1,1,100.00,2,0,0,79.2,0,0,2.00,2.00,0,0,,0,0,0
99,1998,1998-11-29,12,32.149,CIN,,JAX,L 17-34,,20,36,55.56,203,1,1,69.6,0,0,5.64,4.94,2,0,0.00,0,0,0
100,1998,1998-12-06,13,32.156,CIN,,BUF,L 20-33,*,19,31,61.29,168,2,1,83.8,3,25,5.42,5.26,1,-1,-1.00,0,0,0
101,1999,1999-09-19,2,33.078,TEN,,CLE,W 26-9,*,31,40,77.50,310,1,0,107.3,0,0,7.75,8.25,2,-1,-0.50,0,0,0
