ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2000,2000-09-03,1,22.241,GNB,,NYJ,L 16-20,,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
2,2000,2000-09-10,2,22.248,GNB,@,BUF,L 18-27,,3,2,12,6.00,0,66.7%,4.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
3,2000,2000-09-17,3,22.255,GNB,,PHI,W 6-3,,5,3,13,4.33,0,60.0%,2.60,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
4,2000,2000-09-24,4,22.262,GNB,@,ARI,W 29-3,*,4,3,34,11.33,0,75.0%,8.50,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
5,2000,2000-10-01,5,22.269,GNB,,CHI,L 24-27,*,8,5,54,10.80,0,62.5%,6.75,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
6,2000,2000-10-08,6,22.276,GNB,@,DET,L 24-31,,4,3,18,6.00,0,75.0%,4.50,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
7,2000,2000-10-15,7,22.283,GNB,,SFO,W 31-28,,5,4,40,10.00,0,80.0%,8.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
8,2000,2000-10-29,8,22.297,GNB,@,MIA,L 20-28,*,5,3,42,14.00,0,60.0%,8.40,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
9,2000,2000-11-06,9,22.305,GNB,,MIN,W 26-20,*,1,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
10,2000,2000-11-12,10,22.311,GNB,@,TAM,L 15-20,,6,3,45,15.00,1,50.0%,7.50,0,0,,0,0,0,,,,,,0,0,,0,1,6,0.0,,
11,2000,2000-11-19,11,22.318,GNB,,IND,W 26-24,,2,2,34,17.00,0,100.0%,17.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
12,2000,2000-11-27,12,22.326,GNB,@,CAR,L 14-31,*,5,2,11,5.50,0,40.0%,2.20,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
13,2000,2000-12-03,13,22.332,GNB,@,CHI,W 28-6,*,2,1,20,20.00,0,50.0%,10.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
14,2000,2000-12-10,14,22.339,GNB,,DET,W 26-13,,2,1,25,25.00,0,50.0%,12.50,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
15,2000,2000-12-17,15,22.346,GNB,@,MIN,W 33-28,*,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
16,2000,2000-12-24,16,22.353,GNB,,TAM,W 17-14,,2,1,11,11.00,0,50.0%,5.50,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
17,2001,2001-09-09,1,23.246,GNB,,DET,W 28-6,,5,4,45,11.25,1,80.0%,9.00,0,0,,0,0,0,,,,,,0,0,,0,1,6,0.0,,
18,2001,2001-09-24,2,23.261,GNB,,WAS,W 37-0,*,2,2,20,10.00,1,100.0%,10.00,0,0,,0,0,0,,,,,,0,0,,0,1,6,0.0,,
19,2001,2001-09-30,3,23.267,GNB,@,CAR,W 28-7,,3,3,34,11.33,1,100.0%,11.33,0,0,,0,0,0,,,,,,0,0,,0,1,6,0.0,,
20,2001,2001-10-07,4,23.274,GNB,@,TAM,L 10-14,*,4,1,8,8.00,0,25.0%,2.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
21,2001,2001-10-14,5,23.281,GNB,,BAL,W 31-23,*,3,2,4,2.00,2,66.7%,1.33,0,0,,0,0,0,,,,,,0,0,,0,2,12,0.0,,
22,2001,2001-10-21,6,23.288,GNB,@,MIN,L 13-35,*,2,2,9,4.50,1,100.0%,4.50,0,0,,0,0,0,,,,,,0,0,,0,1,6,0.0,,
23,2001,2001-11-04,7,23.302,GNB,,TAM,W 21-20,*,1,1,17,17.00,0,100.0%,17.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
24,2001,2001-11-11,8,23.309,GNB,@,CHI,W 20-12,*,3,2,17,8.50,0,66.7%,5.67,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
25,2001,2001-11-18,9,23.316,GNB,,ATL,L 20-23,*,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
26,2001,2001-11-22,10,23.320,GNB,@,DET,W 29-27,*,3,2,45,22.50,0,66.7%,15.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
27,2001,2001-12-03,11,23.331,GNB,@,JAX,W 28-21,*,5,3,8,2.67,1,60.0%,1.60,0,0,,0,0,0,,,,,,0,0,,0,1,6,0.0,,
28,2001,2001-12-09,12,23.337,GNB,,CHI,W 17-7,*,2,2,25,12.50,0,100.0%,12.50,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
