ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1994,1994-09-04,1,23.008,CHI,,TAM,W 21-9,,,,,,,0.0%,,,,,,0,0,,0,,,,,,
2,1994,1994-09-12,2,23.016,CHI,@,PHI,L 22-30,,0,0,0,,0,0.0%,,0,0,,0,1,14,14.00,0,0,0,0.0,0,0,0
3,1994,1994-09-18,3,23.022,CHI,,MIN,L 14-42,,0,,,,,0.0%,,,,,,0,0,,0,,,,,,
4,1994,1994-09-25,4,23.029,CHI,@,NYJ,W 19-7,,,,,,,0.0%,,,,,,0,0,,0,,,,,,
5,1994,1994-10-02,5,23.036,CHI,,BUF,W 20-13,,0,0,0,,0,0.0%,,0,0,,0,1,12,12.00,0,0,0,0.0,0,0,0
6,1994,1994-10-09,6,23.043,CHI,,NOR,W 17-7,,,,,,,0.0%,,,,,,0,0,,0,,,,,,
7,1994,1994-10-23,7,23.057,CHI,@,DET,L 16-21,,,,,,,0.0%,,,,,,0,0,,0,,,,,,
8,1994,1994-10-31,8,23.065,CHI,,GNB,L 6-33,,0,,,,,0.0%,,,,,,0,0,,0,,,,,,
9,1994,1994-11-06,9,23.071,CHI,@,TAM,W 20-6,,,,,,,0.0%,,,,,,0,0,,0,,,,,,
10,1994,1994-11-13,10,23.078,CHI,@,MIA,W 17-14,,0,,,,,0.0%,,,,,,0,0,,0,,,,,,
11,1994,1994-12-01,13,23.096,CHI,@,MIN,L 27-33,,,,,,,0.0%,,,,,,0,0,,0,,,,,,
12,1994,1994-12-11,14,23.106,CHI,@,GNB,L 3-40,,0,,,,,0.0%,,,,,,0,0,,0,,,,,,
13,1994,1994-12-18,15,23.113,CHI,,RAM,W 27-13,,,,,,,0.0%,,,,,,0,0,,0,,,,,,
14,1994,1994-12-24,16,23.119,CHI,,NWE,L 3-13,,,,,,,0.0%,,,,,,0,0,,0,,,,,,
15,1995,1995-09-03,1,24.007,CHI,,MIN,W 31-14,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,2.0,0,0,0
16,1995,1995-09-11,2,24.015,CHI,,GNB,L 24-27,,1,1,2,2.00,1,100.0%,2.00,0,0,,0,0,0,,0,1,6,1.0,0,0,0
17,1995,1995-09-17,3,24.021,CHI,@,TAM,W 25-6,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.5,0,0,0
18,1995,1995-09-24,4,24.028,CHI,@,STL,L 28-34,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,1.0,0,0,0
19,1995,1995-10-08,5,24.042,CHI,,CAR,W 31-27,,1,0,0,,0,0.0%,0.00,0,0,,0,,,,,0,,,,,
20,1995,1995-10-15,6,24.049,CHI,@,JAX,W 30-27,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,1.0,0,0,0
21,1995,1995-10-22,7,24.056,CHI,,HOU,W 35-32,,0,0,0,,0,0.0%,,0,0,,0,,,,,0,,,,,
22,1995,1995-10-30,8,24.064,CHI,@,MIN,W 14-6,,1,1,4,4.00,1,100.0%,4.00,0,0,,0,0,0,,0,1,6,1.0,0,0,0
23,1995,1995-11-05,9,24.070,CHI,,PIT,L 34-37,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,1.0,0,0,0
24,1995,1995-11-12,10,24.077,CHI,@,GNB,L 28-35,,0,0,0,,0,0.0%,,1,0,0.00,0,0,0,,0,0,0,0.0,0,0,0
25,1995,1995-11-19,11,24.084,CHI,,DET,L 17-24,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.5,0,0,0
26,1995,1995-11-26,12,24.091,CHI,@,NYG,W 27-24,,,0,0,,0,0.0%,,0,0,,0,,,,,0,,,,,
27,1995,1995-12-04,13,24.099,CHI,@,DET,L 7-27,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,1.0,0,0,0
28,1995,1995-12-10,14,24.105,CHI,@,CIN,L 10-16,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,1.0,0,0,0
29,1995,1995-12-17,15,24.112,CHI,,TAM,W 31-10,,0,0,0,,0,0.0%,,0,0,,0,,,,,0,,,,,
30,1995,1995-12-24,16,24.119,CHI,,PHI,W 20-14,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,1.0,0,0,0
31,1996,1996-09-02,1,25.006,CHI,,DAL,W 22-6,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,1.0,0,0,0
32,1996,1996-09-08,2,25.012,CHI,@,WAS,L 3-10,,0,0,0,,0,0.0%,,,,,,,,,,,,,,,
33,1996,1996-09-15,3,25.019,CHI,,MIN,L 14-20,,0,0,0,,0,0.0%,,,,,,,,,,,,,,,
34,1996,1996-09-22,4,25.026,CHI,@,DET,L 16-35,,1,1,1,1.00,1,100.0%,1.00,0,0,,0,0,0,,0,1,6,0.0,0,0,0
35,1996,1996-09-29,5,25.033,CHI,,OAK,W 19-17,,0,0,0,,0,0.0%,,,,,,,,,,,,,,,
36,1996,1996-10-28,8,25.062,CHI,@,MIN,W 15-13,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,1.0,0,0,0
37,1996,1996-11-03,9,25.068,CHI,,TAM,W 13-10,,0,0,0,,0,0.0%,,,,,,,,,,,,,,,
38,1996,1996-11-10,10,25.075,CHI,@,DEN,L 12-17,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,1.0,0,0,0
39,1996,1996-11-17,11,25.082,CHI,@,KAN,L 10-14,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,1.0,0,0,0
40,1996,1996-11-24,12,25.089,CHI,,DET,W 31-14,,0,0,0,,0,0.0%,,,,,,,,,,,,,,,
41,1996,1996-12-01,13,25.096,CHI,@,GNB,L 17-28,,0,0,0,,0,0.0%,,,,,,,,,,,,,,,
42,1996,1996-12-08,14,25.103,CHI,,STL,W 35-9,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,1.0,0,0,0
43,1996,1996-12-14,15,25.109,CHI,,SDG,W 27-14,,0,0,0,,0,0.0%,,,,,,,,,,,,,,,
44,1996,1996-12-22,16,25.117,CHI,@,TAM,L 19-34,,0,0,0,,0,0.0%,,,,,,,,,,,,,,,
45,1997,1997-09-01,1,26.005,CHI,@,GNB,L 24-38,,,,,,,0.0%,,,,,,,,,,,,,,,
