ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1965,1965-09-19,1,22.332,NYG,@,DAL,L 2-31,3,4,1.33,0,1,9,9.00,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,1,24,24.00,0,0,0,7,304,43.43,0
2,1965,1965-10-03,3,22.346,NYG,@,PIT,W 23-13,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,4,157,39.25,0
3,1965,1965-10-09,4,22.352,NYG,@,MIN,L 14-40,2,7,3.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,54,18.00,0,0,0,5,195,39.00,0
4,1965,1965-10-17,5,22.360,NYG,,PHI,W 35-27,4,13,3.25,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,52,26.00,0,0,0,3,110,36.67,0
5,1965,1965-10-24,6,23.002,NYG,,CLE,L 14-38,1,6,6.00,0,0,0,,0,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,0,0,,0,0,0,2,70,35.00,0
6,1965,1965-10-31,7,23.009,NYG,,STL,W 14-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,4,200,50.00,0
7,1965,1965-11-07,8,23.016,NYG,,WAS,L 7-23,1,0,0.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,74,24.67,0,0,0,5,215,43.00,0
8,1965,1965-11-14,9,23.023,NYG,@,CLE,L 21-34,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,5,109,21.80,0,0,0,4,135,33.75,0
9,1965,1965-11-21,10,23.030,NYG,@,STL,W 28-15,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,39,19.50,0,0,0,6,240,40.00,0
10,1965,1965-11-28,11,23.037,NYG,,CHI,L 14-35,2,7,3.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,4,49,12.25,0,0,0,4,176,44.00,0
11,1965,1965-12-05,12,23.044,NYG,,PIT,W 35-10,7,65,9.29,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,0,0.00,0,0,0,4,175,43.75,0
12,1965,1965-12-12,13,23.051,NYG,@,WAS,W 27-10,10,50,5.00,0,1,2,2.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,3,120,40.00,0
13,1965,1965-12-19,14,23.058,NYG,,DAL,L 20-38,5,22,4.40,0,2,11,5.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,4,171,42.75,0
14,1966,1966-09-11,1,23.324,NYG,@,PIT,T 34-34,11,11,1.00,0,2,11,5.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,5,229,45.80,0
15,1966,1966-09-18,2,23.331,NYG,@,DAL,L 7-52,2,4,2.00,0,2,4,2.00,0,0,0,,0,0,0,,0,0,,,1,6,6.00,0,0,0,3,125,41.67,0
16,1966,1966-09-25,3,23.338,NYG,@,PHI,L 17-35,2,-1,-0.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,2,67,33.50,0
17,1966,1966-10-02,4,23.345,NYG,,CLE,L 7-28,1,7,7.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,3,123,41.00,0
18,1966,1966-10-09,5,23.352,NYG,@,STL,L 19-24,22,81,3.68,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,2,84,42.00,0
19,1966,1966-10-16,6,23.359,NYG,,WAS,W 13-10,10,29,2.90,0,2,1,0.50,0,0,2,0.00,0,0,0,39.6,0,0,0.00,0.00,1,0,0.00,0,0,0,6,247,41.17,0
20,1966,1966-10-23,7,24.001,NYG,,PHI,L 3-31,6,12,2.00,0,1,26,26.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,4,160,40.00,0
21,1966,1966-11-06,8,24.015,NYG,,STL,L 17-20,4,3,0.75,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,6,228,38.00,0
22,1966,1966-11-13,9,24.022,NYG,@,RAM,L 14-55,7,0,0.00,0,1,1,1.00,0,0,0,,0,0,0,,0,0,,,1,14,14.00,0,0,0,3,126,42.00,0
