ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1985,1985-11-10,10,23.267,GNB,@,MIN,W 27-17,1,44,44.00,0
2,1985,1985-11-17,11,23.274,GNB,,NOR,W 38-14,4,133,33.25,0
3,1985,1985-11-24,12,23.281,GNB,@,RAM,L 17-34,7,307,43.86,0
4,1985,1985-12-01,13,23.288,GNB,,TAM,W 21-0,1,28,28.00,0
5,1985,1985-12-08,14,23.295,GNB,,MIA,L 24-34,3,92,30.67,0
6,1985,1985-12-15,15,23.302,GNB,@,DET,W 26-23,5,214,42.80,0
7,1985,1985-12-22,16,23.309,GNB,@,TAM,W 20-17,5,234,46.80,0
8,1986,1986-09-07,1,24.203,GNB,,HOU,L 3-31,3,105,35.00,0
9,1986,1986-09-14,2,24.210,GNB,@,NOR,L 10-24,2,77,38.50,0
10,1986,1986-09-22,3,24.218,GNB,,CHI,L 12-25,5,191,38.20,0
11,1986,1986-09-28,4,24.224,GNB,@,MIN,L 7-42,3,103,34.33,1
12,1986,1986-10-05,5,24.231,GNB,,CIN,L 28-34,5,208,41.60,0
13,1986,1986-10-12,6,24.238,GNB,,DET,L 14-21,5,213,42.60,0
14,1986,1986-10-19,7,24.245,GNB,@,CLE,W 17-14,4,130,32.50,0
15,1986,1986-10-26,8,24.252,GNB,,SFO,L 17-31,5,195,39.00,0
16,1986,1986-11-02,9,24.259,GNB,@,PIT,L 3-27,8,340,42.50,0
17,1986,1986-11-09,10,24.266,GNB,,WAS,L 7-16,3,127,42.33,0
18,1986,1986-11-16,11,24.273,GNB,,TAM,W 31-7,3,140,46.67,0
19,1986,1986-11-23,12,24.280,GNB,@,CHI,L 10-12,7,267,38.14,1
20,1986,1986-11-27,13,24.284,GNB,@,DET,W 44-40,2,107,53.50,0
21,1987,1987-09-13,1,25.209,GNB,,RAI,L 0-20,10,489,48.90,0
22,1987,1987-09-20,2,25.216,GNB,,DEN,T 17-17,9,321,35.67,0
23,1987,1987-10-25,6,25.251,GNB,@,DET,W 34-33,2,93,46.50,0
24,1987,1987-11-01,7,25.258,GNB,,TAM,L 17-23,5,200,40.00,0
25,1987,1987-11-08,8,25.265,GNB,,CHI,L 24-26,6,228,38.00,0
26,1987,1987-11-15,9,25.272,GNB,@,SEA,L 13-24,6,246,41.00,1
27,1987,1987-11-22,10,25.279,GNB,@,KAN,W 23-3,9,384,42.67,0
