ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring
1,2016,2016-09-11,1,23.214,NYG,@,DAL,W 20-19,*,4,3,43,14.33,1,75.0%,10.75,0,0,,0,1,6
2,2016,2016-09-18,2,23.221,NYG,,NOR,W 16-13,*,8,8,117,14.63,0,100.0%,14.63,0,0,,0,0,0
3,2016,2016-09-25,3,23.228,NYG,,WAS,L 27-29,*,7,5,73,14.60,1,71.4%,10.43,0,0,,0,1,6
4,2016,2016-10-03,4,23.236,NYG,@,MIN,L 10-24,*,7,4,30,7.50,0,57.1%,4.29,0,0,,0,0,0
5,2016,2016-10-09,5,23.242,NYG,@,GNB,L 16-23,*,7,2,14,7.00,0,28.6%,2.00,0,0,,0,0,0
6,2016,2016-10-16,6,23.249,NYG,,BAL,W 27-23,*,8,4,25,6.25,0,50.0%,3.13,0,0,,0,0,0
7,2016,2016-10-23,7,23.256,NYG,@,LAR,W 17-10,*,7,5,32,6.40,0,71.4%,4.57,0,0,,0,0,0
8,2016,2016-11-06,8,23.270,NYG,,PHI,W 28-23,*,6,3,50,16.67,1,50.0%,8.33,0,0,,0,1,6
9,2016,2016-11-14,9,23.278,NYG,,CIN,W 21-20,*,7,5,42,8.40,1,71.4%,6.00,0,0,,0,1,6
10,2016,2016-11-20,10,23.284,NYG,,CHI,W 22-16,*,11,5,50,10.00,1,45.5%,4.55,0,0,,0,1,6
11,2016,2016-11-27,11,23.291,NYG,@,CLE,W 27-13,*,0,0,0,,0,0.0%,,1,22,22.00,0,0,0
12,2016,2016-12-04,12,23.298,NYG,@,PIT,L 14-24,*,8,4,21,5.25,1,50.0%,2.63,0,0,,0,1,6
13,2016,2016-12-11,13,23.305,NYG,,DAL,W 10-7,*,4,3,39,13.00,0,75.0%,9.75,0,0,,0,0,0
14,2016,2016-12-18,14,23.312,NYG,,DET,W 17-6,*,5,4,56,14.00,1,80.0%,11.20,0,0,,0,1,6
15,2016,2016-12-22,15,23.316,NYG,@,PHI,L 19-24,*,11,7,61,8.71,1,63.6%,5.55,1,2,2.00,0,1,6
16,2016,2017-01-01,16,23.326,NYG,@,WAS,W 19-10,*,5,3,30,10.00,0,60.0%,6.00,1,7,7.00,0,0,0
17,2017,2017-09-10,1,24.212,NYG,@,DAL,L 3-19,*,8,7,44,6.29,0,87.5%,5.50,1,6,6.00,0,0,0
18,2017,2017-09-18,2,24.220,NYG,,DET,L 10-24,*,4,2,23,11.50,0,50.0%,5.75,2,7,3.50,0,0,0
19,2017,2017-09-24,3,24.226,NYG,@,PHI,L 24-27,*,10,7,133,19.00,1,70.0%,13.30,0,0,,0,1,6
20,2017,2017-10-01,4,24.233,NYG,@,TAM,L 23-25,,5,5,54,10.80,0,100.0%,10.80,0,0,,0,0,0
21,2017,2017-10-08,5,24.240,NYG,,LAC,L 22-27,*,2,1,9,9.00,0,50.0%,4.50,0,0,,0,0,0
22,2017,2017-11-05,8,24.268,NYG,,LAR,L 17-51,*,9,5,70,14.00,0,55.6%,7.78,0,0,,0,0,0
23,2017,2017-11-12,9,24.275,NYG,@,SFO,L 21-31,*,13,11,142,12.91,0,84.6%,10.92,0,0,,0,0,0
24,2017,2017-12-03,12,24.296,NYG,@,OAK,L 17-24,*,6,3,56,18.67,0,50.0%,9.33,0,0,,0,0,0
25,2017,2017-12-10,13,24.303,NYG,,DAL,L 10-30,*,3,2,16,8.00,0,66.7%,5.33,1,-9,-9.00,0,0,0
26,2017,2017-12-17,14,24.310,NYG,,PHI,L 29-34,*,16,11,139,12.64,1,68.8%,8.69,0,0,,0,1,6
27,2017,2017-12-24,15,24.317,NYG,@,ARI,L 0-23,*,8,5,45,9.00,0,62.5%,5.63,0,0,,0,0,0
28,2018,2018-09-09,1,25.211,NYG,,JAX,L 15-20,*,7,5,48,9.60,0,71.4%,6.86,0,0,,0,0,0
29,2018,2018-09-16,2,25.218,NYG,@,DAL,L 13-20,*,5,3,24,8.00,0,60.0%,4.80,0,0,,0,0,0
30,2018,2018-09-23,3,25.225,NYG,@,HOU,W 27-22,*,7,6,80,13.33,1,85.7%,11.43,0,0,,0,1,6
