ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1990,1990-09-10,1,22.360,SFO,@,NOR,W 13-12,0,0,,0,,0,0,,0,,,2,32,16.00,0,0,0,,0,0,0
2,1990,1990-09-16,2,23.001,SFO,,WAS,W 26-13,0,0,,0,,0,0,,0,,,3,54,18.00,0,0,0,,0,0,0
3,1990,1990-09-23,3,23.008,SFO,,ATL,W 19-13,0,0,,0,,0,0,,0,,,4,48,12.00,0,0,0,,0,0,0
4,1990,1990-10-07,4,23.022,SFO,@,HOU,W 24-21,6,22,3.67,0,,0,0,,0,,,1,26,26.00,0,0,0,,0,0,0
5,1990,1990-10-14,5,23.029,SFO,@,ATL,W 45-35,9,9,1.00,0,,3,27,9.00,0,,,4,40,10.00,0,0,0,,0,0,0
6,1990,1990-10-21,6,23.036,SFO,,PIT,W 27-7,17,90,5.29,0,,7,57,8.14,0,,,2,38,19.00,0,0,0,,0,0,0
7,1990,1990-10-28,7,23.043,SFO,,CLE,W 20-17,17,58,3.41,0,,3,15,5.00,0,,,2,26,13.00,0,0,0,,0,0,0
8,1990,1990-11-04,8,23.050,SFO,@,GNB,W 24-20,7,13,1.86,0,,2,38,19.00,0,,,3,65,21.67,0,0,0,,0,0,0
9,1990,1990-11-11,9,23.057,SFO,@,DAL,W 24-6,2,14,7.00,0,,0,0,,0,,,3,69,23.00,0,0,0,,0,0,0
10,1990,1990-11-18,10,23.064,SFO,,TAM,W 31-7,9,44,4.89,0,,4,32,8.00,0,,,2,41,20.50,0,0,0,,0,0,0
11,1990,1990-11-25,11,23.071,SFO,,RAM,L 17-28,0,0,,0,,0,0,,0,,,3,93,31.00,0,0,0,,0,0,0
12,1990,1990-12-03,12,23.079,SFO,,NYG,W 7-3,12,29,2.42,0,,1,9,9.00,0,,,1,21,21.00,0,0,0,,0,0,0
13,1990,1990-12-09,13,23.085,SFO,@,CIN,W 20-17,1,0,0.00,0,,0,0,,0,,,4,82,20.50,0,0,0,,0,0,0
14,1990,1990-12-17,14,23.093,SFO,@,RAM,W 26-10,13,124,9.54,1,,0,0,,0,,,3,70,23.33,0,0,0,,0,1,6
15,1990,1990-12-23,15,23.099,SFO,,NOR,L 10-13,11,30,2.73,0,,4,34,8.50,0,,,2,38,19.00,0,0,0,,0,0,0
16,1990,1990-12-30,16,23.106,SFO,@,MIN,W 20-17,10,27,2.70,0,,1,5,5.00,0,,,2,40,20.00,0,0,0,,0,0,0
17,1991,1991-09-02,1,23.352,SFO,@,NYG,L 14-16,4,8,2.00,0,,0,0,,0,,,2,33,16.50,0,0,0,,0,0,0
18,1991,1991-09-08,2,23.358,SFO,,SDG,W 34-14,6,13,2.17,0,,1,8,8.00,0,,,3,75,25.00,0,0,0,,0,0,0
19,1991,1991-09-15,3,24.000,SFO,@,MIN,L 14-17,1,-5,-5.00,0,,1,9,9.00,0,,,2,41,20.50,0,0,0,,0,0,0
20,1991,1991-09-22,4,24.007,SFO,,RAM,W 27-10,7,48,6.86,0,,1,17,17.00,0,,,1,2,2.00,0,0,0,,0,0,0
21,1991,1991-09-29,5,24.014,SFO,@,RAI,L 6-12,5,41,8.20,0,,1,9,9.00,0,,,2,65,32.50,0,0,0,,0,0,0
