ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,tackles_solo,tackles_assists
1,2016,2016-09-11,1,23.100,NOR,,OAK,L 34-35,,0,0,,0,0.0,3,0
2,2016,2016-09-18,2,23.107,NOR,@,NYG,L 13-16,,0,0,,0,0.0,2,1
3,2016,2016-09-26,3,23.115,NOR,,ATL,L 32-45,,1,0,0.00,0,0.0,0,0
4,2016,2016-10-02,4,23.121,NOR,@,SDG,W 35-34,,0,0,,0,0.0,0,0
5,2016,2016-10-23,6,23.142,NOR,@,KAN,L 21-27,,0,0,,0,0.0,1,0
6,2016,2016-10-30,7,23.149,NOR,,SEA,W 25-20,*,0,0,,0,0.0,1,0
7,2016,2016-11-13,9,23.163,NOR,,DEN,L 23-25,,0,0,,0,0.0,0,0
8,2016,2016-12-18,14,23.198,NOR,@,ARI,W 48-41,,0,0,,0,0.0,0,0
9,2016,2016-12-24,15,23.204,NOR,,TAM,W 31-24,,0,0,,0,0.0,0,0
10,2016,2017-01-01,16,23.212,NOR,@,ATL,L 32-38,,0,0,,0,0.0,1,0
11,2017,2017-09-11,1,24.100,NOR,@,MIN,L 19-29,,0,0,,0,0.0,3,0
12,2017,2017-09-17,2,24.106,NOR,,NWE,L 20-36,,0,0,,0,0.0,4,0
13,2017,2017-09-24,3,24.113,NOR,@,CAR,W 34-13,,0,0,,0,0.0,0,0
14,2017,2017-10-01,4,24.120,NOR,@,MIA,W 20-0,,0,0,,0,0.0,0,0
15,2017,2017-10-15,5,24.134,NOR,,DET,W 52-38,,0,0,,0,0.0,0,0
16,2017,2017-10-22,6,24.141,NOR,@,GNB,W 26-17,,0,0,,0,0.0,0,0
17,2017,2017-10-29,7,24.148,NOR,,CHI,W 20-12,,0,0,,0,0.0,0,0
18,2017,2017-11-05,8,24.155,NOR,,TAM,W 30-10,,0,0,,0,0.0,0,0
19,2017,2017-11-12,9,24.162,NOR,@,BUF,W 47-10,,0,0,,0,0.0,2,0
20,2017,2017-11-19,10,24.169,NOR,,WAS,W 34-31,,0,0,,0,0.0,2,1
21,2017,2017-11-26,11,24.176,NOR,@,LAR,L 20-26,*,0,0,,0,0.0,2,1
