ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2008,2008-09-08,1,22.110,DEN,@,OAK,W 41-14,*,11,9,146,16.22,1,81.8%,13.27,2,9,4.50,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,1,11,11.00,0,2,19,9.50,0,,1,6,0.0,0,0
2,2008,2008-09-14,2,22.116,DEN,,SDG,W 39-38,*,7,5,37,7.40,1,71.4%,5.29,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,1,6,6.00,0,1,1,8,0.0,0,0
3,2008,2008-09-21,3,22.123,DEN,,NOR,W 34-32,*,7,4,11,2.75,0,57.1%,1.57,1,6,6.00,0,0,0,,0,0,0,,0,,,,0,0,,0,1,22,22.00,0,,0,0,0.0,0,0
4,2008,2008-09-28,4,22.130,DEN,@,KAN,L 19-33,*,12,9,104,11.56,0,75.0%,8.67,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,1,36,36.00,0,,0,0,0.0,0,0
5,2008,2008-10-05,5,22.137,DEN,,TAM,W 16-13,*,4,3,23,7.67,0,75.0%,5.75,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,3,31,10.33,0,,0,0,0.0,0,0
6,2008,2008-10-20,7,22.152,DEN,@,NWE,L 7-41,*,12,9,71,7.89,0,75.0%,5.92,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,1,8,8.00,0,,0,0,0.0,0,0
7,2008,2008-11-02,8,22.165,DEN,,MIA,L 17-26,*,11,7,69,9.86,1,63.6%,6.27,0,0,,0,0,0,,0,0,0,,0,,,,4,164,41.00,0,1,16,16.00,0,,1,6,0.0,0,0
8,2008,2008-11-06,9,22.169,DEN,@,CLE,W 34-30,*,8,6,164,27.33,1,75.0%,20.50,0,0,,0,0,0,,0,0,0,,0,,,,3,72,24.00,0,1,2,2.00,0,,1,6,0.0,0,0
9,2008,2008-11-16,10,22.179,DEN,@,ATL,W 24-20,*,5,4,34,8.50,0,80.0%,6.80,3,7,2.33,0,0,0,,0,0,0,,0,,,,5,159,31.80,0,0,0,,0,,0,0,0.0,0,0
10,2008,2008-11-23,11,22.186,DEN,,OAK,L 10-31,*,6,2,14,7.00,0,33.3%,2.33,1,3,3.00,0,0,0,,0,0,0,,0,,,,2,48,24.00,0,1,1,1.00,0,,0,0,0.0,0,0
11,2008,2008-11-30,12,22.193,DEN,@,NYJ,W 34-17,*,5,5,84,16.80,1,100.0%,16.80,0,0,,0,0,0,,0,0,0,,0,,,,3,32,10.67,0,0,0,,0,,1,6,0.0,0,0
12,2008,2008-12-07,13,22.200,DEN,,KAN,W 24-17,*,7,6,42,7.00,0,85.7%,6.00,3,13,4.33,0,0,0,,0,0,0,,0,,,,2,40,20.00,0,0,0,,0,,0,0,0.0,0,0
13,2008,2008-12-14,14,22.207,DEN,@,CAR,L 10-30,*,8,6,48,8.00,0,75.0%,6.00,0,0,,0,0,0,,0,0,0,,0,,,,3,74,24.67,0,1,-3,-3.00,0,,0,0,0.0,1,0
