ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring
1,2001,2001-09-09,1,23.318,WAS,@,SDG,L 3-30,*,8,5,37,7.40,0,62.5%,4.63,0,0,,0,0,0,,0,0,0,,,,,,0,0
2,2001,2001-09-24,2,23.333,WAS,@,GNB,L 0-37,*,3,1,13,13.00,0,33.3%,4.33,0,0,,0,0,0,,0,0,0,,,,,,0,0
3,2001,2001-09-30,3,23.339,WAS,,KAN,L 13-45,*,11,5,55,11.00,1,45.5%,5.00,0,0,,0,0,0,,0,0,0,,,,,,1,6
4,2001,2001-10-07,4,23.346,WAS,@,NYG,L 9-23,*,7,2,68,34.00,0,28.6%,9.71,0,0,,0,0,0,,0,0,0,,,,,,0,0
5,2001,2001-10-15,5,23.354,WAS,@,DAL,L 7-9,*,8,3,36,12.00,0,37.5%,4.50,0,0,,0,0,0,,0,0,0,,,,,,0,0
6,2001,2001-10-21,6,23.360,WAS,,CAR,W 17-14,*,8,6,208,34.67,1,75.0%,26.00,0,0,,0,0,0,,0,0,0,,,,,,1,6
7,2001,2001-10-28,7,24.002,WAS,,NYG,W 35-21,*,4,2,20,10.00,1,50.0%,5.00,0,0,,0,0,0,,0,0,0,,,,,,1,6
8,2001,2001-11-04,8,24.009,WAS,,SEA,W 27-14,*,5,1,18,18.00,0,20.0%,3.60,0,0,,0,0,0,,0,0,0,,,,,,0,0
9,2001,2001-11-18,9,24.023,WAS,@,DEN,W 17-10,*,9,2,19,9.50,0,22.2%,2.11,0,0,,0,0,0,,0,0,0,,,,,,0,0
10,2001,2001-11-25,10,24.030,WAS,@,PHI,W 13-3,*,6,4,33,8.25,0,66.7%,5.50,0,0,,0,0,0,,0,0,0,,,,,,0,0
11,2001,2001-12-02,11,24.037,WAS,,DAL,L 14-20,*,6,2,24,12.00,1,33.3%,4.00,0,0,,0,0,0,,0,0,0,,,,,,1,6
12,2001,2001-12-09,12,24.044,WAS,@,ARI,W 20-10,*,4,2,52,26.00,0,50.0%,13.00,0,0,,0,0,0,,0,0,0,,,,,,0,0
13,2001,2001-12-16,13,24.051,WAS,,PHI,L 6-20,*,5,3,70,23.33,0,60.0%,14.00,1,16,16.00,0,0,0,,0,0,0,,,,,,0,0
14,2001,2001-12-23,14,24.058,WAS,,CHI,L 15-20,*,10,6,63,10.50,0,60.0%,6.30,0,0,,0,0,0,,0,0,0,,,,,,0,0
15,2001,2001-12-30,15,24.065,WAS,@,NOR,W 40-10,*,3,1,15,15.00,0,33.3%,5.00,0,0,,0,0,0,,0,0,0,,,,,,0,0
16,2001,2002-01-06,16,24.072,WAS,,ARI,W 20-17,*,4,1,10,10.00,0,25.0%,2.50,0,0,,0,0,0,,0,0,0,,,,,,0,0
17,2002,2002-09-08,1,24.317,WAS,,ARI,W 31-23,*,8,7,131,18.71,1,87.5%,16.38,0,0,,0,0,0,,0,0,0,,0,,,,1,6
18,2002,2002-09-16,2,24.325,WAS,,PHI,L 7-37,*,9,4,63,15.75,0,44.4%,7.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0
19,2002,2002-09-22,3,24.331,WAS,@,SFO,L 10-20,*,5,1,16,16.00,0,20.0%,3.20,0,0,,0,0,0,,0,0,0,,0,,,,0,0
20,2002,2002-10-06,4,24.345,WAS,@,TEN,W 31-14,*,8,5,81,16.20,1,62.5%,10.13,0,0,,0,0,0,,0,0,0,,0,,,,1,6
21,2002,2002-10-13,5,24.352,WAS,,NOR,L 27-43,*,12,4,40,10.00,0,33.3%,3.33,0,0,,0,0,0,,0,0,0,,0,,,,0,0
22,2002,2002-10-20,6,24.359,WAS,@,GNB,L 9-30,,8,3,35,11.67,0,37.5%,4.38,0,0,,0,0,0,,0,0,0,,0,,,,0,0
23,2002,2002-10-27,7,25.001,WAS,,IND,W 26-21,*,7,4,48,12.00,0,57.1%,6.86,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0
24,2002,2002-11-03,8,25.008,WAS,@,SEA,W 14-3,*,8,4,47,11.75,1,50.0%,5.88,0,0,,0,0,0,,0,0,0,,0,,,,1,6
25,2002,2002-11-10,9,25.015,WAS,@,JAX,L 7-26,*,13,7,100,14.29,1,53.8%,7.69,0,0,,0,0,0,,0,0,0,,0,,,,1,6
26,2002,2002-11-17,10,25.022,WAS,@,NYG,L 17-19,*,10,5,47,9.40,1,50.0%,4.70,0,0,,0,0,0,,0,0,0,,0,,,,1,6
27,2002,2002-11-24,11,25.029,WAS,,STL,W 20-17,*,7,4,76,19.00,0,57.1%,10.86,0,0,,0,0,0,,0,0,0,,0,,,,0,0
28,2002,2002-11-28,12,25.033,WAS,@,DAL,L 20-27,*,10,6,76,12.67,1,60.0%,7.60,0,0,,0,0,0,,0,0,0,,0,,,,1,6
29,2002,2002-12-08,13,25.043,WAS,,NYG,L 21-27,*,12,5,76,15.20,1,41.7%,6.33,0,0,,0,0,0,,0,0,0,,0,,,,1,6
30,2002,2002-12-15,14,25.050,WAS,@,PHI,L 21-34,*,7,3,58,19.33,1,42.9%,8.29,1,1,1.00,0,0,0,,0,0,0,,0,,,,1,6
31,2002,2002-12-22,15,25.057,WAS,,HOU,W 26-10,*,8,4,53,13.25,0,50.0%,6.63,0,0,,0,0,0,,0,0,0,,0,,,,0,0
32,2002,2002-12-29,16,25.064,WAS,,DAL,W 20-14,*,9,5,59,11.80,0,55.6%,6.56,0,0,,0,0,0,,0,0,0,,0,,,,0,0
33,2003,2003-09-04,1,25.313,WAS,,NYJ,W 16-13,*,7,5,32,6.40,0,71.4%,4.57,0,0,,0,0,0,,0,0,0,,0,,,,0,0
34,2003,2003-09-14,2,25.323,WAS,@,ATL,W 33-31,*,14,9,118,13.11,1,64.3%,8.43,0,0,,0,0,0,,0,0,0,,0,,,,1,6
35,2003,2003-09-21,3,25.330,WAS,,NYG,L 21-24,*,8,3,25,8.33,1,37.5%,3.13,0,0,,0,0,0,,0,0,0,,0,,,,1,6
36,2003,2003-09-28,4,25.337,WAS,,NWE,W 20-17,*,6,2,19,9.50,0,33.3%,3.17,0,0,,0,0,0,,0,0,0,,0,,,,0,0
37,2003,2003-10-05,5,25.344,WAS,@,PHI,L 25-27,*,11,3,25,8.33,0,27.3%,2.27,0,0,,0,0,0,,0,0,0,,0,,,,0,0
38,2003,2003-10-12,6,25.351,WAS,,TAM,L 13-35,*,12,9,88,9.78,0,75.0%,7.33,0,0,,0,0,0,,0,0,0,,0,,,,0,0
39,2003,2003-10-19,7,25.358,WAS,@,BUF,L 7-24,*,8,2,28,14.00,1,25.0%,3.50,0,0,,0,0,0,,0,0,0,,0,,,,1,6
40,2003,2003-11-02,8,26.007,WAS,@,DAL,L 14-21,*,5,1,14,14.00,0,20.0%,2.80,0,0,,0,0,0,,0,0,0,,0,,,,0,0
41,2003,2003-11-09,9,26.014,WAS,,SEA,W 27-20,*,11,8,81,10.13,1,72.7%,7.36,0,0,,0,1,1,100.00,10,1,0,147.9,0,0,10.00,30.00,1,6
42,2003,2003-11-16,10,26.021,WAS,@,CAR,L 17-20,*,7,2,24,12.00,0,28.6%,3.43,0,0,,0,0,0,,0,0,0,,0,,,,0,0
43,2003,2003-11-23,11,26.028,WAS,@,MIA,L 23-24,*,4,1,13,13.00,0,25.0%,3.25,0,0,,0,0,0,,0,0,0,,0,,,,0,0
44,2003,2003-11-30,12,26.035,WAS,,NOR,L 20-24,*,5,3,32,10.67,0,60.0%,6.40,0,0,,0,0,0,,0,0,0,,0,,,,0,0
45,2003,2003-12-07,13,26.042,WAS,@,NYG,W 20-7,*,5,4,44,11.00,1,80.0%,8.80,0,0,,0,0,0,,0,0,0,,0,,,,1,6
46,2003,2003-12-14,14,26.049,WAS,,DAL,L 0-27,*,5,3,24,8.00,0,60.0%,4.80,0,0,,0,0,0,,0,0,0,,0,,,,0,0
47,2003,2003-12-21,15,26.056,WAS,@,CHI,L 24-27,*,5,2,29,14.50,0,40.0%,5.80,0,0,,0,1,2,50.00,36,1,0,135.4,0,0,18.00,28.00,0,0
48,2003,2003-12-27,16,26.062,WAS,,PHI,L 7-31,*,2,2,4,2.00,0,100.0%,2.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0
49,2004,2004-09-12,1,26.322,WAS,,TAM,W 16-10,*,7,4,61,15.25,0,57.1%,8.71,0,0,,0,0,0,,0,0,0,,0,,,,0,0
50,2004,2004-09-19,2,26.329,WAS,@,NYG,L 14-20,,10,3,66,22.00,0,30.0%,6.60,0,0,,0,0,0,,0,0,0,,0,,,,0,0
51,2004,2004-09-27,3,26.337,WAS,,DAL,L 18-21,*,15,10,167,16.70,2,66.7%,11.13,0,0,,0,0,0,,0,0,0,,0,,,,2,12
52,2004,2004-10-03,4,26.343,WAS,@,CLE,L 13-17,*,5,3,19,6.33,0,60.0%,3.80,0,0,,0,0,0,,0,0,0,,0,,,,0,0
53,2004,2004-10-10,5,26.350,WAS,,BAL,L 10-17,*,5,1,9,9.00,0,20.0%,1.80,0,0,,0,0,0,,0,0,0,,0,,,,0,0
54,2004,2004-10-17,6,26.357,WAS,@,CHI,W 13-10,*,7,2,20,10.00,1,28.6%,2.86,0,0,,0,0,0,,0,0,0,,0,,,,1,6
55,2004,2004-10-31,7,27.005,WAS,,GNB,L 14-28,*,9,3,41,13.67,2,33.3%,4.56,1,6,6.00,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,2,12
56,2004,2004-11-07,8,27.012,WAS,@,DET,W 17-10,*,2,0,0,,0,0.0%,0.00,1,-10,-10.00,0,0,0,,0,0,0,,0,,,,0,0
57,2004,2004-11-14,9,27.019,WAS,,CIN,L 10-17,*,9,2,18,9.00,0,22.2%,2.00,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0
58,2004,2004-11-21,10,27.026,WAS,@,PHI,L 6-28,*,6,4,35,8.75,0,66.7%,5.83,0,0,,0,0,0,,0,0,0,,0,,,,0,0
59,2004,2004-11-28,11,27.033,WAS,@,PIT,L 7-16,*,4,1,11,11.00,0,25.0%,2.75,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0
60,2004,2004-12-05,12,27.040,WAS,,NYG,W 31-7,*,3,2,27,13.50,0,66.7%,9.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0
61,2004,2004-12-12,13,27.047,WAS,,PHI,L 14-17,,7,4,25,6.25,0,57.1%,3.57,0,0,,0,0,0,,0,0,0,,0,,,,0,0
62,2004,2004-12-18,14,27.053,WAS,@,SFO,W 26-16,*,7,6,111,18.50,0,85.7%,15.86,1,11,11.00,0,0,0,,0,0,0,,0,,,,0,0
63,2004,2004-12-26,15,27.061,WAS,@,DAL,L 10-13,*,6,5,31,6.20,0,83.3%,5.17,0,0,,0,0,0,,0,0,0,,0,,,,0,0
64,2004,2005-01-02,16,27.068,WAS,,MIN,W 21-18,*,4,1,9,9.00,0,25.0%,2.25,0,0,,0,0,0,,0,0,0,,0,,,,0,0
65,2005,2005-09-18,2,27.327,CAR,,NWE,W 27-17,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,,,,,0,0
66,2005,2005-09-25,3,27.334,CAR,@,MIA,L 24-27,,,,,,,0.0%,,,,,,,,,,,,,,,,,,
67,2005,2005-10-03,4,27.342,CAR,,GNB,W 32-29,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,0,0
68,2005,2005-10-09,5,27.348,CAR,@,ARI,W 24-20,,3,3,33,11.00,0,100.0%,11.00,0,0,,0,0,0,,0,0,0,,,,,,0,0
69,2005,2005-10-16,6,27.355,CAR,@,DET,W 21-20,,5,4,32,8.00,1,80.0%,6.40,0,0,,0,0,0,,0,0,0,,,,,,1,6
