ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1975,1975-09-21,1,22.307,MIN,,SFO,W 27-17,5,188,37.60,1
2,1975,1975-09-28,2,22.314,MIN,@,CLE,W 42-10,6,238,39.67,0
3,1975,1975-10-05,3,22.321,MIN,,CHI,W 28-3,7,316,45.14,0
4,1975,1975-10-12,4,22.328,MIN,,NYJ,W 29-21,2,36,18.00,1
5,1975,1975-10-19,5,22.335,MIN,,DET,W 25-19,4,173,43.25,0
6,1975,1975-10-27,6,22.343,MIN,@,CHI,W 13-9,8,328,41.00,0
7,1975,1975-11-02,7,22.349,MIN,@,GNB,W 28-17,3,111,37.00,0
8,1975,1975-11-09,8,22.356,MIN,,ATL,W 38-0,5,225,45.00,0
9,1975,1975-11-16,9,22.363,MIN,@,NOR,W 20-7,5,217,43.40,0
10,1975,1975-11-23,10,23.005,MIN,,SDG,W 28-13,5,197,39.40,0
11,1975,1975-11-30,11,23.012,MIN,@,WAS,L 30-31,4,149,37.25,0
12,1975,1975-12-07,12,23.019,MIN,,GNB,W 24-3,7,304,43.43,0
13,1975,1975-12-14,13,23.026,MIN,@,DET,L 10-17,7,311,44.43,0
14,1975,1975-12-20,14,23.032,MIN,@,BUF,W 35-13,5,204,40.80,0
15,1976,1976-09-12,1,23.299,MIN,@,NOR,W 40-9,5,227,45.40,0
16,1976,1976-09-19,2,23.306,MIN,,RAM,T 10-10,7,280,40.00,0
17,1976,1976-09-26,3,23.313,MIN,@,DET,W 10-9,10,409,40.90,0
18,1976,1976-10-04,4,23.321,MIN,,PIT,W 17-6,5,224,44.80,0
19,1976,1976-10-10,5,23.327,MIN,,CHI,W 20-19,8,326,40.75,0
20,1976,1976-10-17,6,23.334,MIN,,NYG,W 24-7,3,120,40.00,0
21,1976,1976-10-24,7,23.341,MIN,@,PHI,W 31-12,2,72,36.00,0
22,1976,1976-10-31,8,23.348,MIN,@,CHI,L 13-14,7,198,28.29,0
23,1976,1976-11-14,10,23.362,MIN,,SEA,W 27-21,3,85,28.33,0
24,1976,1976-11-21,11,24.003,MIN,@,GNB,W 17-10,7,275,39.29,0
25,1976,1976-11-29,12,24.011,MIN,@,SFO,L 16-20,7,296,42.29,0
26,1976,1976-12-05,13,24.017,MIN,,GNB,W 20-9,4,127,31.75,0
27,1976,1976-12-11,14,24.023,MIN,@,MIA,W 29-7,1,39,39.00,0
28,1977,1977-09-18,1,24.304,MIN,,DAL,L 10-16,5,177,35.40,0
29,1977,1977-09-24,2,24.310,MIN,@,TAM,W 9-3,6,237,39.50,0
30,1977,1977-10-02,3,24.318,MIN,,GNB,W 19-7,5,210,42.00,0
31,1977,1977-10-09,4,24.325,MIN,,DET,W 14-7,7,251,35.86,0
32,1977,1977-10-16,5,24.332,MIN,,CHI,W 22-16,5,230,46.00,0
33,1977,1977-10-24,6,24.340,MIN,@,RAM,L 3-35,8,305,38.13,0
34,1977,1977-10-30,7,24.346,MIN,@,ATL,W 14-7,4,169,42.25,0
35,1977,1977-11-06,8,24.353,MIN,,STL,L 7-27,5,200,40.00,0
36,1977,1977-11-13,9,24.360,MIN,,CIN,W 42-10,4,178,44.50,0
37,1977,1977-11-20,10,25.002,MIN,@,CHI,L 7-10,7,318,45.43,0
38,1977,1977-11-27,11,25.009,MIN,@,GNB,W 13-6,8,294,36.75,0
39,1977,1977-12-04,12,25.016,MIN,,SFO,W 28-27,5,163,32.60,0
40,1977,1977-12-11,13,25.023,MIN,@,OAK,L 13-35,7,303,43.29,0
41,1977,1977-12-17,14,25.029,MIN,@,DET,W 30-21,7,267,38.14,0
