ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1997,1997-08-31,1,22.154,DAL,@,PIT,W 37-7,,0,0,,0,4,185,46.25,0
2,1997,1997-09-07,2,22.161,DAL,@,ARI,L 22-25,,0,0,,0,8,374,46.75,0
3,1997,1997-09-15,3,22.169,DAL,,PHI,W 21-20,,0,0,,0,4,153,38.25,0
4,1997,1997-09-28,4,22.182,DAL,,CHI,W 27-3,,0,0,,0,6,332,55.33,0
5,1997,1997-10-05,5,22.189,DAL,@,NYG,L 17-20,,0,0,,0,4,158,39.50,0
6,1997,1997-10-13,6,22.197,DAL,@,WAS,L 16-21,,0,0,,0,6,245,40.83,0
7,1997,1997-10-19,7,22.203,DAL,,JAX,W 26-22,,0,0,,0,3,132,44.00,0
8,1997,1997-10-26,8,22.210,DAL,@,PHI,L 12-13,,0,0,,0,5,150,30.00,0
9,1997,1997-11-02,9,22.217,DAL,@,SFO,L 10-17,,0,0,,0,6,236,39.33,0
10,1997,1997-11-09,10,22.224,DAL,,ARI,W 24-6,,0,0,,0,6,223,37.17,0
11,1997,1997-11-16,11,22.231,DAL,,WAS,W 17-14,,0,0,,0,6,252,42.00,0
12,1997,1997-11-23,12,22.238,DAL,@,GNB,L 17-45,,0,0,,0,6,258,43.00,0
13,1997,1997-11-27,13,22.242,DAL,,TEN,L 14-27,,0,0,,0,4,186,46.50,0
14,1997,1997-12-08,14,22.253,DAL,,CAR,L 13-23,,0,0,,0,6,229,38.17,0
15,1997,1997-12-14,15,22.259,DAL,@,CIN,L 24-31,,0,0,,0,5,185,37.00,0
16,1997,1997-12-21,16,22.266,DAL,,NYG,L 7-20,,0,0,,0,7,294,42.00,0
17,1998,1998-09-06,1,23.160,DAL,,ARI,W 38-10,,0,0,,0,4,198,49.50,0
18,1998,1998-09-13,2,23.167,DAL,@,DEN,L 23-42,,1,33,33.00,0,2,102,51.00,0
19,1998,1998-09-21,3,23.175,DAL,@,NYG,W 31-7,,0,0,,0,9,389,43.22,0
20,1998,1998-09-27,4,23.181,DAL,,OAK,L 12-13,,0,0,,0,5,194,38.80,0
21,1998,1998-10-04,5,23.188,DAL,@,WAS,W 31-10,,0,0,,0,4,192,48.00,0
22,1998,1998-10-11,6,23.195,DAL,,CAR,W 27-20,,0,0,,0,3,126,42.00,0
23,1998,1998-10-18,7,23.202,DAL,@,CHI,L 12-13,,0,0,,0,7,312,44.57,0
24,1998,1998-11-02,8,23.217,DAL,@,PHI,W 34-0,,0,0,,0,6,276,46.00,0
25,1998,1998-11-08,9,23.223,DAL,,NYG,W 16-6,,0,0,,0,3,131,43.67,0
26,1998,1998-11-15,10,23.230,DAL,@,ARI,W 35-28,,0,0,,0,5,200,40.00,0
27,1998,1998-11-22,11,23.237,DAL,,SEA,W 30-22,,0,0,,0,3,121,40.33,0
28,1998,1998-11-26,12,23.241,DAL,,MIN,L 36-46,,0,0,,0,4,176,44.00,0
29,1998,1998-12-06,13,23.251,DAL,@,NOR,L 3-22,,0,0,,0,7,319,45.57,0
30,1998,1998-12-13,14,23.258,DAL,@,KAN,L 17-20,,0,0,,0,5,219,43.80,1
31,1998,1998-12-20,15,23.265,DAL,,PHI,W 13-9,,0,0,,0,7,271,38.71,0
32,1998,1998-12-27,16,23.272,DAL,,WAS,W 23-7,,0,0,,0,3,116,38.67,0
33,1999,1999-09-12,1,24.166,DAL,@,WAS,W 41-35,,0,0,,0,4,168,42.00,0
34,1999,1999-09-20,2,24.174,DAL,,ATL,W 24-7,,0,0,,0,6,221,36.83,0
35,1999,1999-10-03,3,24.187,DAL,,ARI,W 35-7,,0,0,,0,6,267,44.50,0
36,1999,1999-10-10,4,24.194,DAL,@,PHI,L 10-13,,0,0,,0,6,226,37.67,0
37,1999,1999-10-18,5,24.202,DAL,@,NYG,L 10-13,,0,0,,0,5,242,48.40,0
38,1999,1999-10-24,6,24.208,DAL,,WAS,W 38-20,,0,0,,0,4,213,53.25,0
39,1999,1999-10-31,7,24.215,DAL,@,IND,L 24-34,,0,0,,0,4,176,44.00,0
40,1999,1999-11-08,8,24.223,DAL,@,MIN,L 17-27,,0,0,,0,6,280,46.67,0
41,1999,1999-11-14,9,24.229,DAL,,GNB,W 27-13,,0,0,,0,4,179,44.75,0
42,1999,1999-11-21,10,24.236,DAL,@,ARI,L 9-13,,0,0,,0,6,278,46.33,0
43,1999,1999-11-25,11,24.240,DAL,,MIA,W 20-0,,0,0,,0,6,259,43.17,0
44,1999,1999-12-05,12,24.250,DAL,@,NWE,L 6-13,,0,0,,0,4,177,44.25,0
45,1999,1999-12-12,13,24.257,DAL,,PHI,W 20-10,,0,0,,0,6,240,40.00,0
46,1999,1999-12-19,14,24.264,DAL,,NYJ,L 21-22,,0,0,,0,7,277,39.57,0
