ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,2000,2000-09-03,1,21.337,ATL,,SFO,W 36-28,,1,57,57.00,0,0,0,0,0,0
2,2000,2000-09-10,2,21.344,ATL,@,DEN,L 14-42,,1,100,100.00,1,1,6,0,0,0
3,2000,2000-09-17,3,21.351,ATL,@,CAR,W 15-10,,3,66,22.00,0,0,0,0,0,0
4,2000,2000-09-24,4,21.358,ATL,,STL,L 20-41,,4,90,22.50,0,0,0,0,0,0
5,2000,2000-10-01,5,21.365,ATL,@,PHI,L 10-38,,1,18,18.00,0,0,0,0,0,0
6,2000,2000-10-08,6,22.006,ATL,,NYG,L 6-13,,1,20,20.00,0,0,0,0,0,0
7,2000,2000-10-15,7,22.013,ATL,@,STL,L 29-45,,1,96,96.00,1,1,6,0,0,0
8,2000,2000-10-22,8,22.020,ATL,,NOR,L 19-21,,3,91,30.33,0,0,0,0,0,0
9,2000,2000-10-29,9,22.027,ATL,,CAR,W 13-12,,4,71,17.75,0,0,0,0,0,0
10,2000,2000-11-05,10,22.034,ATL,,TAM,L 14-27,,1,8,8.00,0,0,0,0,0,0
11,2000,2000-11-12,11,22.041,ATL,@,DET,L 10-13,,,,,,,,,,
12,2000,2000-11-19,12,22.048,ATL,@,SFO,L 6-16,,5,89,17.80,0,0,0,0,0,0
13,2000,2000-11-26,13,22.055,ATL,@,OAK,L 14-41,,7,165,23.57,0,0,0,0,0,0
14,2000,2000-12-03,14,22.062,ATL,,SEA,L 10-30,,5,94,18.80,0,0,0,0,0,0
15,2000,2000-12-17,15,22.076,ATL,@,NOR,L 7-23,,2,117,58.50,1,1,6,0,0,0
16,2000,2000-12-24,16,22.083,ATL,,KAN,W 29-13,,,,,,,,,,
17,2001,2001-09-09,1,22.342,ATL,@,SFO,L 13-16,,3,51,17.00,0,0,0,0,0,0
18,2001,2001-09-23,2,22.356,ATL,,CAR,W 24-16,,4,100,25.00,0,0,0,0,0,0
19,2001,2001-09-30,3,22.363,ATL,@,ARI,W 34-14,,1,20,20.00,0,0,0,1,0,0
20,2001,2001-10-07,4,23.005,ATL,,CHI,L 3-31,,3,77,25.67,0,0,0,0,0,0
21,2001,2001-10-14,5,23.012,ATL,,SFO,L 31-37,,5,117,23.40,0,0,0,0,0,0
22,2001,2001-10-21,6,23.019,ATL,@,NOR,W 20-13,,3,71,23.67,0,0,0,0,0,0
23,2001,2001-11-04,7,23.033,ATL,,NWE,L 10-24,,4,138,34.50,0,0,0,0,0,0
24,2001,2001-11-11,8,23.040,ATL,,DAL,W 20-13,,4,102,25.50,0,0,0,0,0,0
25,2001,2001-11-18,9,23.047,ATL,@,GNB,W 23-20,,3,60,20.00,0,0,0,0,0,0
26,2001,2001-11-25,10,23.054,ATL,@,CAR,W 10-7,,2,44,22.00,0,0,0,0,0,0
27,2001,2001-12-02,11,23.061,ATL,,STL,L 6-35,,4,116,29.00,0,0,0,0,0,0
28,2001,2001-12-09,12,23.068,ATL,,NOR,L 10-28,,3,72,24.00,0,0,0,0,0,0
29,2001,2001-12-16,13,23.075,ATL,@,IND,L 27-41,,7,195,27.86,0,0,0,0,0,0
30,2001,2001-12-23,14,23.082,ATL,,BUF,W 33-30,,6,82,13.67,0,0,0,0,0,0
31,2001,2001-12-30,15,23.089,ATL,@,MIA,L 14-21,,3,48,16.00,0,0,0,0,0,0
32,2001,2002-01-06,16,23.096,ATL,@,STL,L 13-31,,6,198,33.00,1,1,6,0,0,0
33,2003,2003-09-07,1,24.340,HOU,@,MIA,W 21-20,,,,,,,,,,
34,2003,2003-09-14,2,24.347,HOU,@,NOR,L 10-31,,,,,,,,,,
35,2003,2003-09-21,3,24.354,HOU,,KAN,L 14-42,,,,,,,,,,
36,2003,2003-09-28,4,24.361,HOU,,JAX,W 24-20,,,,,,,,,,
37,2003,2003-10-12,5,25.010,HOU,@,TEN,L 17-38,,3,47,15.67,0,0,0,0,0,0
38,2003,2003-10-19,6,25.017,HOU,,NYJ,L 14-19,,,,,,,,,,
39,2003,2003-10-26,7,25.024,HOU,@,IND,L 21-30,,,,,,,,,,
40,2003,2003-11-02,8,25.031,HOU,,CAR,W 14-10,,,,,,,,,,
41,2003,2003-11-09,9,25.038,HOU,@,CIN,L 27-34,,,,,,,,,,
42,2003,2003-11-16,10,25.045,HOU,@,BUF,W 12-10,,,,,,,,,,
43,2003,2003-11-23,11,25.052,HOU,,NWE,L 20-23,,,,,,,,,,
44,2003,2003-11-30,12,25.059,HOU,,ATL,W 17-13,,,,,,,,,,
45,2003,2003-12-07,13,25.066,HOU,@,JAX,L 0-27,,,,,,,,,,
46,2003,2003-12-14,14,25.073,HOU,@,TAM,L 3-16,,,,,,,,,,
47,2003,2003-12-21,15,25.080,HOU,,TEN,L 24-27,,,,,,,,,,
48,2003,2003-12-28,16,25.087,HOU,,IND,L 17-20,,,,,,,,,,
