ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,2007,2007-09-10,1,28.276,ARI,@,SFO,L 17-20,,7,259,37.00,0
2,2007,2007-09-16,2,28.282,ARI,,SEA,W 23-20,,4,163,40.75,0
3,2007,2007-09-23,3,28.289,ARI,@,BAL,L 23-26,,4,173,43.25,0
4,2007,2007-09-30,4,28.296,ARI,,PIT,W 21-14,,5,197,39.40,0
5,2007,2007-10-07,5,28.303,ARI,@,STL,W 34-31,,4,180,45.00,0
6,2007,2007-10-14,6,28.310,ARI,,CAR,L 10-25,,7,316,45.14,0
7,2007,2007-10-21,7,28.317,ARI,@,WAS,L 19-21,,5,214,42.80,0
8,2007,2007-11-04,8,28.331,ARI,@,TAM,L 10-17,,7,294,42.00,0
9,2007,2007-11-11,9,28.338,ARI,,DET,W 31-21,,4,142,35.50,0
10,2007,2007-11-18,10,28.345,ARI,@,CIN,W 35-27,,6,230,38.33,1
11,2007,2007-11-25,11,28.352,ARI,,SFO,L 31-37,,6,217,36.17,0
