ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att
1,2009,2009-09-13,1,23.200,MIA,@,ATL,L 7-19,,1,0,0.00,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00
2,2009,2009-09-21,2,23.208,MIA,,IND,L 23-27,,,,,,,,,,,,,0,,,
3,2009,2009-10-04,4,23.221,MIA,,BUF,W 38-10,,1,-1,-1.00,0,0,0,,0,0,0,,0,,,
4,2009,2009-10-12,5,23.229,MIA,,NYJ,W 31-27,,1,6,6.00,0,0,0,,0,0,0,,0,,,
5,2009,2009-10-25,6,23.242,MIA,,NOR,L 34-46,,1,-3,-3.00,0,0,0,,0,0,0,,0,,,
6,2009,2009-11-01,7,23.249,MIA,@,NYJ,W 30-25,,,,,,,,,,,,,0,,,
7,2009,2009-11-08,8,23.256,MIA,@,NWE,L 17-27,,6,45,7.50,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00
8,2009,2009-11-15,9,23.263,MIA,,TAM,W 25-23,,1,1,1.00,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00
9,2009,2009-11-29,11,23.277,MIA,@,BUF,L 14-31,,1,2,2.00,0,0,0,,0,0,0,,0,,,
10,2009,2009-12-06,12,23.284,MIA,,NWE,W 22-21,,2,0,0.00,0,0,0,,0,0,0,,0,,,
11,2009,2009-12-20,14,23.298,MIA,@,TEN,L 24-27,,2,4,2.00,0,0,0,,0,0,0,,0,,,
12,2009,2009-12-27,15,23.305,MIA,,HOU,L 20-27,,,,,,,,,,,,,0,,,
13,2009,2010-01-03,16,23.312,MIA,,PIT,L 24-30,,5,27,5.40,0,0,2,0.00,0,0,0,39.6,1,9,0.00,0.00
