ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1980,1980-09-07,1,23.085,STL,,NYG,L 35-41,1,34,34.00,0,3,29,9.67,0
2,1980,1980-09-14,2,23.092,STL,@,SFO,L 21-24,1,15,15.00,0,4,26,6.50,0
3,1980,1980-09-21,3,23.099,STL,@,DET,L 7-20,,,,,,,,
4,1980,1980-09-28,4,23.106,STL,,PHI,W 24-14,1,15,15.00,0,0,0,,0
5,1980,1980-10-05,5,23.113,STL,@,NOR,W 40-7,2,20,10.00,0,5,80,16.00,0
6,1980,1980-10-12,6,23.120,STL,,RAM,L 13-21,2,26,13.00,0,2,20,10.00,0
7,1980,1980-10-19,7,23.127,STL,@,WAS,L 0-23,1,13,13.00,0,2,10,5.00,0
8,1980,1980-10-26,8,23.134,STL,@,BAL,W 17-10,0,0,,0,2,6,3.00,0
9,1980,1980-11-02,9,23.141,STL,,DAL,L 24-27,0,0,,0,2,23,11.50,0
10,1980,1980-11-09,10,23.148,STL,,ATL,L 27-33,0,0,,0,1,1,1.00,0
11,1980,1980-11-16,11,23.155,STL,@,DAL,L 21-31,,,,,,,,
12,1981,1981-09-06,1,24.084,STL,,MIA,L 7-20,,,,,,,,
