ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,def_int,def_int_yds,def_int_td
1,1966,1966-09-25,3,23.221,WAS,@,PIT,W 33-27,0,0,,0,0,0,,0,,,,,,,0,0,1,17,0
2,1966,1966-10-09,5,23.235,WAS,,ATL,W 33-20,0,0,,0,0,0,,0,,,,,,,0,0,1,3,0
3,1966,1966-11-06,9,23.263,WAS,@,BAL,L 10-37,0,0,,0,0,0,,0,,,,,,,0,0,1,42,0
4,1966,1966-11-27,12,23.284,WAS,,NYG,W 72-41,0,0,,0,0,0,,0,,,,,,,1,6,3,87,1
5,1966,1966-12-18,14,23.305,WAS,,PHI,L 28-37,0,0,,0,0,0,,0,,,,,,,0,0,1,16,0
6,1967,1967-10-15,5,24.241,WAS,@,ATL,T 20-20,0,0,,0,0,0,,0,2,3,66.7,,2,0.0,0,2,0,0,0
7,1968,1968-09-15,1,25.212,WAS,@,CHI,W 38-28,0,0,,0,0,0,,0,,,,,,,0,0,1,0,0
8,1968,1968-09-29,3,25.226,WAS,@,NYG,L 21-48,0,0,,0,0,0,,0,,,,,,,0,0,1,0,0
9,1968,1968-10-06,4,25.233,WAS,,PHI,W 17-14,0,0,,0,0,0,,0,,,,,,,0,0,1,17,0
10,1968,1968-10-27,7,25.254,WAS,,NYG,L 10-13,0,0,,0,1,0,0.00,0,,,,,,,0,0,1,0,0
11,1968,1968-11-03,8,25.261,WAS,@,MIN,L 14-27,0,0,,0,0,0,,0,,,,,,,0,0,1,38,0
12,1968,1968-11-10,9,25.268,WAS,@,PHI,W 16-10,0,0,,0,0,0,,0,,,,,,,0,0,1,0,0
13,1968,1968-11-24,11,25.282,WAS,,GNB,L 7-27,0,0,,0,0,0,,0,,,,,,,0,0,1,23,0
14,1968,1968-11-28,12,25.286,WAS,@,DAL,L 20-29,0,0,,0,0,0,,0,,,,,,,0,0,1,31,0
15,1969,1969-10-12,4,26.238,WAS,,STL,W 33-17,0,0,,0,0,0,,0,,,,,,,0,0,1,15,0
16,1969,1969-10-26,6,26.252,WAS,@,PIT,W 14-7,0,0,,0,0,0,,0,,,,,,,0,0,1,9,0
17,1969,1969-11-09,8,26.266,WAS,,PHI,T 28-28,0,0,,0,0,0,,0,,,,,,,0,0,1,0,0
18,1970,1970-09-20,1,27.216,WAS,@,SFO,L 17-26,,,,,,,,,,,,,,,,,,,
19,1970,1970-09-27,2,27.223,WAS,@,STL,L 17-27,0,0,,0,0,0,,0,,,,,,,0,0,1,17,0
20,1970,1970-10-04,3,27.230,WAS,@,PHI,W 33-21,,,,,,,,,,,,,,,,,,,
21,1970,1970-10-11,4,27.237,WAS,,DET,W 31-10,,,,,,,,,,,,,,,,,,,
22,1970,1970-10-19,5,27.245,WAS,@,OAK,L 20-34,,,,,,,,,,,,,,,,,,,
23,1970,1970-10-25,6,27.251,WAS,,CIN,W 20-0,,,,,,,,,,,,,,,,,,,
24,1970,1970-11-01,7,27.258,WAS,@,DEN,W 19-3,,,,,,,,,,,,,,,,,,,
25,1970,1970-11-08,8,27.265,WAS,,MIN,L 10-19,,,,,,,,,,,,,,,,,,,
26,1970,1970-11-15,9,27.272,WAS,@,NYG,L 33-35,0,0,,0,0,0,,0,,,,,,,0,0,1,15,0
27,1970,1970-11-22,10,27.279,WAS,,DAL,L 21-45,0,0,,0,0,0,,0,,,,,,,0,0,1,22,0
28,1970,1970-11-29,11,27.286,WAS,,NYG,L 24-27,,,,,,,,,,,,,,,,,,,
29,1970,1970-12-06,12,27.293,WAS,@,DAL,L 0-34,,,,,,,,,,,,,,,,,,,
30,1970,1970-12-13,13,27.300,WAS,,PHI,W 24-6,,,,,,,,,,,,,,,,,,,
31,1970,1970-12-20,14,27.307,WAS,,STL,W 28-27,0,0,,0,0,0,,0,,,,,,,0,0,1,32,0
32,1971,1971-09-19,1,28.215,WAS,@,STL,W 24-17,0,0,,0,0,0,,0,,,,,,,0,0,1,8,0
33,1971,1971-09-26,2,28.222,WAS,@,NYG,W 30-3,,,,,,,,,,,,,,,,,,,
34,1971,1971-10-03,3,28.229,WAS,@,DAL,W 20-16,,,,,,,,,,,,,,,,,,,
35,1971,1971-10-10,4,28.236,WAS,,HOU,W 22-13,,,,,,,,,,,,,,,,,,,
36,1971,1971-10-17,5,28.243,WAS,,STL,W 20-0,,,,,,,,,,,,,,,,,,,
37,1971,1971-10-24,6,28.250,WAS,@,KAN,L 20-27,,,,,,,,,,,,,,,,,,,
38,1971,1971-10-31,7,28.257,WAS,,NOR,W 24-14,,,,,,,,,,,,,,,,,,,
39,1971,1971-11-07,8,28.264,WAS,,PHI,T 7-7,,,,,,,,,,,,,,,,,,,
40,1971,1971-11-14,9,28.271,WAS,@,CHI,L 15-16,,,,,,,,,,,,,,,,,,,
41,1971,1971-11-21,10,28.278,WAS,,DAL,L 0-13,,,,,,,,,,,,,,,,,,,
42,1971,1971-11-28,11,28.285,WAS,@,PHI,W 20-13,,,,,,,,,,,,,,,,,,,
43,1971,1971-12-05,12,28.292,WAS,,NYG,W 23-7,0,0,,0,0,0,,0,,,,,,,0,0,1,19,0
44,1971,1971-12-13,13,28.300,WAS,@,RAM,W 38-24,,,,,,,,,,,,,,,,,,,
45,1971,1971-12-19,14,28.306,WAS,,CLE,L 13-20,,,,,,,,,,,,,,,,,,,
46,1972,1972-09-18,1,29.215,WAS,@,MIN,W 24-21,,,,,,,,,,,,,,,,,,,
