ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1973,1973-09-16,1,22.087,NWE,,BUF,L 13-31,2,79,39.50,0
2,1973,1973-09-23,2,22.094,NWE,,KAN,L 7-10,6,263,43.83,0
3,1973,1973-09-30,3,22.101,NWE,@,MIA,L 23-44,4,144,36.00,0
4,1973,1973-10-07,4,22.108,NWE,,BAL,W 24-16,4,132,33.00,0
5,1973,1973-10-14,5,22.115,NWE,,NYJ,L 7-9,7,283,40.43,0
6,1973,1973-10-21,6,22.122,NWE,@,CHI,W 13-10,5,238,47.60,0
7,1973,1973-10-28,7,22.129,NWE,,MIA,L 14-30,3,97,32.33,0
8,1973,1973-11-04,8,22.136,NWE,@,PHI,L 23-24,3,106,35.33,0
9,1973,1973-11-11,9,22.143,NWE,@,NYJ,L 13-33,8,287,35.88,0
10,1973,1973-11-18,10,22.150,NWE,,GNB,W 33-24,2,71,35.50,0
11,1973,1973-11-25,11,22.157,NWE,@,HOU,W 32-0,4,178,44.50,0
12,1973,1973-12-02,12,22.164,NWE,,SDG,W 30-14,2,76,38.00,0
13,1973,1973-12-09,13,22.171,NWE,@,BUF,L 13-37,2,84,42.00,0
14,1973,1973-12-16,14,22.178,NWE,@,BAL,L 13-18,3,96,32.00,0
15,1974,1974-09-15,1,23.086,NWE,,MIA,W 34-24,3,114,38.00,0
16,1974,1974-09-22,2,23.093,NWE,@,NYG,W 28-20,4,151,37.75,0
17,1974,1974-09-29,3,23.100,NWE,,RAM,W 20-14,8,289,36.13,0
18,1974,1974-10-06,4,23.107,NWE,,BAL,W 42-3,3,111,37.00,0
19,1974,1974-10-13,5,23.114,NWE,@,NYJ,W 24-0,6,189,31.50,0
20,1974,1974-10-20,6,23.121,NWE,@,BUF,L 28-30,5,146,29.20,0
21,1974,1974-10-27,7,23.128,NWE,@,MIN,W 17-14,7,277,39.57,0
22,1974,1974-11-03,8,23.135,NWE,,BUF,L 28-29,2,76,38.00,0
23,1974,1974-11-10,9,23.142,NWE,,CLE,L 14-21,7,251,35.86,0
