ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2012,2012-09-09,1,22.300,PIT,@,DEN,L 19-31,*,1,1,12,12.00,0,100.0%,12.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
2,2012,2012-09-16,2,22.307,PIT,,NYJ,W 27-10,,1,1,26,26.00,0,100.0%,26.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
3,2012,2012-09-23,3,22.314,PIT,@,OAK,L 31-34,,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
4,2012,2012-10-07,4,22.328,PIT,,PHI,W 16-14,,,,,,,0.0%,,,,,,,,,,,,,,,
5,2012,2012-10-11,5,22.332,PIT,@,TEN,L 23-26,*,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
6,2012,2012-10-21,6,22.342,PIT,@,CIN,W 24-17,,1,1,2,2.00,0,100.0%,2.00,1,5,5.00,0,0,0,,0,,0,0,0.0,0,0
7,2012,2012-10-28,7,22.349,PIT,,WAS,W 27-12,,2,2,8,4.00,1,100.0%,4.00,0,0,,0,1,8,8.00,0,,1,6,0.0,0,0
8,2012,2012-11-04,8,22.356,PIT,@,NYG,W 24-20,*,3,1,5,5.00,0,33.3%,1.67,1,2,2.00,0,0,0,,0,,0,0,0.0,0,0
9,2012,2012-11-12,9,22.364,PIT,,KAN,W 16-13,*,3,1,7,7.00,0,33.3%,2.33,0,0,,0,0,0,,0,,0,0,0.0,0,0
10,2012,2012-11-18,10,23.004,PIT,,BAL,L 10-13,*,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
11,2012,2012-11-25,11,23.011,PIT,@,CLE,L 14-20,,3,1,13,13.00,0,33.3%,4.33,0,0,,0,0,0,,0,,0,0,0.0,0,0
12,2012,2012-12-02,12,23.018,PIT,@,BAL,W 23-20,,2,2,9,4.50,0,100.0%,4.50,0,0,,0,0,0,,0,,0,0,0.0,0,0
13,2012,2012-12-09,13,23.025,PIT,,SDG,L 24-34,,,,,,,0.0%,,,,,,,,,,,,,,,
14,2012,2012-12-16,14,23.032,PIT,@,DAL,L 24-27,,2,2,34,17.00,0,100.0%,17.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
15,2012,2012-12-23,15,23.039,PIT,,CIN,L 10-13,*,,,,,,0.0%,,,,,,,,,,,,,,,
16,2012,2012-12-30,16,23.046,PIT,,CLE,W 24-10,*,3,2,17,8.50,0,66.7%,5.67,0,0,,0,0,0,,0,,0,0,0.0,0,0
17,2013,2013-09-16,2,23.306,PIT,@,CIN,L 10-20,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,1,0
18,2013,2013-09-22,3,23.312,PIT,,CHI,L 23-40,*,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
19,2013,2013-09-29,4,23.319,PIT,@,MIN,L 27-34,*,,,,,,0.0%,,,,,,,,,,,,,,,
20,2013,2013-10-13,5,23.333,PIT,@,NYJ,W 19-6,,3,2,2,1.00,0,66.7%,0.67,0,0,,0,0,0,,0,,0,0,0.0,1,0
21,2013,2013-10-20,6,23.340,PIT,,BAL,W 19-16,*,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0,0.0,1,0
22,2013,2013-10-27,7,23.347,PIT,@,OAK,L 18-21,,,,,,,0.0%,,,,,,,,,,,,,,,
23,2013,2013-11-03,8,23.354,PIT,@,NWE,L 31-55,,,,,,,0.0%,,,,,,,,,,,,,,,
24,2013,2013-11-10,9,23.361,PIT,,BUF,W 23-10,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,0,1
25,2013,2013-11-17,10,24.003,PIT,,DET,W 37-27,,1,1,1,1.00,1,100.0%,1.00,0,0,,0,0,0,,0,,1,6,0.0,0,0
26,2013,2013-11-24,11,24.010,PIT,@,CLE,W 27-11,,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,,0,0,0.0,1,0
27,2013,2013-11-28,12,24.014,PIT,@,BAL,L 20-22,*,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
28,2013,2013-12-08,13,24.024,PIT,,MIA,L 28-34,,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,,0,0,0.0,1,0
29,2013,2013-12-15,14,24.031,PIT,,CIN,W 30-20,,,,,,,0.0%,,,,,,,,,,,,,,,
30,2013,2013-12-22,15,24.038,PIT,@,GNB,W 38-31,,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,,0,0,0.0,1,0
31,2013,2013-12-29,16,24.045,PIT,,CLE,W 20-7,,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
32,2014,2014-09-07,1,24.297,PIT,,CLE,W 30-27,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
33,2014,2014-09-11,2,24.301,PIT,@,BAL,L 6-26,*,,,,,,0.0%,,,,,,,,,,,,,,,
34,2014,2014-09-21,3,24.311,PIT,@,CAR,W 37-19,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
35,2014,2014-09-28,4,24.318,PIT,,TAM,L 24-27,*,1,0,0,,0,0.0%,0.00,1,0,0.00,0,0,0,,0,,0,0,0.0,0,0
36,2014,2014-10-05,5,24.325,PIT,@,JAX,W 17-9,,1,1,12,12.00,0,100.0%,12.00,1,0,0.00,0,0,0,,0,,0,0,0.0,0,1
37,2014,2014-10-12,6,24.332,PIT,@,CLE,L 10-31,,,,,,,0.0%,,,,,,,,,,,,,,,
