ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,sacks,def_int,def_int_yds,def_int_td
1,1997,1997-08-31,1,22.281,BAL,,JAX,L 27-28,,,,,
2,1997,1997-09-07,2,22.288,BAL,,CIN,W 23-10,,,,,
3,1997,1997-09-14,3,22.295,BAL,@,NYG,W 24-23,,,,,
4,1997,1997-09-21,4,22.302,BAL,@,TEN,W 36-10,,0.0,1,4,0
5,1997,1997-09-28,5,22.309,BAL,@,SDG,L 17-21,,,,,
6,1997,1997-10-05,6,22.316,BAL,,PIT,L 34-42,,,,,
7,1997,1997-10-19,7,22.330,BAL,,MIA,L 13-24,,,,,
8,1997,1997-10-26,8,22.337,BAL,@,WAS,W 20-17,,1.0,0,0,0
9,1997,1997-11-02,9,22.344,BAL,@,NYJ,L 16-19,,,,,
10,1997,1997-11-09,10,22.351,BAL,@,PIT,L 0-37,,,,,
11,1997,1997-11-16,11,22.358,BAL,,PHI,T 10-10,,1.0,0,0,0
12,1997,1997-11-23,12,23.000,BAL,,ARI,L 13-16,,,,,
13,1997,1997-11-30,13,23.007,BAL,@,JAX,L 27-29,,,,,
14,1997,1997-12-07,14,23.014,BAL,,SEA,W 31-24,,1.0,0,0,0
15,1997,1997-12-14,15,23.021,BAL,,TEN,W 21-19,,,,,
16,1997,1997-12-21,16,23.028,BAL,@,CIN,L 14-16,,,,,
17,1998,1998-09-06,1,23.287,BAL,,PIT,L 13-20,,,,,
18,1998,1998-09-13,2,23.294,BAL,@,NYJ,W 24-10,,,,,
19,1998,1998-09-20,3,23.301,BAL,@,JAX,L 10-24,,,,,
20,1998,1998-09-27,4,23.308,BAL,,CIN,W 31-24,,1.0,0,0,0
21,1998,1998-10-11,5,23.322,BAL,,TEN,L 8-12,,,,,
22,1998,1998-10-18,6,23.329,BAL,@,PIT,L 6-16,,,,,
23,1998,1998-10-25,7,23.336,BAL,@,GNB,L 10-28,,,,,
24,1998,1998-11-01,8,23.343,BAL,,JAX,L 19-45,,,,,
25,1998,1998-11-08,9,23.350,BAL,,OAK,W 13-10,,,,,
26,1998,1998-11-15,10,23.357,BAL,@,SDG,L 13-14,,,,,
27,1998,1998-11-22,11,23.364,BAL,@,CIN,W 20-13,,,,,
28,1998,1998-11-29,12,24.006,BAL,,IND,W 38-31,,,,,
29,1998,1998-12-06,13,24.013,BAL,@,TEN,L 14-16,,,,,
30,1998,1998-12-13,14,24.020,BAL,,MIN,L 28-38,,,,,
31,1998,1998-12-20,15,24.027,BAL,@,CHI,L 3-24,,,,,
32,1998,1998-12-27,16,24.034,BAL,,DET,W 19-10,,,,,
33,1999,1999-09-12,1,24.293,BAL,@,STL,L 10-27,*,,,,
34,1999,1999-09-19,2,24.300,BAL,,PIT,L 20-23,*,,,,
35,1999,1999-09-26,3,24.307,BAL,,CLE,W 17-10,*,,,,
36,1999,1999-10-03,4,24.314,BAL,@,ATL,W 19-13,*,,,,
37,1999,1999-10-10,5,24.321,BAL,@,TEN,L 11-14,*,,,,
38,1999,1999-10-21,6,24.332,BAL,,KAN,L 8-35,*,,,,
39,1999,1999-10-31,7,24.342,BAL,,BUF,L 10-13,*,,,,
40,1999,1999-11-07,8,24.349,BAL,@,CLE,W 41-9,*,1.0,0,0,0
41,1999,1999-11-14,9,24.356,BAL,@,JAX,L 3-6,*,2.0,0,0,0
42,1999,1999-11-21,10,24.363,BAL,@,CIN,W 34-31,*,,,,
43,1999,1999-11-28,11,25.005,BAL,,JAX,L 23-30,*,,,,
44,1999,1999-12-05,12,25.012,BAL,,TEN,W 41-14,*,,,,
45,1999,1999-12-12,13,25.019,BAL,@,PIT,W 31-24,*,,,,
