ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1997,1997-11-23,12,28.171,ATL,,NOR,W 20-3,,,0,0,,0,0.0%,,,,,
2,1997,1997-11-30,13,28.178,ATL,@,SEA,W 24-17,,2,1,2,2.00,0,50.0%,1.00,0,0,,0
3,1997,1997-12-07,14,28.185,ATL,@,SDG,W 14-3,,1,0,0,,0,0.0%,0.00,,,,
4,1997,1997-12-14,15,28.192,ATL,,PHI,W 20-17,,0,0,0,,0,0.0%,,,,,
5,1997,1997-12-21,16,28.199,ATL,@,ARI,L 26-29,,,0,0,,0,0.0%,,,,,
6,1998,1998-09-06,1,29.093,ATL,@,CAR,W 19-14,,,,,,,0.0%,,,,,
7,1998,1998-09-13,2,29.100,ATL,,PHI,W 17-12,,,,,,,0.0%,,,,,
8,1998,1998-09-27,3,29.114,ATL,@,SFO,L 20-31,,,,,,,0.0%,,,,,
9,1998,1998-10-04,4,29.121,ATL,,CAR,W 51-23,,,,,,,0.0%,,,,,
10,1998,1998-10-11,5,29.128,ATL,@,NYG,W 34-20,,,,,,,0.0%,,,,,
11,1998,1998-10-18,6,29.135,ATL,,NOR,W 31-23,,,,,,,0.0%,,,,,
12,1998,1998-11-01,8,29.149,ATL,,STL,W 37-15,,,,,,,0.0%,,,,,
13,1998,1998-11-08,9,29.156,ATL,@,NWE,W 41-10,,,,,,,0.0%,,,,,
14,1998,1998-11-15,10,29.163,ATL,,SFO,W 31-19,,,,,,,0.0%,,,,,
15,1998,1998-11-22,11,29.170,ATL,,CHI,W 20-13,,,,,,,0.0%,,,,,
16,1998,1998-11-29,12,29.177,ATL,@,STL,W 21-10,,,,,,,0.0%,,,,,
17,1998,1998-12-06,13,29.184,ATL,,IND,W 28-21,,,,,,,0.0%,,,,,
18,1998,1998-12-13,14,29.191,ATL,@,NOR,W 27-17,,,,,,,0.0%,,,,,
19,1998,1998-12-20,15,29.198,ATL,@,DET,W 24-17,,,,,,,0.0%,,,,,
20,1998,1998-12-27,16,29.205,ATL,,MIA,W 38-16,,,,,,,0.0%,,,,,
21,1999,1999-10-03,4,30.120,PHI,@,NYG,L 15-16,,,0,0,,0,0.0%,,0,0,,0
22,1999,1999-10-10,5,30.127,PHI,,DAL,W 13-10,,,0,0,,0,0.0%,,0,0,,0
23,1999,1999-10-17,6,30.134,PHI,@,CHI,W 20-16,,0,,,,,0.0%,,,,,
24,1999,1999-10-24,7,30.141,PHI,@,MIA,L 13-16,,,,,,,0.0%,,,,,
25,1999,1999-10-31,8,30.148,PHI,,NYG,L 17-23,,1,,,,,0.0%,,,,,
26,1999,1999-11-07,9,30.155,PHI,@,CAR,L 7-33,,0,0,0,,0,0.0%,,1,1,1.00,0
27,1999,1999-11-14,10,30.162,PHI,,WAS,W 35-28,,1,,,,,0.0%,,,,,
28,1999,1999-12-12,13,30.190,DET,@,TAM,L 16-23,,,,,,,0.0%,,,,,
29,1999,1999-12-19,14,30.197,DET,@,CHI,L 10-28,,,,,,,0.0%,,,,,
30,1999,1999-12-25,15,30.203,DET,,DEN,L 7-17,,,,,,,0.0%,,,,,
