ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,2015,2015-11-01,8,23.318,ATL,,TAM,L 20-23,,4,2,21,10.50,0,50.0%,5.25,0,0,,0,0,0,,0,0,0
2,2015,2015-11-08,9,23.325,ATL,@,SFO,L 16-17,*,4,4,17,4.25,0,100.0%,4.25,0,0,,0,0,0,,0,0,0
3,2015,2015-11-22,10,23.339,ATL,,IND,L 21-24,,2,1,7,7.00,0,50.0%,3.50,0,0,,0,0,0,,0,0,0
4,2015,2015-11-29,11,23.346,ATL,,MIN,L 10-20,,2,2,21,10.50,0,100.0%,10.50,0,0,,0,0,0,,0,0,0
5,2015,2015-12-06,12,23.353,ATL,@,TAM,L 19-23,,3,2,34,17.00,0,66.7%,11.33,0,0,,0,0,0,,0,0,0
6,2015,2015-12-13,13,23.360,ATL,@,CAR,L 0-38,,7,1,9,9.00,0,14.3%,1.29,0,0,,0,0,0,,0,0,0
7,2015,2015-12-20,14,24.002,ATL,@,JAX,W 23-17,,5,3,36,12.00,0,60.0%,7.20,0,0,,0,0,0,,0,0,0
8,2015,2015-12-27,15,24.009,ATL,,CAR,W 20-13,,3,2,15,7.50,0,66.7%,5.00,0,0,,0,0,0,,0,0,0
9,2015,2016-01-03,16,24.016,ATL,,NOR,L 17-20,,6,4,34,8.50,0,66.7%,5.67,0,0,,0,0,0,,0,0,0
10,2016,2016-09-11,1,24.268,ATL,,TAM,L 24-31,*,2,1,0,0.00,0,50.0%,0.00,0,0,,0,0,0,,0,0,0
11,2016,2016-09-18,2,24.275,ATL,@,OAK,W 35-28,,3,1,8,8.00,1,33.3%,2.67,0,0,,0,0,0,,0,1,6
12,2016,2016-09-26,3,24.283,ATL,@,NOR,W 45-32,,2,2,26,13.00,1,100.0%,13.00,0,0,,0,0,0,,0,1,6
13,2016,2016-10-02,4,24.289,ATL,,CAR,W 48-33,,0,0,0,,0,0.0%,,1,32,32.00,0,0,0,,0,0,0
14,2016,2016-10-09,5,24.296,ATL,@,DEN,W 23-16,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
15,2016,2016-10-16,6,24.303,ATL,@,SEA,L 24-26,,3,3,30,10.00,0,100.0%,10.00,0,0,,0,0,0,,0,0,0
16,2016,2016-10-23,7,24.310,ATL,,SDG,L 30-33,,2,2,6,3.00,0,100.0%,3.00,0,0,,0,0,0,,0,0,0
17,2016,2016-10-30,8,24.317,ATL,,GNB,W 33-32,,1,1,13,13.00,0,100.0%,13.00,0,0,,0,0,0,,0,0,0
18,2016,2016-11-03,9,24.321,ATL,@,TAM,W 43-28,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
19,2016,2016-11-13,10,24.331,ATL,@,PHI,L 15-24,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
20,2016,2016-11-27,11,24.345,ATL,,ARI,W 38-19,,4,3,47,15.67,0,75.0%,11.75,0,0,,0,0,0,,0,0,0
21,2016,2016-12-04,12,24.352,ATL,,KAN,L 28-29,,3,1,5,5.00,0,33.3%,1.67,0,0,,0,0,0,,0,0,0
22,2016,2016-12-11,13,24.359,ATL,@,LAR,W 42-14,*,2,2,9,4.50,1,100.0%,4.50,0,0,,0,0,0,,0,1,6
23,2016,2016-12-18,14,25.000,ATL,,SFO,W 41-13,,2,1,16,16.00,0,50.0%,8.00,0,0,,0,0,0,,0,0,0
24,2016,2016-12-24,15,25.006,ATL,@,CAR,W 33-16,,0,0,0,,0,0.0%,,1,10,10.00,0,0,0,,0,0,0
25,2016,2017-01-01,16,25.014,ATL,,NOR,W 38-32,*,7,4,43,10.75,1,57.1%,6.14,1,10,10.00,0,0,0,,0,1,6
26,2017,2017-09-10,1,25.266,ATL,@,CHI,W 23-17,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
27,2017,2017-09-17,2,25.273,ATL,,GNB,W 34-23,,2,1,19,19.00,0,50.0%,9.50,0,0,,0,0,0,,0,0,0
28,2017,2017-09-24,3,25.280,ATL,@,DET,W 30-26,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
29,2017,2017-10-01,4,25.287,ATL,,BUF,L 17-23,,6,2,12,6.00,1,33.3%,2.00,0,0,,0,0,0,,0,1,6
30,2017,2017-10-15,5,25.301,ATL,,MIA,L 17-20,,3,3,34,11.33,0,100.0%,11.33,0,0,,0,0,0,,0,0,0
31,2017,2017-10-22,6,25.308,ATL,@,NWE,L 7-23,,2,2,21,10.50,0,100.0%,10.50,0,0,,0,0,0,,0,0,0
32,2017,2017-10-29,7,25.315,ATL,@,NYJ,W 25-20,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
33,2017,2017-11-05,8,25.322,ATL,@,CAR,L 17-20,,2,2,26,13.00,0,100.0%,13.00,0,0,,0,0,0,,0,0,0
34,2017,2017-11-12,9,25.329,ATL,,DAL,W 27-7,,2,2,7,3.50,1,100.0%,3.50,0,0,,0,0,0,,0,1,6
35,2017,2017-11-20,10,25.337,ATL,@,SEA,W 34-31,,4,3,27,9.00,0,75.0%,6.75,0,0,,0,0,0,,0,0,0
36,2017,2017-11-26,11,25.343,ATL,,TAM,W 34-20,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
37,2017,2017-12-03,12,25.350,ATL,,MIN,L 9-14,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
