ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1960,1960-09-09,1,28.201,BOS,,DEN,L 10-13,,,,,,,,
2,1960,1960-09-17,2,28.209,BOS,@,NYT,W 28-24,,,,,,,,
3,1960,1960-09-23,3,28.215,BOS,,BUF,L 0-13,,,,,,,,
4,1960,1960-10-08,4,28.230,BOS,@,LAC,W 35-0,,,,,,,,
5,1960,1960-10-16,5,28.238,BOS,@,OAK,L 14-27,,,,,,,,
6,1960,1960-10-23,6,28.245,BOS,@,DEN,L 24-31,,,,,,,,
7,1960,1960-10-28,7,28.250,BOS,,LAC,L 16-45,1,11,11.00,0,0,0,,0
8,1960,1960-11-04,8,28.257,BOS,,OAK,W 34-28,,,,,,,,
9,1960,1960-11-11,9,28.264,BOS,,NYT,W 38-21,,,,,,,,
10,1960,1960-11-18,10,28.271,BOS,,DTX,W 42-14,,,,,,,,
11,1960,1960-11-25,11,28.278,BOS,,HOU,L 10-24,,,,,,,,
12,1960,1960-12-04,12,28.287,BOS,@,BUF,L 14-38,,,,,,,,
13,1960,1960-12-11,13,28.294,BOS,@,DTX,L 0-34,0,0,,0,0,0,,0
14,1960,1960-12-18,14,28.301,BOS,@,HOU,L 21-37,,,,,,,,
15,1961,1961-09-23,3,29.214,BOS,@,BUF,W 23-21,0,0,,0,1,0,0.00,0
