ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,2014,2014-09-07,1,23.029,PIT,,CLE,W 30-27,,1,4,4.00,0,1,0,0,,0,0.0%,0.00,2,29,14.50,0,0,0,,0
2,2014,2014-09-28,4,23.050,PIT,,TAM,L 24-27,,0,0,,0,1,1,1,1.00,0,100.0%,1.00,0,0,,0,0,0,,0
3,2014,2014-10-05,5,23.057,PIT,@,JAX,W 17-9,,1,2,2.00,0,2,2,8,4.00,0,100.0%,4.00,2,36,18.00,0,0,0,,0
4,2014,2014-10-12,6,23.064,PIT,@,CLE,L 10-31,,3,24,8.00,0,1,1,0,0.00,0,100.0%,0.00,3,64,21.33,0,1,2,2.00,0
5,2014,2014-10-20,7,23.072,PIT,,HOU,W 30-23,,2,7,3.50,0,0,0,0,,0,0.0%,,2,32,16.00,0,0,0,,0
6,2014,2014-10-26,8,23.078,PIT,,IND,W 51-34,,0,0,,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0
7,2014,2014-11-02,9,23.085,PIT,,BAL,W 43-23,,1,4,4.00,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0
8,2014,2014-11-09,10,23.092,PIT,@,NYJ,L 13-20,,,,,,,,,,,0.0%,,,,,,,,,
9,2014,2014-11-17,11,23.100,PIT,@,TEN,W 27-24,,0,0,,0,1,1,-5,-5.00,0,100.0%,-5.00,0,0,,0,0,0,,0
10,2014,2014-11-30,12,23.113,PIT,,NOR,L 32-35,,1,0,0.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
11,2014,2014-12-21,15,23.134,PIT,,KAN,W 20-12,,,,,,,,,,,0.0%,,,,,,,,,
12,2014,2014-12-28,16,23.141,PIT,,CIN,W 27-17,,1,-1,-1.00,0,2,2,19,9.50,0,100.0%,9.50,0,0,,0,0,0,,0
13,2015,2015-09-10,1,24.032,PIT,@,NWE,L 21-28,,0,0,,0,0,0,0,,0,0.0%,,1,22,22.00,0,0,0,,0
14,2015,2015-09-20,2,24.042,PIT,,SFO,W 43-18,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
15,2015,2015-09-27,3,24.049,PIT,@,STL,W 12-6,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
16,2015,2015-10-01,4,24.053,PIT,,BAL,L 20-23,,0,0,,0,0,0,0,,0,0.0%,,1,31,31.00,0,0,0,,0
17,2015,2015-10-12,5,24.064,PIT,@,SDG,W 24-20,,0,0,,0,0,0,0,,0,0.0%,,2,62,31.00,0,0,0,,0
18,2015,2015-10-18,6,24.070,PIT,,ARI,W 25-13,,0,0,,0,0,0,0,,0,0.0%,,4,89,22.25,0,0,0,,0
19,2015,2015-10-25,7,24.077,PIT,@,KAN,L 13-23,,0,0,,0,0,0,0,,0,0.0%,,4,116,29.00,0,0,0,,0
20,2015,2015-11-01,8,24.084,PIT,,CIN,L 10-16,,0,0,,0,0,0,0,,0,0.0%,,2,34,17.00,0,0,0,,0
