ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1971,1971-09-19,1,23.151,CIN,,PHI,W 37-14,,,,,,,,,,,,,
2,1971,1971-09-26,2,23.158,CIN,@,PIT,L 10-21,,,,,,,,,,,,,
3,1971,1971-10-03,3,23.165,CIN,@,GNB,L 17-20,,,,,,,,,,,,,
4,1971,1971-10-10,4,23.172,CIN,,MIA,L 13-23,,,,,,,,,,,,,
5,1971,1971-10-17,5,23.179,CIN,,CLE,L 24-27,,,,,,,,,,,,,
6,1971,1971-10-24,6,23.186,CIN,@,OAK,L 27-31,,,,,,,,,,,,,
7,1971,1971-10-31,7,23.193,CIN,@,HOU,L 6-10,,,,,,,,,,,,,
8,1971,1971-11-07,8,23.200,CIN,,ATL,L 6-9,,,,,,,,,,,,,
9,1971,1971-11-14,9,23.207,CIN,@,DEN,W 24-10,,,,,,,,,,,,,
10,1971,1971-11-21,10,23.214,CIN,,HOU,W 28-13,,,,,,,,,,,,,
11,1971,1971-11-28,11,23.221,CIN,,SDG,W 31-0,0,0,,0,0,0,,0,0,0,1,0,0
12,1971,1971-12-05,12,23.228,CIN,@,CLE,L 27-31,,,,,,,,,,,,,
13,1972,1972-09-17,1,24.149,CIN,@,NWE,W 31-7,0,0,,0,0,0,,0,0,0,1,13,0
14,1972,1972-09-24,2,24.156,CIN,,PIT,W 15-10,,,,,,,,,,,,,
15,1972,1972-10-01,3,24.163,CIN,@,CLE,L 6-27,,,,,,,,,,,,,
16,1972,1972-10-08,4,24.170,CIN,,DEN,W 21-10,,,,,,,,,,,,,
17,1972,1972-10-15,5,24.177,CIN,@,KAN,W 23-16,,,,,,,,,,,,,
18,1972,1972-10-22,6,24.184,CIN,@,RAM,L 12-15,,,,,,,,,,,,,
19,1972,1972-10-29,7,24.191,CIN,,HOU,W 30-7,,,,,,,,,,,,,
20,1972,1972-11-05,8,24.198,CIN,@,PIT,L 17-40,,,,,,,,,,,,,
21,1972,1972-11-12,9,24.205,CIN,,OAK,L 14-20,,,,,,,,,,,,,
22,1972,1972-11-19,10,24.212,CIN,,BAL,L 19-20,,,,,,,,,,,,,
23,1972,1972-11-26,11,24.219,CIN,@,CHI,W 13-3,,,,,,,,,,,,,
24,1972,1972-12-03,12,24.226,CIN,,NYG,W 13-10,,,,,,,,,,,,,
25,1972,1972-12-09,13,24.232,CIN,,CLE,L 24-27,,,,,,,,,,,,,
26,1972,1972-12-17,14,24.240,CIN,@,HOU,W 61-17,0,0,,0,0,0,,0,1,6,1,63,1
27,1973,1973-09-16,1,25.148,CIN,@,DEN,L 10-28,,,,,,,,,,,,,
28,1973,1973-09-23,2,25.155,CIN,,HOU,W 24-10,,,,,,,,,,,,,
29,1973,1973-09-30,3,25.162,CIN,@,SDG,W 20-13,0,0,,0,0,0,,0,0,0,1,30,0
30,1973,1973-10-07,4,25.169,CIN,@,CLE,L 10-17,,,,,,,,,,,,,
31,1973,1973-10-14,5,25.176,CIN,,PIT,W 19-7,,,,,,,,,,,,,
32,1973,1973-10-21,6,25.183,CIN,,KAN,W 14-6,,,,,,,,,,,,,
33,1973,1973-10-28,7,25.190,CIN,@,PIT,L 13-20,,,,,,,,,,,,,
34,1973,1973-11-04,8,25.197,CIN,@,DAL,L 10-38,,,,,,,,,,,,,
35,1973,1973-11-11,9,25.204,CIN,@,BUF,W 16-13,0,0,,0,0,0,,0,0,0,1,22,0
36,1973,1973-11-18,10,25.211,CIN,,NYJ,W 20-14,,,,,,,,,,,,,
37,1973,1973-11-25,11,25.218,CIN,,STL,W 42-24,,,,,,,,,,,,,
38,1973,1973-12-02,12,25.225,CIN,,MIN,W 27-0,,,,,,,,,,,,,
39,1973,1973-12-09,13,25.232,CIN,,CLE,W 34-17,,,,,,,,,,,,,
40,1973,1973-12-16,14,25.239,CIN,@,HOU,W 27-24,,,,,,,,,,,,,
41,1974,1974-09-16,1,26.148,BUF,,OAK,W 21-20,,,,,,,,,,,,,
42,1974,1974-09-22,2,26.154,BUF,,MIA,L 16-24,,,,,,,,,,,,,
43,1974,1974-09-29,3,26.161,BUF,,NYJ,W 16-12,,,,,,,,,,,,,
44,1974,1974-10-06,4,26.168,BUF,@,GNB,W 27-7,,,,,,,,,,,,,
45,1974,1974-10-13,5,26.175,BUF,@,BAL,W 27-14,0,0,,0,0,0,,0,1,6,1,55,1
46,1974,1974-10-20,6,26.182,BUF,,NWE,W 30-28,0,0,,0,1,0,0.00,0,0,0,0,0,0
47,1974,1974-10-27,7,26.189,BUF,,CHI,W 16-6,,,,,,,,,,,,,
48,1974,1974-11-03,8,26.196,BUF,@,NWE,W 29-28,,,,,,,,,,,,,
49,1974,1974-11-10,9,26.203,BUF,,HOU,L 9-21,,,,,,,,,,,,,
50,1974,1974-11-17,10,26.210,BUF,@,MIA,L 28-35,,,,,,,,,,,,,
51,1974,1974-11-24,11,26.217,BUF,@,CLE,W 15-10,,,,,,,,,,,,,
52,1974,1974-12-01,12,26.224,BUF,,BAL,W 6-0,,,,,,,,,,,,,
53,1974,1974-12-08,13,26.231,BUF,@,NYJ,L 10-20,,,,,,,,,,,,,
54,1974,1974-12-15,14,26.238,BUF,@,RAM,L 14-19,,,,,,,,,,,,,
55,1975,1975-10-05,3,27.167,CLE,,PIT,L 6-42,,,,,,,,,,,,,
56,1975,1975-10-12,4,27.174,CLE,,HOU,L 10-40,1,1,1.00,0,0,0,,0,0,0,0,0,0
57,1975,1975-10-19,5,27.181,CLE,@,DEN,L 15-16,,,,,,,,,,,,,
58,1975,1975-10-26,6,27.188,CLE,,WAS,L 7-23,,,,,,,,,,,,,
59,1975,1975-11-02,7,27.195,CLE,@,BAL,L 7-21,,,,,,,,,,,,,
60,1975,1975-11-16,9,27.209,CLE,@,OAK,L 17-38,,,,,,,,,,,,,
61,1975,1975-11-23,10,27.216,CLE,,CIN,W 35-23,,,,,,,,,,,,,
62,1975,1975-11-30,11,27.223,CLE,,NOR,W 17-16,,,,,,,,,,,,,
63,1975,1975-12-07,12,27.230,CLE,@,PIT,L 17-31,,,,,,,,,,,,,
64,1975,1975-12-14,13,27.237,CLE,,KAN,W 40-14,0,0,,0,0,0,,0,0,0,1,0,0
65,1975,1975-12-21,14,27.244,CLE,@,HOU,L 10-21,,,,,,,,,,,,,
66,1976,1976-09-12,1,28.144,CLE,,NYJ,W 38-17,,,,,,,,,,,,,
67,1976,1976-09-19,2,28.151,CLE,@,PIT,L 14-31,,,,,,,,,,,,,
68,1976,1976-09-26,3,28.158,CLE,@,DEN,L 13-44,,,,,,,,,,,,,
69,1976,1976-10-03,4,28.165,CLE,,CIN,L 24-45,0,0,,0,0,0,,0,0,0,1,8,0
70,1976,1976-10-10,5,28.172,CLE,,PIT,W 18-16,,,,,,,,,,,,,
71,1976,1976-10-17,6,28.179,CLE,@,ATL,W 20-17,,,,,,,,,,,,,
72,1976,1976-10-24,7,28.186,CLE,,SDG,W 21-17,,,,,,,,,,,,,
73,1976,1976-10-31,8,28.193,CLE,@,CIN,L 6-21,,,,,,,,,,,,,
74,1976,1976-11-07,9,28.200,CLE,@,HOU,W 21-7,,,,,,,,,,,,,
75,1976,1976-11-14,10,28.207,CLE,,PHI,W 24-3,,,,,,,,,,,,,
76,1976,1976-11-21,11,28.214,CLE,@,TAM,W 24-7,,,,,,,,,,,,,
77,1976,1976-11-28,12,28.221,CLE,,MIA,W 17-13,,,,,,,,,,,,,
78,1976,1976-12-05,13,28.228,CLE,,HOU,W 13-10,,,,,,,,,,,,,
79,1976,1976-12-12,14,28.235,CLE,@,KAN,L 14-39,,,,,,,,,,,,,
