ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,sacks
1,1985,1985-09-08,1,20.364,IND,@,PIT,L 3-45,1.0
2,1985,1985-09-15,2,21.006,IND,@,MIA,L 13-30,
3,1985,1985-09-29,4,21.020,IND,@,NYJ,L 20-25,
4,1985,1985-10-06,5,21.027,IND,,BUF,W 49-17,
5,1985,1985-10-13,6,21.034,IND,,DEN,L 10-15,
6,1985,1985-10-20,7,21.041,IND,@,BUF,L 9-21,
7,1985,1985-10-27,8,21.048,IND,,GNB,W 37-10,
8,1985,1985-11-03,9,21.055,IND,,NYJ,L 17-35,
9,1985,1985-11-10,10,21.062,IND,@,NWE,L 15-34,
10,1985,1985-11-17,11,21.069,IND,,MIA,L 20-34,
11,1985,1985-11-24,12,21.076,IND,@,KAN,L 7-20,
12,1985,1985-12-01,13,21.083,IND,,NWE,L 31-38,
13,1985,1985-12-08,14,21.090,IND,@,CHI,L 10-17,
14,1985,1985-12-15,15,21.097,IND,@,TAM,W 31-23,
15,1985,1985-12-22,16,21.104,IND,,HOU,W 34-16,
16,1986,1986-09-07,1,21.363,IND,@,NWE,L 3-33,
17,1986,1986-09-14,2,22.005,IND,@,MIA,L 10-30,
18,1986,1986-09-21,3,22.012,IND,,RAM,L 7-24,
19,1986,1986-09-28,4,22.019,IND,,NYJ,L 7-26,
20,1986,1986-10-05,5,22.026,IND,@,SFO,L 14-35,
21,1986,1986-10-12,6,22.033,IND,,NOR,L 14-17,
22,1986,1986-10-19,7,22.040,IND,@,BUF,L 13-24,
23,1986,1986-10-26,8,22.047,IND,,MIA,L 13-17,
24,1986,1986-11-09,10,22.061,IND,,NWE,L 21-30,
25,1986,1986-11-16,11,22.068,IND,@,NYJ,L 16-31,
26,1986,1986-11-23,12,22.075,IND,@,HOU,L 17-31,
27,1986,1986-11-30,13,22.082,IND,,SDG,L 3-17,
28,1986,1986-12-07,14,22.089,IND,@,ATL,W 28-23,
29,1986,1986-12-14,15,22.096,IND,,BUF,W 24-14,
30,1986,1986-12-21,16,22.103,IND,@,RAI,W 30-24,1.0
31,1989,1989-09-10,1,25.001,DAL,@,NOR,L 0-28,
32,1989,1989-09-17,2,25.008,DAL,@,ATL,L 21-27,
33,1989,1989-09-24,3,25.015,DAL,,WAS,L 7-30,
34,1989,1989-10-01,4,25.022,DAL,,NYG,L 13-30,
35,1989,1989-10-08,5,25.029,DAL,@,GNB,L 13-31,
36,1989,1989-10-15,6,25.036,DAL,,SFO,L 14-31,
37,1989,1989-10-22,7,25.043,DAL,@,KAN,L 28-36,
38,1989,1989-10-29,8,25.050,DAL,,PHO,L 10-19,1.5
39,1989,1989-11-05,9,25.057,DAL,@,WAS,W 13-3,
40,1989,1989-11-12,10,25.064,DAL,@,PHO,L 20-24,
41,1989,1989-11-19,11,25.071,DAL,,MIA,L 14-17,
42,1989,1989-11-23,12,25.075,DAL,,PHI,L 0-27,
43,1989,1989-12-03,13,25.085,DAL,,RAM,L 31-35,
44,1989,1989-12-10,14,25.092,DAL,@,PHI,L 10-20,
45,1989,1989-12-16,15,25.098,DAL,@,NYG,L 0-15,0.5
46,1989,1989-12-24,16,25.106,DAL,,GNB,L 10-20,1.0
47,1990,1990-09-09,1,26.000,DAL,,SDG,W 17-14,
48,1990,1990-09-16,2,26.007,DAL,,NYG,L 7-28,
49,1990,1990-09-23,3,26.014,DAL,@,WAS,L 15-19,
50,1990,1990-09-30,4,26.021,DAL,@,NYG,L 17-31,
51,1992,1992-09-06,1,27.363,RAI,@,DEN,L 13-17,
52,1992,1992-09-13,2,28.004,RAI,@,CIN,L 21-24,
53,1992,1992-09-20,3,28.011,RAI,,CLE,L 16-28,
54,1992,1992-09-28,4,28.019,RAI,@,KAN,L 7-27,
55,1992,1992-10-04,5,28.025,RAI,,NYG,W 13-10,
56,1992,1992-10-11,6,28.032,RAI,,BUF,W 20-3,
57,1992,1992-10-18,7,28.039,RAI,@,SEA,W 19-0,
58,1992,1992-10-25,8,28.046,RAI,,DAL,L 13-28,
59,1992,1992-11-08,9,28.060,RAI,@,PHI,L 10-31,
60,1992,1992-11-15,10,28.067,RAI,,SEA,W 20-3,1.0
61,1992,1992-11-22,11,28.074,RAI,,DEN,W 24-0,
62,1992,1992-11-29,12,28.081,RAI,@,SDG,L 3-27,
63,1992,1992-12-06,13,28.088,RAI,,KAN,W 28-7,
64,1992,1992-12-14,14,28.096,RAI,@,MIA,L 7-20,
65,1992,1992-12-20,15,28.102,RAI,,SDG,L 14-36,
66,1992,1992-12-26,16,28.108,RAI,@,WAS,W 21-20,
67,1993,1993-09-05,1,28.361,RAI,,MIN,W 24-7,
68,1993,1993-09-12,2,29.003,RAI,@,SEA,W 17-13,1.0
69,1993,1993-09-19,3,29.010,RAI,,CLE,L 16-19,
70,1993,1993-10-03,4,29.024,RAI,@,KAN,L 9-24,
71,1993,1993-10-10,5,29.031,RAI,,NYJ,W 24-20,
72,1993,1993-10-18,6,29.039,RAI,@,DEN,W 23-20,
73,1993,1993-10-31,7,29.052,RAI,,SDG,L 23-30,
74,1993,1993-11-07,8,29.059,RAI,@,CHI,W 16-14,
75,1993,1993-11-14,9,29.066,RAI,,KAN,L 20-31,
76,1993,1993-11-28,11,29.080,RAI,@,CIN,L 10-16,
77,1993,1993-12-05,12,29.087,RAI,@,BUF,W 25-24,
78,1993,1993-12-12,13,29.094,RAI,,SEA,W 27-23,
79,1993,1993-12-19,14,29.101,RAI,,TAM,W 27-20,
80,1993,1993-12-26,15,29.108,RAI,@,GNB,L 0-28,
81,1993,1994-01-02,16,29.115,RAI,,DEN,W 33-30,
82,1995,1995-09-03,1,30.359,NOR,,SFO,L 22-24,
83,1995,1995-09-10,2,31.001,NOR,@,STL,L 13-17,
84,1995,1995-09-17,3,31.008,NOR,,ATL,L 24-27,1.0
85,1995,1995-09-24,4,31.015,NOR,@,NYG,L 29-45,
86,1995,1995-10-01,5,31.022,NOR,,PHI,L 10-15,
87,1995,1995-10-15,6,31.036,NOR,,MIA,W 33-30,
88,1995,1995-10-22,7,31.043,NOR,@,CAR,L 3-20,
89,1995,1995-10-29,8,31.050,NOR,@,SFO,W 11-7,
90,1995,1995-11-05,9,31.057,NOR,,STL,W 19-10,
91,1995,1995-11-12,10,31.064,NOR,,IND,W 17-14,
92,1995,1995-11-19,11,31.071,NOR,@,MIN,L 24-43,1.0
93,1995,1995-11-26,12,31.078,NOR,,CAR,W 34-26,
94,1995,1995-12-03,13,31.085,NOR,@,NWE,W 31-17,
95,1995,1995-12-10,14,31.092,NOR,@,ATL,L 14-19,
96,1995,1995-12-16,15,31.098,NOR,,GNB,L 23-34,
97,1995,1995-12-24,16,31.106,NOR,@,NYJ,W 12-0,
98,1996,1996-09-01,1,31.358,NOR,@,SFO,L 11-27,
99,1996,1996-09-08,2,31.365,NOR,,CAR,L 20-22,
100,1996,1996-09-15,3,32.006,NOR,@,CIN,L 15-30,
101,1996,1996-09-22,4,32.013,NOR,,ARI,L 14-28,
102,1996,1996-10-06,6,32.027,NOR,,JAX,W 17-13,
103,1996,1996-10-13,7,32.034,NOR,,CHI,W 27-24,
104,1996,1996-10-20,8,32.041,NOR,@,CAR,L 7-19,
105,1996,1996-11-03,9,32.055,NOR,,SFO,L 17-24,2.0
106,1996,1996-11-10,10,32.062,NOR,,HOU,L 14-31,
107,1996,1996-11-17,11,32.069,NOR,@,ATL,L 15-17,
108,1996,1996-11-24,12,32.076,NOR,@,TAM,L 7-13,
109,1996,1996-12-01,13,32.083,NOR,,STL,L 10-26,
110,1996,1996-12-08,14,32.090,NOR,,ATL,L 15-31,
