ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2012,2012-09-09,1,23.210,TAM,,CAR,W 16-10,,0,0,,0,0.0,0,0,0,0,0
2,2012,2012-09-16,2,23.217,TAM,@,NYG,L 34-41,,,,,,,,,,,
3,2012,2012-11-11,9,23.273,TAM,,SDG,W 34-24,,,,,,,,,,,
4,2012,2012-11-25,11,23.287,TAM,,ATL,L 23-24,,0,0,,0,0.0,0,0,0,0,0
5,2012,2012-12-02,12,23.294,TAM,@,DEN,L 23-31,,,,,,,,,,,
6,2012,2012-12-09,13,23.301,TAM,,PHI,L 21-23,,0,0,,0,0.0,0,0,0,0,0
7,2012,2012-12-16,14,23.308,TAM,@,NOR,L 0-41,,1,18,18.00,0,0.0,0,0,0,0,0
8,2012,2012-12-23,15,23.315,TAM,,STL,L 13-28,,,,,,,,,,,
9,2012,2012-12-30,16,23.322,TAM,@,ATL,W 22-17,,,,,,,,,,,
10,2013,2013-09-08,1,24.208,TAM,@,NYJ,L 17-18,,,,,,,,,,,
11,2013,2013-09-15,2,24.215,TAM,,NOR,L 14-16,,0,0,,0,0.0,0,1,0,0,0
12,2013,2013-09-22,3,24.222,TAM,@,NWE,L 3-23,,,,,,,,,,,
13,2013,2013-09-29,4,24.229,TAM,,ARI,L 10-13,,0,0,,0,0.0,1,0,0,0,0
14,2013,2013-10-13,5,24.243,TAM,,PHI,L 20-31,,0,0,,0,0.0,3,0,0,0,0
15,2013,2013-10-20,6,24.250,TAM,@,ATL,L 23-31,,0,0,,0,0.0,0,2,0,0,0
16,2013,2013-10-24,7,24.254,TAM,,CAR,L 13-31,*,0,0,,0,0.0,4,0,0,0,0
17,2013,2013-11-03,8,24.264,TAM,@,SEA,L 24-27,*,0,0,,0,0.0,2,3,1,6,0
18,2013,2013-11-11,9,24.272,TAM,,MIA,W 22-19,,,,,,,,,,,
