ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,2015,2015-09-13,1,23.073,MIA,@,WAS,W 17-10,,0,0,,0,4,217,54.25,0
2,2015,2015-09-20,2,23.080,MIA,@,JAX,L 20-23,,0,0,,0,6,289,48.17,0
3,2015,2015-09-27,3,23.087,MIA,,BUF,L 14-41,,0,0,,0,4,196,49.00,0
4,2015,2015-10-04,4,23.094,MIA,,NYJ,L 14-27,,0,0,,0,7,322,46.00,0
5,2015,2015-10-18,5,23.108,MIA,@,TEN,W 38-10,,0,0,,0,3,131,43.67,0
6,2015,2015-10-25,6,23.115,MIA,,HOU,W 44-26,,0,0,,0,5,246,49.20,0
7,2015,2015-10-29,7,23.119,MIA,@,NWE,L 7-36,,0,0,,0,6,349,58.17,0
8,2015,2015-11-08,8,23.129,MIA,@,BUF,L 17-33,,0,0,,0,3,114,38.00,0
9,2015,2015-11-15,9,23.136,MIA,@,PHI,W 20-19,,0,0,,0,8,393,49.13,0
10,2015,2015-11-22,10,23.143,MIA,,DAL,L 14-24,,0,0,,0,7,305,43.57,0
11,2015,2015-11-29,11,23.150,MIA,@,NYJ,L 20-38,,0,0,,0,8,360,45.00,0
12,2015,2015-12-06,12,23.157,MIA,,BAL,W 15-13,,0,0,,0,9,412,45.78,0
13,2015,2015-12-14,13,23.165,MIA,,NYG,L 24-31,,0,0,,0,6,280,46.67,0
14,2015,2015-12-20,14,23.171,MIA,@,SDG,L 14-30,,0,0,,0,8,366,45.75,0
15,2015,2015-12-27,15,23.178,MIA,,IND,L 12-18,,0,0,,0,3,157,52.33,0
16,2015,2016-01-03,16,23.185,MIA,,NWE,W 20-10,,0,0,,0,5,243,48.60,0
17,2016,2016-09-11,1,24.071,MIA,@,SEA,L 10-12,,0,0,,0,7,327,46.71,0
18,2016,2016-09-18,2,24.078,MIA,@,NWE,L 24-31,,0,0,,0,4,199,49.75,0
19,2016,2016-09-25,3,24.085,MIA,,CLE,W 30-24,,0,0,,0,6,293,48.83,0
20,2016,2016-09-29,4,24.089,MIA,@,CIN,L 7-22,,0,0,,0,7,344,49.14,0
21,2016,2016-10-09,5,24.099,MIA,,TEN,L 17-30,,0,0,,0,6,298,49.67,0
22,2016,2016-10-16,6,24.106,MIA,,PIT,W 30-15,,0,0,,0,2,77,38.50,0
23,2016,2016-10-23,7,24.113,MIA,,BUF,W 28-25,,0,0,,0,5,175,35.00,0
24,2016,2016-11-06,8,24.127,MIA,,NYJ,W 27-23,,1,0,0.00,0,3,120,40.00,0
25,2016,2016-11-13,9,24.134,MIA,@,SDG,W 31-24,,0,0,,0,5,258,51.60,0
26,2016,2016-11-20,10,24.141,MIA,@,LAR,W 14-10,,0,0,,0,10,453,45.30,0
27,2016,2016-11-27,11,24.148,MIA,,SFO,W 31-24,,0,0,,0,5,209,41.80,0
28,2016,2016-12-04,12,24.155,MIA,@,BAL,L 6-38,,0,0,,0,6,222,37.00,0
29,2016,2016-12-11,13,24.162,MIA,,ARI,W 26-23,,0,0,,0,8,346,43.25,0
30,2016,2016-12-17,14,24.168,MIA,@,NYJ,W 34-13,,0,0,,0,6,257,42.83,0
31,2016,2016-12-24,15,24.175,MIA,@,BUF,W 34-31,,0,0,,0,5,207,41.40,0
32,2016,2017-01-01,16,24.183,MIA,,NWE,L 14-35,,0,0,,0,5,206,41.20,0
