ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring
1,1985,1985-12-01,13,23.204,MIN,@,PHI,W 28-23,,1,10,10.00,5,0,0,39.6,2,13,0.50,0.50,0,0,,0,,0,0,,0,,,0,0
2,1986,1986-11-30,13,24.203,MIN,,TAM,W 45-13,,1,1,100.00,3,0,0,79.2,0,0,3.00,3.00,0,0,,0,,0,0,,0,,,0,0
3,1987,1987-10-04,3,25.146,PIT,@,ATL,W 28-12,*,12,23,52.17,164,1,1,71.6,1,5,7.13,6.04,3,13,4.33,1,,0,0,,0,,,1,6
4,1987,1987-10-11,4,25.153,PIT,@,RAM,L 21-31,*,11,28,39.29,136,2,0,78.9,3,13,4.86,6.29,1,23,23.00,0,,1,2,2.00,0,,,0,0
5,1987,1987-10-18,5,25.160,PIT,,IND,W 21-7,*,11,23,47.83,138,2,1,77.8,2,12,6.00,5.78,4,-9,-2.25,0,,0,0,,0,,,0,0
6,1988,1988-10-02,5,26.144,PIT,,CLE,L 9-23,,7,24,29.17,83,0,2,6.8,1,8,3.46,-0.29,0,0,,0,,0,0,,0,,,0,0
7,1988,1988-10-09,6,26.151,PIT,@,PHO,L 14-31,,3,11,27.27,27,1,0,69.9,0,0,2.45,4.27,0,0,,0,,0,0,,0,,,0,0
8,1989,1989-10-29,8,27.171,SFO,@,NYJ,W 23-10,,4,5,80.00,62,1,0,157.9,0,0,12.40,16.40,0,0,,0,,0,0,,0,,,0,0
9,1991,1991-09-22,4,29.134,SFO,,RAM,W 27-10,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,,,
10,1991,1991-10-20,7,29.162,SFO,,DET,W 35-3,,3,3,100.00,35,0,0,115.3,0,0,11.67,11.67,2,-3,-1.50,0,,0,0,,0,,,0,0
11,1991,1991-11-03,9,29.176,SFO,@,ATL,L 14-17,,9,16,56.25,111,1,1,72.7,1,11,6.94,5.38,1,5,5.00,0,,0,0,,0,,,0,0
12,1991,1991-11-10,10,29.183,SFO,@,NOR,L 3-10,*,15,32,46.88,131,0,0,58.2,3,29,4.09,4.09,1,16,16.00,0,,0,0,,0,,,0,0
13,1991,1991-11-17,11,29.190,SFO,,PHO,W 14-10,*,20,35,57.14,187,0,0,72.0,3,18,5.34,5.34,3,-2,-0.67,0,,0,0,,0,,,0,0
14,1991,1991-11-25,12,29.198,SFO,@,RAM,W 33-10,*,18,33,54.55,306,1,1,83.6,0,0,9.27,8.52,3,-2,-0.67,0,,0,0,,0,,,0,0
15,1991,1991-12-01,13,29.204,SFO,,NOR,W 38-24,*,27,41,65.85,347,3,0,116.6,1,4,8.46,9.93,2,8,4.00,0,,0,0,,0,,,0,0
16,1991,1991-12-08,14,29.211,SFO,@,SEA,W 24-22,*,25,44,56.82,280,3,2,79.7,2,19,6.36,5.68,4,6,1.50,0,,0,0,,0,,,0,0
17,1991,1991-12-14,15,29.217,SFO,,KAN,W 28-14,*,24,33,72.73,220,3,0,120.8,1,10,6.67,8.48,1,18,18.00,0,,0,0,,0,,,0,0
18,1992,1992-09-06,1,30.118,SFO,@,NYG,W 31-14,,15,22,68.18,187,2,0,124.6,0,0,8.50,10.32,4,13,3.25,0,,0,0,,0,0.0%,,0,0
19,1992,1992-09-13,2,30.125,SFO,,BUF,L 31-34,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,0.0%,,,
20,1992,1992-09-20,3,30.132,SFO,@,NYJ,W 31-14,,3,5,60.00,41,0,1,46.7,0,0,8.20,-0.80,4,-7,-1.75,0,,0,0,,0,0.0%,,0,0
21,1992,1992-09-27,4,30.139,SFO,@,NOR,W 16-10,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,0.0%,,,
22,1992,1992-10-04,5,30.146,SFO,,RAM,W 27-24,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,0.0%,,,
23,1992,1992-10-11,6,30.153,SFO,@,NWE,W 24-12,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,0.0%,,,
24,1992,1992-10-18,7,30.160,SFO,,ATL,W 56-17,,0,3,0.00,0,0,0,39.6,0,0,0.00,0.00,2,-2,-1.00,0,,0,0,,0,0.0%,,0,0
25,1992,1992-11-01,8,30.174,SFO,@,PHO,L 14-24,,17,24,70.83,222,0,1,82.3,2,14,9.25,7.38,0,0,,0,,0,0,,0,0.0%,,0,0
26,1992,1992-11-09,9,30.182,SFO,@,ATL,W 41-3,,1,1,100.00,13,0,0,118.7,0,0,13.00,13.00,3,1,0.33,0,,0,0,,0,0.0%,,0,0
27,1992,1992-11-15,10,30.188,SFO,,NOR,W 21-20,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,0.0%,,,
28,1992,1992-11-22,11,30.195,SFO,@,RAM,W 27-10,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,0.0%,,,
29,1992,1992-11-29,12,30.202,SFO,,PHI,W 20-14,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,0.0%,,,
30,1992,1992-12-06,13,30.209,SFO,,MIA,W 27-3,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,2,18,9.00,0,,0,0,,0,0.0%,,0,0
31,1992,1992-12-13,14,30.216,SFO,@,MIN,W 20-17,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,0.0%,,,
32,1992,1992-12-19,15,30.222,SFO,,TAM,W 21-14,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,0.0%,,,
33,1992,1992-12-28,16,30.231,SFO,,DET,W 24-6,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,0.0%,,,
34,1993,1993-11-14,9,31.187,SFO,@,TAM,W 45-21,,2,5,40.00,14,0,0,47.9,1,1,2.80,2.80,2,-2,-1.00,0,,0,0,,0,0.0%,,0,0
35,1993,1993-11-22,10,31.195,SFO,,NOR,W 42-7,,3,4,75.00,39,0,0,105.2,0,0,9.75,9.75,4,8,2.00,0,,0,0,,0,0.0%,,0,0
36,1993,1993-11-28,11,31.201,SFO,@,RAM,W 35-10,,2,5,40.00,26,0,0,57.1,1,3,5.20,5.20,0,0,,0,,0,0,,0,0.0%,,0,0
37,1993,1993-12-05,12,31.208,SFO,,CIN,W 21-8,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,0.0%,,,
38,1993,1993-12-11,13,31.214,SFO,@,ATL,L 24-27,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,0.0%,,,
39,1993,1993-12-19,14,31.222,SFO,@,DET,W 55-17,,3,5,60.00,39,0,0,84.6,0,0,7.80,7.80,3,-3,-1.00,0,,0,0,,0,0.0%,,0,0
40,1993,1993-12-25,15,31.228,SFO,,HOU,L 7-10,,11,13,84.62,79,0,0,92.0,0,0,6.08,6.08,0,0,,0,,0,0,,0,0.0%,,0,0
41,1993,1994-01-03,16,31.237,SFO,,PHI,L 34-37,,18,29,62.07,219,0,1,70.9,2,14,7.55,6.00,3,11,3.67,1,,0,0,,0,0.0%,,1,6
42,1994,1994-10-23,7,32.165,KAN,,SEA,W 38-23,,2,2,100.00,41,1,0,158.3,0,0,20.50,30.50,1,-1,-1.00,0,0,0,0,,0,0.0%,,0,0
43,1994,1994-10-30,8,32.172,KAN,@,BUF,L 10-44,,5,10,50.00,65,0,1,31.2,0,0,6.50,2.00,0,0,,0,0,0,0,,0,0.0%,,0,0
