ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1985,1985-10-06,5,24.171,SDG,@,SEA,L 21-26,8,15,1.88,0,,2,4,2.00,0,,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
2,1985,1985-10-13,6,24.178,SDG,,KAN,W 31-20,11,25,2.27,1,,0,0,,0,,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,1,6
3,1985,1985-10-20,7,24.185,SDG,@,MIN,L 17-21,5,5,1.00,0,,1,1,1.00,0,,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
4,1985,1985-10-28,8,24.193,SDG,@,RAI,L 21-34,6,17,2.83,1,,1,52,52.00,1,,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,2,12
5,1985,1985-11-03,9,24.199,SDG,,DEN,W 30-10,22,116,5.27,1,,4,42,10.50,0,,,0,0,,0,0,0,,0,,,,1,13,13.00,0,0,0,,0,1,6
6,1985,1985-11-10,10,24.206,SDG,,RAI,W 40-34,16,70,4.38,0,,4,84,21.00,1,,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,1,6
7,1985,1985-11-17,11,24.213,SDG,@,DEN,L 24-30,11,16,1.45,0,,2,12,6.00,0,,,0,0,,0,0,0,,0,,,,4,142,35.50,1,0,0,,0,1,6
8,1985,1985-11-24,12,24.220,SDG,@,HOU,L 35-37,8,11,1.38,0,,4,28,7.00,0,,,0,0,,0,0,0,,0,,,,4,86,21.50,0,0,0,,0,0,0
9,1985,1985-12-01,13,24.227,SDG,,BUF,W 40-7,9,37,4.11,0,,3,10,3.33,0,,,0,0,,0,0,0,,0,,,,1,16,16.00,0,0,0,,0,0,0
10,1985,1985-12-08,14,24.234,SDG,,PIT,W 54-44,2,7,3.50,1,,4,53,13.25,0,,,0,0,,0,0,0,,0,,,,2,35,17.50,0,0,0,,0,1,6
11,1985,1985-12-15,15,24.241,SDG,,PHI,W 20-14,6,38,6.33,0,,1,45,45.00,0,,,0,0,,0,0,0,,0,,,,1,10,10.00,0,0,0,,0,0,0
12,1985,1985-12-22,16,24.248,SDG,@,KAN,L 34-38,12,72,6.00,0,,9,91,10.11,0,,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
13,1986,1986-09-07,1,25.142,SDG,,MIA,W 50-28,12,59,4.92,0,,8,69,8.63,1,,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,1,6
14,1986,1986-09-14,2,25.149,SDG,@,NYG,L 7-20,3,10,3.33,0,,4,45,11.25,1,,,0,0,,0,0,0,,0,,,,1,25,25.00,0,0,0,,0,1,6
15,1986,1986-09-21,3,25.156,SDG,,WAS,L 27-30,11,41,3.73,0,,4,35,8.75,1,,,0,0,,0,0,0,,0,,,,2,49,24.50,0,0,0,,0,1,6
16,1986,1986-09-28,4,25.163,SDG,@,RAI,L 13-17,5,13,2.60,0,,2,5,2.50,0,,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
17,1986,1986-10-06,5,25.171,SDG,@,SEA,L 7-33,3,17,5.67,0,,6,54,9.00,0,,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
18,1986,1986-10-12,6,25.177,SDG,,DEN,L 14-31,3,6,2.00,0,,6,95,15.83,1,,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,1,6
19,1986,1986-10-19,7,25.184,SDG,@,KAN,L 41-42,7,36,5.14,1,,11,92,8.36,2,,,0,0,,0,0,0,,0,,,,4,81,20.25,0,1,30,30.00,0,3,18
20,1986,1986-10-26,8,25.191,SDG,@,PHI,L 7-23,12,60,5.00,0,,0,0,,0,,,0,0,,0,0,0,,0,,,,1,34,34.00,0,5,16,3.20,0,0,0
21,1986,1986-11-02,9,25.198,SDG,,KAN,L 23-24,25,100,4.00,0,,1,2,2.00,0,,,0,0,,0,0,0,,0,,,,4,89,22.25,0,4,54,13.50,0,0,0
22,1986,1986-11-09,10,25.205,SDG,@,DEN,W 9-3,13,29,2.23,0,,4,41,10.25,0,,,0,0,,0,0,0,,0,,,,1,22,22.00,0,2,17,8.50,0,0,0
23,1986,1986-11-16,11,25.212,SDG,,DAL,L 21-24,10,7,0.70,0,,8,85,10.63,0,,,0,0,,0,0,0,,0,,,,4,84,21.00,0,4,37,9.25,0,0,0
24,1986,1986-11-20,12,25.216,SDG,,RAI,L 31-37,5,18,3.60,0,,7,113,16.14,0,,,0,0,,0,0,0,,0,,,,3,39,13.00,0,2,13,6.50,0,0,0
25,1986,1986-11-30,13,25.226,SDG,@,IND,W 17-3,7,19,2.71,0,,8,60,7.50,0,,,0,0,,0,0,0,,0,,,,0,0,,0,2,32,16.00,0,0,0
26,1986,1986-12-07,14,25.233,SDG,,HOU,W 27-0,7,20,2.86,0,,6,71,11.83,1,,,1,1,100.00,4,1,0,122.9,0,0,4.00,24.00,0,0,,0,4,22,5.50,0,1,6
27,1986,1986-12-14,15,25.240,SDG,,SEA,L 24-34,1,3,3.00,0,,2,21,10.50,0,,,0,0,,0,0,0,,0,,,,1,18,18.00,0,0,0,,0,0,0
28,1986,1986-12-21,16,25.247,SDG,@,CLE,L 17-47,3,4,1.33,0,,3,83,27.67,1,,,0,0,,0,0,0,,0,,,,3,41,13.67,0,1,6,6.00,0,1,6
29,1987,1987-09-13,1,26.148,SDG,@,KAN,L 13-20,12,43,3.58,0,,6,68,11.33,1,,,0,0,,0,0,0,,,,,,3,77,25.67,0,0,0,,0,1,6
30,1987,1987-09-20,2,26.155,SDG,,STL,W 28-24,19,79,4.16,1,,2,28,14.00,0,,,0,0,,0,0,0,,,,,,2,28,14.00,0,0,0,,0,1,6
31,1987,1987-10-25,6,26.190,SDG,,KAN,W 42-21,13,20,1.54,2,,5,26,5.20,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,2,12
32,1987,1987-11-01,7,26.197,SDG,,CLE,W 27-24,5,23,4.60,0,,2,19,9.50,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
33,1987,1987-11-08,8,26.204,SDG,@,IND,W 16-13,3,4,1.33,0,,3,36,12.00,0,,,0,0,,0,0,0,,,,,,2,44,22.00,0,0,0,,0,0,0
34,1987,1987-11-15,9,26.211,SDG,,RAI,W 16-14,6,29,4.83,0,,3,48,16.00,0,,,0,0,,0,0,0,,,,,,2,40,20.00,0,0,0,,0,0,0
35,1987,1987-11-22,10,26.218,SDG,@,SEA,L 3-34,2,2,1.00,0,,5,42,8.40,0,,,0,0,,0,0,0,,,,,,6,107,17.83,0,0,0,,0,0,0
36,1987,1987-11-29,11,26.225,SDG,,DEN,L 17-31,3,16,5.33,0,,3,85,28.33,0,,,0,0,,0,0,0,,,,,,1,20,20.00,0,0,0,,0,0,0
37,1987,1987-12-06,12,26.232,SDG,@,HOU,L 18-33,0,0,,0,,3,36,12.00,1,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6
38,1987,1987-12-13,13,26.239,SDG,,PIT,L 16-20,7,27,3.86,0,,5,40,8.00,0,,,0,0,,0,0,0,,,,,,2,49,24.50,0,0,0,,0,0,0
39,1987,1987-12-20,14,26.246,SDG,,IND,L 7-20,10,17,1.70,0,,7,68,9.71,0,,,0,0,,0,0,0,,,,,,4,68,17.00,0,0,0,,0,0,0
40,1987,1987-12-27,15,26.253,SDG,@,DEN,L 0-24,0,0,,0,,3,7,2.33,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
41,1988,1988-09-04,1,27.139,SDG,@,RAI,L 13-24,14,38,2.71,0,,3,2,0.67,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
42,1988,1988-09-11,2,27.146,SDG,@,DEN,L 3-34,9,16,1.78,0,,0,0,,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
43,1988,1988-09-18,3,27.153,SDG,,SEA,W 17-6,19,120,6.32,1,,1,8,8.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6
44,1988,1988-09-25,4,27.160,SDG,@,KAN,W 24-23,23,131,5.70,1,,2,24,12.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6
45,1988,1988-10-02,5,27.167,SDG,,DEN,L 0-12,10,16,1.60,0,,2,10,5.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
46,1988,1988-10-23,8,27.188,SDG,,IND,L 0-16,14,70,5.00,0,,3,14,4.67,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
47,1988,1988-10-30,9,27.195,SDG,@,SEA,L 14-17,11,44,4.00,0,,1,5,5.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
48,1988,1988-11-06,10,27.202,SDG,,RAI,L 3-13,9,22,2.44,0,,3,14,4.67,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
49,1988,1988-11-13,11,27.209,SDG,@,ATL,W 10-7,24,145,6.04,0,,5,27,5.40,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
50,1988,1988-11-20,12,27.216,SDG,@,RAM,W 38-24,14,53,3.79,0,,4,42,10.50,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
51,1988,1988-11-27,13,27.223,SDG,,SFO,L 10-48,14,61,4.36,0,,3,16,5.33,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
52,1988,1988-12-04,14,27.230,SDG,@,CIN,L 10-27,4,16,4.00,0,,0,0,,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
53,1988,1988-12-11,15,27.237,SDG,,PIT,W 20-14,26,170,6.54,0,,5,20,4.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
54,1988,1988-12-18,16,27.244,SDG,,KAN,W 24-13,34,217,6.38,1,,0,0,,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6
55,1990,1990-09-09,1,29.144,TAM,@,DET,W 38-21,21,74,3.52,0,,6,79,13.17,1,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6
56,1990,1990-09-16,2,29.151,TAM,,RAM,L 14-35,7,28,4.00,1,,4,25,6.25,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6
57,1990,1990-09-23,3,29.158,TAM,,DET,W 23-20,17,71,4.18,1,,2,37,18.50,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6
58,1990,1990-09-30,4,29.165,TAM,@,MIN,W 23-20,22,108,4.91,1,,0,0,,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6
59,1990,1990-10-07,5,29.172,TAM,@,DAL,L 10-14,17,76,4.47,0,,3,88,29.33,1,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6
60,1990,1990-10-14,6,29.179,TAM,,GNB,W 26-14,11,46,4.18,0,,4,96,24.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
61,1990,1990-10-21,7,29.186,TAM,,DAL,L 13-17,4,11,2.75,0,,1,1,1.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
62,1990,1990-10-28,8,29.193,TAM,@,SDG,L 10-41,10,26,2.60,0,,0,0,,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
63,1990,1990-11-04,9,29.200,TAM,,CHI,L 6-26,10,57,5.70,0,,0,0,,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
64,1990,1990-11-11,10,29.207,TAM,@,NOR,L 7-35,13,38,2.92,0,,2,15,7.50,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
65,1990,1990-11-18,11,29.214,TAM,@,SFO,L 7-31,5,21,4.20,0,,5,37,7.40,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
66,1990,1990-11-25,12,29.221,TAM,@,GNB,L 10-20,3,7,2.33,0,,3,18,6.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
67,1990,1990-12-02,13,29.228,TAM,,ATL,W 23-17,5,20,4.00,0,,1,11,11.00,0,,,0,0,,0,0,0,,,,,,2,33,16.50,0,0,0,,0,0,0
68,1990,1990-12-16,14,29.242,TAM,,MIN,W 26-13,14,55,3.93,0,,3,18,6.00,0,,,0,0,,0,0,0,,,,,,1,37,37.00,0,0,0,,0,0,0
69,1990,1990-12-23,15,29.249,TAM,@,CHI,L 14-27,1,-3,-3.00,0,,1,4,4.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
70,1990,1990-12-30,16,29.256,TAM,,NYJ,L 14-16,6,11,1.83,0,,3,35,11.67,0,,,0,0,,0,0,0,,,,,,3,53,17.67,0,0,0,,0,0,0
71,1991,1991-09-01,1,30.136,TAM,@,NYJ,L 13-16,7,32,4.57,0,,1,11,11.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
72,1991,1991-09-08,2,30.143,TAM,,CHI,L 20-21,10,94,9.40,1,,2,17,8.50,0,,,0,0,,0,0,0,,,,,,3,64,21.33,0,0,0,,0,1,6
73,1991,1991-09-15,3,30.150,TAM,@,GNB,L 13-15,5,13,2.60,0,,5,19,3.80,0,,,0,0,,0,0,0,,,,,,1,16,16.00,0,0,0,,0,0,0
74,1991,1991-09-22,4,30.157,TAM,,BUF,L 10-17,13,29,2.23,0,,1,4,4.00,0,,,0,0,,0,0,0,,,,,,1,28,28.00,0,0,0,,0,0,0
75,1991,1991-09-29,5,30.164,TAM,@,DET,L 3-31,6,2,0.33,0,,0,0,,0,,,0,0,,0,0,0,,,,,,2,3,1.50,0,0,0,,0,0,0
76,1991,1991-10-06,6,30.171,TAM,,PHI,W 14-13,2,6,3.00,0,,1,6,6.00,0,,,0,0,,0,0,0,,,,,,4,62,15.50,0,0,0,,0,0,0
77,1991,1991-10-20,7,30.185,TAM,@,NOR,L 7-23,0,0,,0,,0,0,,0,,,0,0,,0,0,0,,,,,,1,21,21.00,0,0,0,,0,0,0
78,1991,1991-10-27,8,30.192,TAM,,GNB,L 0-27,9,23,2.56,0,,2,10,5.00,0,,,0,0,,0,0,0,,,,,,5,76,15.20,0,0,0,,0,0,0
79,1991,1991-11-03,9,30.199,TAM,@,MIN,L 13-28,7,22,3.14,0,,1,5,5.00,0,,,0,0,,0,0,0,,,,,,3,35,11.67,0,0,0,,0,0,0
80,1991,1991-11-10,10,30.206,TAM,,DET,W 30-21,6,35,5.83,0,,0,0,,0,,,0,0,,0,0,0,,,,,,1,16,16.00,0,0,0,,0,0,0
81,1991,1991-11-17,11,30.213,TAM,@,ATL,L 7-43,1,-5,-5.00,0,,1,11,11.00,0,,,0,0,,0,0,0,,,,,,1,17,17.00,0,0,0,,0,0,0
82,1991,1991-11-24,12,30.220,TAM,,NYG,L 14-21,2,5,2.50,0,,1,8,8.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
83,1991,1991-12-01,13,30.227,TAM,@,MIA,L 14-33,1,-1,-1.00,0,,2,24,12.00,0,,,0,0,,0,0,0,,,,,,4,111,27.75,0,0,0,,0,0,0
84,1991,1991-12-08,14,30.234,TAM,,MIN,L 24-26,2,6,3.00,0,,5,44,8.80,0,,,0,0,,0,0,0,,,,,,3,71,23.67,0,0,0,,0,0,0
85,1991,1991-12-14,15,30.240,TAM,@,CHI,L 0-27,1,2,2.00,0,,2,15,7.50,0,,,0,0,,0,0,0,,,,,,4,103,25.75,0,0,0,,0,0,0
86,1991,1991-12-22,16,30.248,TAM,,IND,W 17-3,0,0,,0,,1,10,10.00,0,,,0,0,,0,0,0,,,,,,1,20,20.00,0,0,0,,0,0,0
87,1992,1992-09-06,1,31.141,TAM,,PHO,W 23-7,8,41,5.13,0,2,2,31,15.50,0,100.0%,15.50,0,0,,0,0,0,,,,,,1,26,26.00,0,0,0,,0,0,0
88,1992,1992-09-13,2,31.148,TAM,,GNB,W 31-3,6,0,0.00,0,3,2,8,4.00,0,66.7%,2.67,0,0,,0,0,0,,,,,,2,43,21.50,0,0,0,,0,0,0
89,1992,1992-09-20,3,31.155,TAM,@,MIN,L 20-26,7,61,8.71,0,9,7,60,8.57,0,77.8%,6.67,0,0,,0,0,0,,,,,,3,34,11.33,0,0,0,,0,0,0
90,1992,1992-09-27,4,31.162,TAM,@,DET,W 27-23,6,22,3.67,0,2,1,8,8.00,0,50.0%,4.00,0,0,,0,0,0,,,,,,3,76,25.33,0,0,0,,0,0,0
91,1992,1992-10-18,6,31.183,TAM,@,CHI,L 14-31,5,10,2.00,0,3,1,7,7.00,0,33.3%,2.33,0,0,,0,0,0,,,,,,1,21,21.00,0,0,0,,0,0,0
92,1992,1992-10-25,7,31.190,TAM,,DET,L 7-38,3,4,1.33,0,4,2,-2,-1.00,0,50.0%,-0.50,0,0,,0,0,0,,,,,,3,83,27.67,0,0,0,,0,0,0
93,1992,1992-11-01,8,31.197,TAM,@,NOR,L 21-23,2,3,1.50,0,3,2,16,8.00,0,66.7%,5.33,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
94,1992,1992-11-08,9,31.204,TAM,,MIN,L 7-35,4,10,2.50,1,7,7,61,8.71,0,100.0%,8.71,0,0,,0,0,0,,,,,,2,39,19.50,0,0,0,,0,1,6
95,1992,1992-11-15,10,31.211,TAM,,CHI,W 20-17,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,2,42,21.00,0,0,0,,0,0,0
96,1992,1992-11-22,11,31.218,TAM,@,SDG,L 14-29,4,12,3.00,0,4,2,16,8.00,0,50.0%,4.00,0,0,,0,0,0,,,,,,3,30,10.00,0,0,0,,0,0,0
97,1992,1992-11-29,12,31.225,TAM,@,GNB,L 14-19,2,4,2.00,0,,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
98,1992,1992-12-06,13,31.232,TAM,,RAM,L 27-31,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,3,67,22.33,0,0,0,,0,0,0
99,1992,1992-12-13,14,31.239,TAM,,ATL,L 7-35,2,0,0.00,0,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0,,,,,,4,70,17.50,0,1,10,10.00,0,0,0
100,1992,1992-12-19,15,31.245,TAM,@,SFO,L 14-21,4,24,6.00,0,8,4,64,16.00,0,50.0%,8.00,0,0,,0,0,0,,,,,,2,33,16.50,0,3,24,8.00,0,0,0
101,1992,1992-12-27,16,31.253,TAM,@,PHO,W 7-3,2,3,1.50,0,8,3,12,4.00,0,37.5%,1.50,0,0,,0,0,0,,,,,,0,0,,0,2,11,5.50,0,0,0
102,1993,1993-09-05,1,32.140,TAM,,KAN,L 3-27,3,-3,-1.00,0,2,1,6,6.00,0,50.0%,3.00,0,0,,0,0,0,,,,,,4,42,10.50,0,2,10,5.00,0,0,0
103,1993,1993-09-12,2,32.147,TAM,@,NYG,L 7-23,0,0,,0,1,1,1,1.00,0,100.0%,1.00,0,0,,0,0,0,,,,,,0,0,,0,2,18,9.00,0,0,0
104,1993,1993-10-24,6,32.189,TAM,,GNB,L 14-37,3,7,2.33,0,,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,1,18,18.00,0,3,15,5.00,0,0,0
105,1993,1993-10-31,7,32.196,TAM,@,ATL,W 31-24,9,7,0.78,0,5,5,51,10.20,0,100.0%,10.20,0,0,,0,0,0,,,,,,2,26,13.00,0,3,31,10.33,0,0,0
106,1993,1993-11-07,8,32.203,TAM,@,DET,L 0-23,6,15,2.50,0,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,3,60,20.00,0,4,20,5.00,0,0,0
107,1993,1993-11-14,9,32.210,TAM,,SFO,L 21-45,7,30,4.29,0,4,4,31,7.75,1,100.0%,7.75,0,0,,0,0,0,,,,,,2,35,17.50,0,3,19,6.33,0,1,6
108,1993,1993-12-05,12,32.231,DET,,MIN,L 0-13,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,1,12,12.00,0,0,0,,0,0,0
109,1993,1993-12-12,13,32.238,DET,@,PHO,W 21-14,,,,,,,,,,0.0%,,,,,,,,,,,,,0,0,,0,,,,,,
110,1993,1993-12-19,14,32.245,DET,,SFO,L 17-55,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,2,39,19.50,0,0,0,,0,0,0
