ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2014,2014-09-07,1,23.222,CLE,@,PIT,L 27-30,,16,100,6.25,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
2,2014,2014-09-14,2,23.229,CLE,,NOR,W 26-24,*,19,68,3.58,1,2,2,22,11.00,0,100.0%,11.00,1,6,0.0,0,0
3,2014,2014-09-21,3,23.236,CLE,,BAL,L 21-23,*,12,36,3.00,1,2,2,5,2.50,0,100.0%,2.50,1,6,0.0,0,0
4,2014,2014-10-05,4,23.250,CLE,@,TEN,W 29-28,,7,31,4.43,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
5,2014,2014-10-19,6,23.264,CLE,@,JAX,L 6-24,,5,8,1.60,0,1,1,0,0.00,0,100.0%,0.00,0,0,0.0,0,0
6,2014,2014-10-26,7,23.271,CLE,,OAK,W 23-13,,7,11,1.57,0,2,1,10,10.00,0,50.0%,5.00,0,0,0.0,0,0
7,2014,2014-11-02,8,23.278,CLE,,TAM,W 22-17,,15,48,3.20,0,1,1,2,2.00,1,100.0%,2.00,1,6,0.0,1,0
8,2014,2014-11-06,9,23.282,CLE,@,CIN,W 24-3,*,26,94,3.62,1,0,0,0,,0,0.0%,,1,6,0.0,0,0
9,2014,2014-11-16,10,23.292,CLE,,HOU,L 7-23,,5,12,2.40,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
10,2014,2014-11-23,11,23.299,CLE,@,ATL,W 26-24,,14,62,4.43,0,1,1,9,9.00,0,100.0%,9.00,0,0,0.0,0,0
11,2014,2014-11-30,12,23.306,CLE,@,BUF,L 10-26,,7,32,4.57,0,1,1,4,4.00,0,100.0%,4.00,0,0,0.0,0,0
12,2014,2014-12-07,13,23.313,CLE,,IND,L 24-25,*,15,54,3.60,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
13,2014,2014-12-14,14,23.320,CLE,,CIN,L 0-30,*,5,23,4.60,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
14,2014,2014-12-28,16,23.334,CLE,@,BAL,L 10-20,*,18,94,5.22,1,3,2,12,6.00,0,66.7%,4.00,1,6,0.0,0,0
15,2015,2015-09-13,1,24.228,TEN,@,TAM,W 42-14,,13,41,3.15,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
16,2015,2015-09-20,2,24.235,TEN,@,CLE,L 14-28,,3,10,3.33,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
17,2015,2015-11-30,11,24.306,BAL,@,CLE,W 33-27,,7,37,5.29,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
18,2015,2015-12-06,12,24.312,BAL,@,MIA,L 13-15,,8,31,3.88,0,1,1,5,5.00,0,100.0%,5.00,0,0,0.0,0,0
19,2015,2015-12-13,13,24.319,BAL,,SEA,L 6-35,,5,16,3.20,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
20,2015,2015-12-20,14,24.326,BAL,,KAN,L 14-34,,7,35,5.00,0,2,2,11,5.50,0,100.0%,5.50,0,0,0.0,0,0
21,2015,2015-12-27,15,24.333,BAL,,PIT,W 20-17,,14,44,3.14,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
22,2015,2016-01-03,16,24.340,BAL,@,CIN,L 16-24,,5,17,3.40,0,2,1,5,5.00,0,50.0%,2.50,0,0,0.0,0,0
23,2016,2016-09-11,1,25.227,BAL,,BUF,W 13-7,,12,32,2.67,0,2,2,6,3.00,0,100.0%,3.00,0,0,0.0,0,0
24,2016,2016-09-18,2,25.234,BAL,@,CLE,W 25-20,,11,42,3.82,0,3,1,15,15.00,0,33.3%,5.00,0,0,0.0,0,0
25,2016,2016-09-25,3,25.241,BAL,@,JAX,W 19-17,,10,45,4.50,0,1,1,8,8.00,0,100.0%,8.00,0,0,0.0,0,0
26,2016,2016-10-02,4,25.248,BAL,,OAK,L 27-28,*,21,113,5.38,1,0,0,0,,0,0.0%,,1,6,0.0,0,0
