ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td
1,1950,1950-09-17,1,23.041,WAS,@,BAL,W 38-14,1,0,0.00,0,1,23,23.00,0
2,1950,1950-09-24,2,23.048,WAS,@,GNB,L 21-35,4,19,4.75,0,1,12,12.00,0
3,1950,1950-11-05,7,23.090,WAS,@,NYG,L 21-24,3,13,4.33,1,0,0,,0
4,1950,1950-11-12,8,23.097,WAS,,PHI,L 0-33,7,24,3.43,0,0,0,,0
5,1950,1950-11-26,10,23.111,WAS,,BAL,W 38-28,6,46,7.67,0,1,3,3.00,0
6,1950,1950-12-03,11,23.118,WAS,@,PIT,W 24-7,3,13,4.33,0,0,0,,0
7,1950,1950-12-10,12,23.125,WAS,,CLE,L 21-45,1,1,1.00,0,0,0,,0
8,1951,1951-09-30,1,24.054,WAS,@,DET,L 17-35,7,22,3.14,2,0,0,,0
9,1951,1951-10-07,2,24.061,WAS,,NYG,L 14-35,1,1,1.00,1,0,0,,0
10,1951,1951-10-14,3,24.068,WAS,@,CLE,L 0-45,11,17,1.55,0,0,0,,0
11,1951,1951-10-28,5,24.082,WAS,@,PHI,W 27-23,4,11,2.75,0,1,27,27.00,0
12,1952,1952-09-29,1,25.053,WAS,@,CRD,W 23-7,7,35,5.00,0,1,20,20.00,0
13,1952,1952-10-05,2,25.059,WAS,@,GNB,L 20-35,6,7,1.17,0,2,24,12.00,0
14,1952,1952-10-12,3,25.066,WAS,,CRD,L 6-17,4,4,1.00,0,0,0,,0
15,1952,1952-10-26,5,25.080,WAS,@,CLE,L 15-19,3,2,0.67,2,0,0,,0
16,1952,1952-11-02,6,25.087,WAS,,PIT,L 23-24,3,5,1.67,0,0,0,,0
17,1952,1952-11-09,7,25.094,WAS,@,PHI,L 20-38,2,8,4.00,1,0,0,,0
18,1952,1952-11-16,8,25.101,WAS,,SFO,L 17-23,2,2,1.00,0,0,0,,0
19,1952,1952-11-23,9,25.108,WAS,,NYG,L 10-14,1,0,0.00,0,0,0,,0
20,1952,1952-11-30,10,25.115,WAS,,CLE,L 24-48,0,0,,0,1,18,18.00,0
21,1952,1952-12-07,11,25.122,WAS,@,NYG,W 27-17,1,3,3.00,0,0,0,,0
22,1953,1953-09-27,1,26.051,WAS,@,CRD,W 24-13,0,0,,1,0,0,,0
23,1953,1953-10-18,4,26.072,WAS,,CLE,L 14-30,6,18,3.00,0,0,0,,0
24,1954,1954-10-24,5,27.078,WAS,@,NYG,L 7-24,2,0,0.00,0,0,0,,0
25,1954,1954-11-21,9,27.106,WAS,@,CRD,L 16-38,5,6,1.20,0,1,15,15.00,0
26,1954,1954-12-12,12,27.127,WAS,,CRD,W 37-20,1,0,0.00,0,0,0,,0
27,1955,1955-11-27,10,28.112,WAS,@,PIT,W 23-14,0,0,,0,1,-3,-3.00,0
