ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td
1,1955,1955-09-25,1,25.031,BAL,,CHI,W 23-17,1,0,0.00,0,0,0,,0
2,1955,1955-10-01,2,25.037,BAL,,DET,W 28-13,7,6,0.86,0,0,0,,0
3,1955,1955-10-16,4,25.052,BAL,@,CHI,L 10-38,7,31,4.43,0,1,4,4.00,0
4,1955,1955-11-27,10,25.094,BAL,,SFO,W 26-14,2,2,1.00,0,1,11,11.00,0
5,1956,1956-09-30,1,26.036,BAL,,CHI,W 28-21,1,1,1.00,0,0,0,,0
6,1956,1956-10-21,4,26.057,BAL,@,CHI,L 27-58,1,1,1.00,0,0,0,,0
7,1956,1956-11-25,8,26.092,BAL,,RAM,W 56-21,3,5,1.67,0,0,0,,0
8,1957,1957-09-29,1,27.035,PIT,,WAS,W 28-7,16,25,1.56,1,0,0,,0
9,1957,1957-10-05,2,27.041,PIT,,CLE,L 12-23,1,1,1.00,0,0,0,,0
10,1957,1957-10-27,5,27.063,PIT,,PHI,W 6-0,3,9,3.00,0,0,0,,0
11,1957,1957-11-03,6,27.070,PIT,@,BAL,W 19-13,1,1,1.00,0,0,0,,0
12,1957,1957-11-10,7,27.077,PIT,@,CLE,L 0-24,10,27,2.70,0,2,17,8.50,0
13,1957,1957-12-07,10,27.104,PIT,,NYG,W 21-10,11,36,3.27,0,1,10,10.00,0
14,1957,1957-12-15,11,27.112,PIT,@,WAS,L 3-10,6,32,5.33,0,0,0,,0
15,1957,1957-12-22,12,27.119,PIT,@,CRD,W 27-2,8,22,2.75,1,1,11,11.00,0
