ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring,sacks,tackles_solo,tackles_assists
53,2009,2009-12-06,12,26.184,NOR,@,WAS,W 33-30,*,8,2,46,23.00,1,25.0%,5.75,0,0,,0,1,6,0.0,0,0
54,2009,2009-12-13,13,26.191,NOR,@,ATL,W 26-23,*,7,6,54,9.00,1,85.7%,7.71,0,0,,0,1,6,0.0,0,0
55,2009,2009-12-19,14,26.197,NOR,,DAL,L 17-24,*,8,5,86,17.20,0,62.5%,10.75,0,0,,0,0,0,0.0,0,0
56,2009,2009-12-27,15,26.205,NOR,,TAM,L 17-20,,9,8,77,9.63,0,88.9%,8.56,0,0,,0,0,0,0.0,1,0
57,2009,2010-01-03,16,26.212,NOR,@,CAR,L 10-23,*,2,1,3,3.00,0,50.0%,1.50,0,0,,0,0,0,0.0,0,0
58,2010,2010-09-09,1,27.096,NOR,,MIN,W 14-9,*,6,5,62,12.40,0,83.3%,10.33,0,0,,0,0,0,0.0,0,0
59,2010,2010-09-20,2,27.107,NOR,@,SFO,W 25-22,*,8,5,67,13.40,0,62.5%,8.38,0,0,,0,0,0,0.0,0,0
60,2010,2010-09-26,3,27.113,NOR,,ATL,L 24-27,,5,4,25,6.25,0,80.0%,5.00,0,0,,0,0,0,0.0,0,0
61,2010,2010-10-03,4,27.120,NOR,,CAR,W 16-14,*,8,4,36,9.00,0,50.0%,4.50,0,0,,0,0,0,0.0,0,0
62,2010,2010-10-10,5,27.127,NOR,@,ARI,L 20-30,*,12,7,97,13.86,0,58.3%,8.08,0,0,,0,0,0,0.0,0,0
63,2010,2010-10-17,6,27.134,NOR,@,TAM,W 31-6,*,7,5,53,10.60,0,71.4%,7.57,0,0,,0,0,0,0.0,0,0
64,2010,2010-10-24,7,27.141,NOR,,CLE,L 17-30,*,14,10,112,11.20,1,71.4%,8.00,0,0,,0,1,6,0.0,0,0
65,2010,2010-10-31,8,27.148,NOR,,PIT,W 20-10,,9,6,75,12.50,1,66.7%,8.33,1,1,1.00,0,1,6,0.0,0,0
66,2010,2010-11-07,9,27.155,NOR,@,CAR,W 34-3,,9,8,65,8.13,0,88.9%,7.22,0,0,,0,0,0,0.0,1,0
67,2010,2010-11-21,10,27.169,NOR,,SEA,W 34-19,*,11,8,113,14.13,2,72.7%,10.27,0,0,,0,2,12,0.0,0,0
68,2010,2010-11-25,11,27.173,NOR,@,DAL,W 30-27,*,9,6,105,17.50,0,66.7%,11.67,0,0,,0,0,0,0.0,0,0
69,2010,2010-12-05,12,27.183,NOR,@,CIN,W 34-30,*,4,3,65,21.67,1,75.0%,16.25,0,0,,0,1,6,0.0,0,0
70,2010,2010-12-12,13,27.190,NOR,,STL,W 31-13,*,13,5,46,9.20,2,38.5%,3.54,0,0,,0,2,12,0.0,0,0
71,2010,2010-12-19,14,27.197,NOR,@,BAL,L 24-30,*,11,6,81,13.50,0,54.5%,7.36,0,0,,0,0,0,0.0,0,0
72,2010,2010-12-27,15,27.205,NOR,@,ATL,W 17-14,,5,2,21,10.50,0,40.0%,4.20,0,0,,0,0,0,0.0,0,0
73,2011,2011-09-08,1,28.095,NOR,@,GNB,L 34-42,*,9,6,81,13.50,0,66.7%,9.00,0,0,,0,0,0,0.0,0,0
74,2011,2011-10-02,4,28.119,NOR,@,JAX,W 23-10,,3,1,8,8.00,0,33.3%,2.67,0,0,,0,0,0,0.0,0,0
75,2011,2011-10-09,5,28.126,NOR,@,CAR,W 30-27,*,6,5,69,13.80,0,83.3%,11.50,0,0,,0,0,0,0.0,0,0
76,2011,2011-10-16,6,28.133,NOR,@,TAM,L 20-26,,11,7,118,16.86,1,63.6%,10.73,0,0,,0,1,6,0.0,1,0
77,2011,2011-10-23,7,28.140,NOR,,IND,W 62-7,*,7,7,98,14.00,2,100.0%,14.00,0,0,,0,2,12,0.0,0,0
78,2011,2011-10-30,8,28.147,NOR,@,STL,L 21-31,*,6,3,50,16.67,0,50.0%,8.33,0,0,,0,0,0,0.0,0,0
79,2011,2011-11-06,9,28.154,NOR,,TAM,W 27-16,,5,5,52,10.40,0,100.0%,10.40,0,0,,0,0,0,0.0,0,0
80,2011,2011-11-13,10,28.161,NOR,@,ATL,W 26-23,*,9,8,113,14.13,0,88.9%,12.56,0,0,,0,0,0,0.0,0,0
