ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1995,1995-09-03,1,23.283,BUF,@,DEN,L 7-22,,0,0,0,,0,0.0%,,0,0,,0,,
2,1995,1995-09-10,2,23.290,BUF,,CAR,W 31-9,,,0,0,,0,0.0%,,0,0,,0,,
3,1995,1995-09-17,3,23.297,BUF,,IND,W 20-14,,,0,0,,0,0.0%,,0,0,,0,,
4,1995,1995-10-02,4,23.312,BUF,@,CLE,W 22-19,,,0,0,,0,0.0%,,0,0,,0,,
5,1995,1995-10-08,5,23.318,BUF,,NYJ,W 29-10,,,0,0,,0,0.0%,,0,0,,0,,
6,1995,1995-10-15,6,23.325,BUF,,SEA,W 27-21,,,0,0,,0,0.0%,,0,0,,0,,
7,1995,1995-10-23,7,23.333,BUF,@,NWE,L 14-27,,,0,0,,0,0.0%,,0,0,,0,,
8,1995,1995-10-29,8,23.339,BUF,@,MIA,L 6-23,,1,0,0,,0,0.0%,0.00,0,0,,0,,
9,1995,1995-11-05,9,23.346,BUF,@,IND,W 16-10,,1,0,0,,0,0.0%,0.00,0,0,,0,,
10,1995,1995-11-12,10,23.353,BUF,,ATL,W 23-17,,0,0,0,,0,0.0%,,0,0,,0,,
11,1995,1995-11-19,11,23.360,BUF,@,NYJ,W 28-26,,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0
12,1995,1995-11-26,12,24.002,BUF,,NWE,L 25-35,,0,0,0,,0,0.0%,,1,11,11.00,0,0,0
13,1995,1995-12-03,13,24.009,BUF,@,SFO,L 17-27,,2,1,7,7.00,0,50.0%,3.50,0,0,,0,0,0
14,1995,1995-12-10,14,24.016,BUF,@,STL,W 45-27,,2,2,32,16.00,0,100.0%,16.00,0,0,,0,0,0
15,1995,1995-12-17,15,24.023,BUF,,MIA,W 23-20,,2,0,0,,0,0.0%,0.00,0,0,,0,,
16,1995,1995-12-24,16,24.030,BUF,,HOU,L 17-28,,4,4,18,4.50,0,100.0%,4.50,0,0,,0,0,0
17,1996,1996-09-01,1,24.282,BUF,@,NYG,W 23-20,,8,6,41,6.83,0,75.0%,5.13,0,0,,0,0,0
18,1996,1996-09-08,2,24.289,BUF,,NWE,W 17-10,,1,0,0,,0,0.0%,0.00,,,,,,
19,1996,1996-09-16,3,24.297,BUF,@,PIT,L 6-24,,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0
20,1996,1996-09-22,4,24.303,BUF,,DAL,W 10-7,,4,2,11,5.50,0,50.0%,2.75,0,0,,0,0,0
21,1996,1996-10-06,5,24.317,BUF,,IND,W 16-13,,1,0,0,,0,0.0%,0.00,,,,,,
22,1996,1996-10-13,6,24.324,BUF,,MIA,L 7-21,,,0,0,,0,0.0%,,,,,,,
23,1996,1996-10-20,7,24.331,BUF,@,NYJ,W 25-22,,2,2,11,5.50,0,100.0%,5.50,0,0,,0,0,0
24,1996,1996-10-27,8,24.338,BUF,@,NWE,L 25-28,,1,1,-2,-2.00,0,100.0%,-2.00,0,0,,0,0,0
25,1996,1996-11-03,9,24.345,BUF,,WAS,W 38-13,,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0
26,1996,1996-11-10,10,24.352,BUF,@,PHI,W 24-17,,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0
27,1996,1996-11-17,11,24.359,BUF,,CIN,W 31-17,,1,0,0,,0,0.0%,0.00,,,,,,
28,1996,1996-11-24,12,25.000,BUF,,NYJ,W 35-10,,1,0,0,,0,0.0%,0.00,,,,,,
29,1996,1996-12-01,13,25.007,BUF,@,IND,L 10-13,,2,1,15,15.00,0,50.0%,7.50,0,0,,0,0,0
