ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1963,1963-10-13,5,26.157,GNB,@,MIN,W 37-28,1,2,2.00,0,0,0,0,0,0
2,1964,1964-12-13,14,27.218,GNB,@,RAM,T 24-24,1,23,23.00,0,0,0,0,0,0
3,1965,1965-12-12,13,28.217,GNB,@,BAL,W 42-27,0,0,,0,0,0,1,21,0
4,1966,1966-09-10,1,29.124,GNB,,BAL,W 24-3,0,0,,0,1,6,1,46,1
5,1966,1966-10-23,7,29.167,GNB,,ATL,W 56-3,0,0,,0,0,0,1,21,0
6,1966,1966-11-20,10,29.195,GNB,,CHI,W 13-6,0,0,,0,0,0,1,0,0
7,1966,1966-12-04,12,29.209,GNB,,SFO,W 20-7,0,0,,0,0,0,1,0,0
8,1966,1966-12-18,14,29.223,GNB,@,RAM,W 27-23,0,0,,0,1,6,1,75,1
9,1967,1967-10-01,3,30.145,GNB,,ATL,W 23-0,0,0,,0,0,0,1,25,0
10,1967,1967-10-15,5,30.159,GNB,,MIN,L 7-10,0,0,,0,0,0,1,8,0
11,1967,1967-10-30,7,30.174,GNB,@,STL,W 31-23,0,0,,0,0,0,1,0,0
12,1967,1967-11-12,9,30.187,GNB,,CLE,W 55-7,0,0,,0,0,0,2,24,0
13,1967,1967-11-19,10,30.194,GNB,,SFO,W 13-0,0,0,,0,0,0,1,0,0
14,1967,1967-11-26,11,30.201,GNB,@,CHI,W 17-13,0,0,,0,0,0,1,14,0
15,1967,1967-12-17,14,30.222,GNB,,PIT,L 17-24,0,0,,0,0,0,1,7,0
16,1968,1968-09-15,1,31.129,GNB,,PHI,W 30-13,0,0,,0,0,0,1,29,0
17,1968,1968-10-28,7,31.172,GNB,@,DAL,W 28-17,0,0,,0,0,0,1,0,0
18,1968,1968-11-03,8,31.178,GNB,,CHI,L 10-13,0,0,,0,0,0,1,6,0
19,1969,1969-10-12,4,32.156,GNB,@,DET,W 28-17,0,0,,0,0,0,1,0,0
20,1969,1969-11-09,8,32.184,GNB,@,BAL,L 6-14,0,0,,0,0,0,1,30,0
21,1969,1969-12-21,14,32.226,GNB,,STL,W 45-28,0,0,,0,0,0,1,0,0
22,1970,1970-09-20,1,33.134,GNB,,DET,L 0-40,,,,,,,,,
23,1970,1970-09-27,2,33.141,GNB,,ATL,W 27-24,,,,,,,,,
24,1970,1970-10-04,3,33.148,GNB,,MIN,W 13-10,,,,,,,,,
25,1970,1970-10-12,4,33.156,GNB,@,SDG,W 22-20,0,0,,0,0,0,1,1,0
26,1970,1970-10-18,5,33.162,GNB,,RAM,L 21-31,,,,,,,,,
27,1970,1970-10-25,6,33.169,GNB,,PHI,W 30-17,,,,,,,,,
28,1970,1970-11-01,7,33.176,GNB,@,SFO,L 10-26,,,,,,,,,
