ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,tackles_solo,tackles_assists
1,2016,2016-10-30,7,23.232,GNB,@,ATL,L 32-33,,0,0,,0,0,0,,0,0.0,0,0
2,2016,2016-11-06,8,23.239,GNB,,IND,L 26-31,,0,0,,0,0,0,,0,0.0,0,0
3,2017,2017-10-22,7,24.224,GNB,,NOR,L 17-26,,0,0,,0,0,0,,0,0.0,0,0
4,2017,2017-11-06,8,24.239,GNB,,DET,L 17-30,,0,0,,0,0,0,,0,0.0,0,0
5,2017,2017-11-12,9,24.245,GNB,@,CHI,W 23-16,,0,0,,0,0,0,,0,0.0,1,0
6,2017,2017-11-19,10,24.252,GNB,,BAL,L 0-23,,0,0,,0,0,0,,0,0.0,0,1
7,2017,2017-11-26,11,24.259,GNB,@,PIT,L 28-31,,0,0,,0,0,0,,0,0.0,0,0
8,2017,2017-12-03,12,24.266,GNB,,TAM,W 26-20,,0,0,,0,1,0,0.00,0,0.0,0,0
9,2017,2017-12-10,13,24.273,GNB,@,CLE,W 27-21,,1,7,7.00,0,0,0,,0,0.0,1,0
10,2017,2017-12-17,14,24.280,GNB,@,CAR,L 24-31,,0,0,,0,0,0,,0,0.0,0,1
11,2017,2017-12-23,15,24.286,GNB,,MIN,L 0-16,,0,0,,0,0,0,,0,0.0,0,0
12,2017,2017-12-31,16,24.294,GNB,@,DET,L 11-35,,0,0,,0,0,0,,0,0.0,1,0
13,2018,2018-09-09,1,25.181,GNB,,CHI,W 24-23,*,0,0,,0,0,0,,0,0.0,1,0
14,2018,2018-09-16,2,25.188,GNB,,MIN,T 29-29,,0,0,,0,0,0,,0,0.0,3,0
15,2018,2018-09-23,3,25.195,GNB,@,WAS,L 17-31,,0,0,,0,0,0,,0,0.0,1,0
