ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att
1,2012,2012-10-14,6,23.089,ATL,,OAK,W 23-20,,0,0,,0,0,0,,0,0,,
2,2013,2013-09-08,1,24.053,ATL,@,NOR,L 17-23,,,,,,,,,,,,
3,2013,2013-09-15,2,24.060,ATL,,STL,W 31-24,,,,,,,,,,,,
4,2013,2013-09-22,3,24.067,ATL,@,MIA,L 23-27,,,,,,,,,,,,
5,2013,2013-09-29,4,24.074,ATL,,NWE,L 23-30,,,,,,,,,,,,
6,2013,2013-10-07,5,24.082,ATL,,NYJ,L 28-30,,,,,,,,,,,,
7,2013,2013-10-20,6,24.095,ATL,,TAM,W 31-23,*,,,,,,,,,,,
8,2013,2013-10-27,7,24.102,ATL,@,ARI,L 13-27,*,,,,,,,,,,,
9,2013,2013-11-03,8,24.109,ATL,@,CAR,L 10-34,*,,,,,,,,,,,
10,2013,2013-11-10,9,24.116,ATL,,SEA,L 10-33,,,,,,,,,,,,
11,2013,2013-11-17,10,24.123,ATL,@,TAM,L 28-41,,5,7,71.43,34,0,0,81.8,0,0,4.86,4.86
12,2013,2013-11-21,11,24.127,ATL,,NOR,L 13-17,,,,,,,,,,,,
