ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,2016,2016-10-23,7,23.208,SFO,,TAM,L 17-34,,0,0,,0
2,2016,2016-11-06,8,23.222,SFO,,NOR,L 23-41,,3,104,34.67,0
3,2016,2016-11-13,9,23.229,SFO,@,ARI,L 20-23,,1,19,19.00,0
4,2016,2016-11-20,10,23.236,SFO,,NWE,L 17-30,,1,10,10.00,0
5,2016,2016-11-27,11,23.243,SFO,@,MIA,L 24-31,,3,50,16.67,0
6,2016,2016-12-04,12,23.250,SFO,@,CHI,L 6-26,,3,57,19.00,0
7,2016,2016-12-11,13,23.257,SFO,,NYJ,L 17-23,,1,20,20.00,0
8,2016,2016-12-18,14,23.264,SFO,@,ATL,L 13-41,,5,112,22.40,0
9,2016,2016-12-24,15,23.270,SFO,@,LAR,W 22-21,,2,37,18.50,0
10,2016,2017-01-01,16,23.278,SFO,,SEA,L 23-25,,2,47,23.50,0
