ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1964,1964-10-18,6,24.004,PHI,@,NYG,W 23-17,0,0,,0,0,0,,0,2,37,18.50,0
2,1964,1964-10-25,7,24.011,PHI,@,PIT,W 34-10,0,0,,0,1,23,23.00,0,0,0,,0
3,1964,1964-11-01,8,24.018,PHI,,WAS,L 10-21,2,27,13.50,0,0,0,,0,2,21,10.50,0
4,1964,1964-11-08,9,24.025,PHI,@,RAM,L 10-20,2,31,15.50,0,1,33,33.00,0,0,0,,0
5,1964,1964-11-15,10,24.032,PHI,@,DAL,W 17-14,0,0,,0,2,45,22.50,0,0,0,,0
6,1964,1964-11-22,11,24.039,PHI,,STL,L 13-38,0,0,,0,2,40,20.00,0,1,0,0.00,0
7,1964,1964-11-29,12,24.046,PHI,@,CLE,L 24-38,0,0,,0,1,26,26.00,0,1,3,3.00,0
8,1965,1965-10-24,6,25.010,PHI,,PIT,L 14-20,0,0,,0,0,0,,0,1,14,14.00,0
9,1965,1965-10-31,7,25.017,PHI,@,WAS,L 21-23,0,0,,0,1,0,0.00,0,0,0,,0
10,1965,1965-11-07,8,25.024,PHI,@,CLE,L 34-38,1,27,27.00,0,0,0,,0,0,0,,0
11,1965,1965-11-14,9,25.031,PHI,,WAS,W 21-14,0,0,,0,0,0,,0,1,14,14.00,0
