ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2009,2009-09-13,1,23.338,DET,@,NOR,L 27-45,,1,9,9.00,0,0,0,0,,0,0.0%,,5,180,36.00,0,0,0,0.0,0,0
2,2009,2009-09-20,2,23.345,DET,,MIN,L 13-27,,4,10,2.50,0,2,1,3,3.00,0,50.0%,1.50,6,96,16.00,0,0,0,0.0,0,0
3,2009,2009-09-27,3,23.352,DET,,WAS,W 19-14,,5,6,1.20,0,1,1,9,9.00,0,100.0%,9.00,2,38,19.00,0,0,0,0.0,0,0
4,2009,2009-10-04,4,23.359,DET,@,CHI,L 24-48,,1,3,3.00,0,1,1,14,14.00,0,100.0%,14.00,7,141,20.14,0,0,0,0.0,0,0
5,2009,2009-10-11,5,24.001,DET,,PIT,L 20-28,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,1
6,2009,2009-10-18,6,24.008,DET,@,GNB,L 0-26,,2,13,6.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
7,2009,2009-11-01,7,24.022,DET,,STL,L 10-17,*,2,15,7.50,0,4,2,13,6.50,0,50.0%,3.25,0,0,,0,0,0,0.0,0,0
8,2009,2009-11-08,8,24.029,DET,@,SEA,L 20-32,,4,27,6.75,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
9,2009,2009-11-22,10,24.043,DET,,CLE,W 38-37,,0,0,,0,1,1,26,26.00,1,100.0%,26.00,4,118,29.50,0,1,6,0.0,0,0
10,2009,2009-11-26,11,24.047,DET,,GNB,L 12-34,*,1,5,5.00,0,1,0,0,,0,0.0%,0.00,6,121,20.17,0,0,0,0.0,0,0
11,2009,2009-12-06,12,24.057,DET,@,CIN,L 13-23,,0,0,,0,1,0,0,,0,0.0%,0.00,6,128,21.33,0,0,0,0.0,0,0
12,2009,2009-12-13,13,24.064,DET,@,BAL,L 3-48,,1,12,12.00,0,0,0,0,,0,0.0%,,5,76,15.20,0,0,0,0.0,0,0
13,2009,2009-12-20,14,24.071,DET,,ARI,L 24-31,,2,9,4.50,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0
14,2009,2009-12-27,15,24.078,DET,@,SFO,L 6-20,,1,1,1.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
15,2009,2010-01-03,16,24.085,DET,,CHI,L 23-37,,3,21,7.00,0,3,3,19,6.33,0,100.0%,6.33,1,53,53.00,0,0,0,0.0,0,0
16,2010,2010-09-12,1,24.337,DET,@,CHI,L 14-19,,,,,,,,,,,0.0%,,,,,,,,,,
17,2010,2010-09-19,2,24.344,DET,,PHI,L 32-35,,3,13,4.33,0,3,2,10,5.00,0,66.7%,3.33,0,0,,0,0,0,0.0,0,0
18,2010,2010-09-26,3,24.351,DET,@,MIN,L 10-24,,,,,,,,,,,0.0%,,,,,,,,,,
19,2010,2010-11-21,10,25.042,DET,@,DAL,L 19-35,,1,9,9.00,0,2,2,6,3.00,0,100.0%,3.00,0,0,,0,0,0,0.0,0,0
20,2010,2010-11-25,11,25.046,DET,,NWE,L 24-45,,13,36,2.77,0,8,4,29,7.25,0,50.0%,3.63,0,0,,0,0,0,0.0,0,0
21,2010,2010-12-05,12,25.056,DET,,CHI,L 20-24,,,,,,,,,,,0.0%,,,,,,,,,,
22,2011,2011-12-11,13,26.062,DET,,MIN,W 34-28,,1,0,0.00,0,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,0.0,0,0
