ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td
1,1974,1974-10-13,5,23.030,DEN,,NOR,W 33-17,,0,0,,0,0,,,,,,,0,0,,0
2,1974,1974-10-20,6,23.037,DEN,,SDG,W 27-7,,,,,,,,,,,,,,,,
3,1974,1974-11-18,10,23.066,DEN,,KAN,L 34-42,,4,7,57.14,46,0,1,37.5,0,0,6.57,0.14,0,0,,0
4,1974,1974-12-15,14,23.093,DEN,@,SDG,L 0-17,,2,3,66.67,24,0,0,91.0,0,0,8.00,8.00,2,22,11.00,0
5,1975,1975-10-05,3,24.022,DEN,@,BUF,L 14-38,,5,14,35.71,135,1,1,66.1,0,0,9.64,7.86,1,8,8.00,0
6,1975,1975-10-12,4,24.029,DEN,@,PIT,L 9-20,,0,5,0.00,0,0,1,0.0,0,0,0.00,-9.00,2,19,9.50,0
7,1975,1975-11-02,7,24.050,DEN,,OAK,L 17-42,,2,9,22.22,39,0,0,45.1,0,0,4.33,4.33,0,0,,0
8,1975,1975-11-30,11,24.078,DEN,,SDG,W 13-10,,3,8,37.50,26,0,3,7.3,0,0,3.25,-13.63,3,15,5.00,0
9,1975,1975-12-08,12,24.086,DEN,@,OAK,L 10-17,*,6,15,40.00,87,0,3,20.0,0,0,5.80,-3.20,2,5,2.50,0
