ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks
1,2002,2002-09-15,2,22.322,SEA,,ARI,L 13-24,,,,,,
2,2002,2002-09-29,4,22.336,SEA,,MIN,W 48-23,,,,,,
3,2002,2002-10-14,5,22.351,SEA,,SFO,L 21-28,,,,,,
4,2002,2002-10-20,6,22.357,SEA,@,STL,L 20-37,,,,,,
5,2002,2002-10-27,7,22.364,SEA,@,DAL,W 17-14,,,,,,
6,2002,2002-11-03,8,23.006,SEA,,WAS,L 3-14,,,,,,
7,2002,2002-11-10,9,23.013,SEA,@,ARI,W 27-6,,,,,,
8,2003,2003-09-07,1,23.314,SEA,,NOR,W 27-10,,,,,,
9,2003,2003-09-21,3,23.328,SEA,,STL,W 24-23,,,,,,
10,2003,2003-10-05,4,23.342,SEA,@,GNB,L 13-35,,,,,,
11,2003,2003-10-12,5,23.349,SEA,,SFO,W 20-19,,,,,,
12,2003,2003-10-19,6,23.356,SEA,,CHI,W 24-17,,,,,,
13,2003,2003-10-26,7,23.363,SEA,@,CIN,L 24-27,*,,,,,
14,2003,2003-11-02,8,24.005,SEA,,PIT,W 23-16,,,,,,
15,2003,2003-11-09,9,24.012,SEA,@,WAS,L 20-27,,,,,,
16,2003,2003-11-16,10,24.019,SEA,,DET,W 35-14,,1,0,0.00,0,0.0
17,2003,2003-11-23,11,24.026,SEA,@,BAL,L 41-44,,,,,,
18,2003,2003-11-30,12,24.033,SEA,,CLE,W 34-7,,0,0,,0,1.0
19,2003,2003-12-07,13,24.040,SEA,@,MIN,L 7-34,,,,,,
20,2003,2003-12-14,14,24.047,SEA,@,STL,L 22-27,,,,,,
21,2003,2003-12-21,15,24.054,SEA,,ARI,W 28-10,,,,,,
22,2003,2003-12-27,16,24.060,SEA,@,SFO,W 24-17,,,,,,
23,2004,2004-09-12,1,24.320,SEA,@,NOR,W 21-7,,,,,,
24,2004,2004-09-19,2,24.327,SEA,@,TAM,W 10-6,,,,,,
25,2004,2004-09-26,3,24.334,SEA,,SFO,W 34-0,,,,,,
26,2004,2004-10-10,4,24.348,SEA,,STL,L 27-33,,,,,,
27,2004,2004-10-17,5,24.355,SEA,@,NWE,L 20-30,,,,,,
28,2004,2004-10-24,6,24.362,SEA,@,ARI,L 17-25,,,,,,
29,2004,2004-10-31,7,25.003,SEA,,CAR,W 23-17,,1,10,10.00,0,0.0
30,2004,2004-11-07,8,25.010,SEA,@,SFO,W 42-27,,3,21,7.00,0,0.0
31,2004,2004-11-14,9,25.017,SEA,@,STL,L 12-23,,,,,,
32,2004,2004-11-21,10,25.024,SEA,,MIA,W 24-17,,,,,,
33,2004,2004-11-28,11,25.031,SEA,,BUF,L 9-38,,,,,,
34,2004,2004-12-06,12,25.039,SEA,,DAL,L 39-43,,,,,,
35,2004,2004-12-12,13,25.045,SEA,@,MIN,W 27-23,,,,,,
36,2004,2004-12-19,14,25.052,SEA,@,NYJ,L 14-37,,,,,,
37,2004,2004-12-26,15,25.059,SEA,,ARI,W 24-21,,,,,,
38,2004,2005-01-02,16,25.066,SEA,,ATL,W 28-26,,,,,,
39,2005,2006-01-01,16,26.065,SFO,,HOU,W 20-17,,,,,,
