ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2009,2009-09-13,1,22.012,SEA,,STL,W 28-0,,0,0,,0,0,0,0.0,1,0
2,2009,2009-09-20,2,22.019,SEA,@,SFO,L 10-23,,,,,,,,,,
3,2009,2009-09-27,3,22.026,SEA,,CHI,L 19-25,,,,,,,,,,
4,2009,2009-10-04,4,22.033,SEA,@,IND,L 17-34,,1,3,3.00,0,0,0,0.0,0,0
5,2009,2009-10-11,5,22.040,SEA,,JAX,W 41-0,,0,0,,0,1,6,1.0,2,1
6,2009,2009-10-18,6,22.047,SEA,,ARI,L 3-27,,0,0,,0,0,0,0.0,1,0
7,2009,2009-11-01,7,22.061,SEA,@,DAL,L 17-38,,0,0,,0,0,0,0.0,0,1
8,2009,2009-11-08,8,22.068,SEA,,DET,W 32-20,,0,0,,0,0,0,0.0,0,1
9,2009,2009-11-15,9,22.075,SEA,@,ARI,L 20-31,,,,,,,,,,
10,2009,2009-11-22,10,22.082,SEA,@,MIN,L 9-35,,0,0,,0,0,0,0.0,1,1
11,2009,2009-11-29,11,22.089,SEA,@,STL,W 27-17,,0,0,,0,0,0,0.0,0,0
12,2009,2009-12-06,12,22.096,SEA,,SFO,W 20-17,,0,0,,0,0,0,0.0,0,1
13,2009,2009-12-13,13,22.103,SEA,@,HOU,L 7-34,,0,0,,0,0,0,0.0,1,1
14,2009,2009-12-20,14,22.110,SEA,,TAM,L 7-24,,,,,,,,,,
15,2009,2009-12-27,15,22.117,SEA,@,GNB,L 10-48,,,,,,,,,,
16,2009,2010-01-03,16,22.124,SEA,,TEN,L 13-17,,0,0,,0,0,0,0.0,0,1
17,2011,2011-09-11,1,24.010,CHI,,ATL,W 30-12,,0,0,,0,0,0,0.0,0,0
18,2011,2011-09-18,2,24.017,CHI,@,NOR,L 13-30,,0,0,,0,0,0,0.0,1,0
19,2011,2011-09-25,3,24.024,CHI,,GNB,L 17-27,,,,,,,,,,
20,2011,2011-10-02,4,24.031,CHI,,CAR,W 34-29,,0,0,,0,0,0,0.0,2,0
21,2011,2011-10-10,5,24.039,CHI,@,DET,L 13-24,,0,0,,0,0,0,0.0,0,2
22,2011,2011-10-23,7,24.052,CHI,@,TAM,W 24-18,,0,0,,0,0,0,0.0,1,0
23,2011,2011-11-07,8,24.067,CHI,@,PHI,W 30-24,,,,,,,,,,
24,2011,2011-12-17,14,24.107,TAM,,DAL,L 15-31,,,,,,,,,,
25,2011,2011-12-24,15,24.114,TAM,@,CAR,L 16-48,,,,,,,,,,
26,2011,2012-01-01,16,24.122,TAM,@,ATL,L 24-45,,,,,,,,,,
