ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2014,2014-09-07,1,21.322,CIN,@,BAL,W 23-16,,4,19,4.75,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
2,2014,2014-09-14,2,21.329,CIN,,ATL,W 24-10,,15,74,4.93,1,2,2,22,11.00,0,100.0%,11.00,,1,6,0.0,0,0
3,2014,2014-09-21,3,21.336,CIN,,TEN,W 33-7,,7,39,5.57,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0
4,2014,2014-10-05,4,21.350,CIN,@,NWE,L 17-43,,2,1,0.50,0,4,3,68,22.67,0,75.0%,17.00,,0,0,0.0,0,0
5,2014,2014-10-12,5,21.357,CIN,,CAR,T 37-37,*,8,22,2.75,1,4,4,13,3.25,0,100.0%,3.25,,1,6,0.0,0,0
6,2014,2014-10-19,6,21.364,CIN,@,IND,L 0-27,,4,15,3.75,0,1,0,0,,0,0.0%,0.00,,0,0,0.0,0,0
7,2014,2014-10-26,7,22.006,CIN,,BAL,W 27-24,,10,25,2.50,0,4,4,28,7.00,0,100.0%,7.00,,0,0,0.0,1,0
8,2014,2014-11-02,8,22.013,CIN,,JAX,W 33-23,*,24,154,6.42,2,1,1,9,9.00,0,100.0%,9.00,,2,12,0.0,0,0
9,2014,2014-11-06,9,22.017,CIN,,CLE,L 3-24,*,12,55,4.58,0,2,1,6,6.00,0,50.0%,3.00,,0,0,0.0,2,0
10,2014,2014-11-16,10,22.027,CIN,@,NOR,W 27-10,*,27,152,5.63,0,1,1,13,13.00,0,100.0%,13.00,,0,0,0.0,0,0
11,2014,2014-11-23,11,22.034,CIN,@,HOU,W 22-13,,18,87,4.83,1,1,1,9,9.00,0,100.0%,9.00,,1,6,0.0,0,0
12,2014,2014-11-30,12,22.041,CIN,@,TAM,W 14-13,*,13,40,3.08,0,4,4,12,3.00,0,100.0%,3.00,,0,0,0.0,0,0
