ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1986,1986-09-07,1,24.345,WAS,,PHI,W 41-14,,0,0,,0,,,0,0,,0,,,,,,
2,1986,1986-09-14,2,24.352,WAS,,RAI,W 10-6,,0,0,,0,,,0,0,,0,,,,,,
3,1986,1986-09-21,3,24.359,WAS,@,SDG,W 30-27,,0,0,,0,,,0,0,,0,,,,,,
4,1986,1986-09-28,4,25.001,WAS,,SEA,W 19-14,,0,0,,0,,,0,0,,0,,,,,,
5,1986,1986-10-05,5,25.008,WAS,@,NOR,W 14-6,,0,0,,0,,,0,0,,0,,,,,,
6,1986,1986-10-12,6,25.015,WAS,@,DAL,L 6-30,,0,0,,0,,,0,0,,0,,,,,,
7,1986,1986-10-19,7,25.022,WAS,,STL,W 28-21,,0,0,,0,,,0,0,,0,,,,,,
8,1986,1986-10-27,8,25.030,WAS,@,NYG,L 20-27,,0,0,,0,,,0,0,,0,,,,,,
9,1986,1986-11-02,9,25.036,WAS,,MIN,W 44-38,,0,0,,0,,,1,15,15.00,0,0,0,,0,0,0
10,1986,1986-11-09,10,25.043,WAS,@,GNB,W 16-7,,0,0,,0,,,1,16,16.00,0,0,0,,0,0,0
11,1986,1986-11-17,11,25.051,WAS,,SFO,W 14-6,,0,0,,0,,,0,0,,0,,,,,,
12,1986,1986-11-23,12,25.057,WAS,,DAL,W 41-14,,0,0,,0,,,0,0,,0,,,,,,
13,1986,1986-11-30,13,25.064,WAS,@,STL,W 20-17,,2,33,16.50,1,,,0,0,,0,0,0,,0,1,6
14,1986,1986-12-07,14,25.071,WAS,,NYG,L 14-24,,0,0,,0,,,0,0,,0,,,,,,
