ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring
1,1985,1985-09-08,1,23.030,CLE,,STL,L 24-27,9,48,5.33,1,,2,7,3.50,0,,,1,6
2,1985,1985-09-16,2,23.038,CLE,,PIT,W 17-7,12,40,3.33,0,,4,54,13.50,0,,,0,0
3,1985,1985-09-22,3,23.044,CLE,@,DAL,L 7-20,10,23,2.30,0,,2,38,19.00,0,,,0,0
4,1985,1985-09-29,4,23.051,CLE,@,SDG,W 21-7,16,130,8.13,1,,7,49,7.00,1,,,2,12
5,1985,1985-10-06,5,23.058,CLE,,NWE,W 24-20,20,115,5.75,1,,5,85,17.00,0,,,1,6
6,1985,1985-10-13,6,23.065,CLE,@,HOU,W 21-6,20,91,4.55,1,,0,0,,0,,,1,6
7,1985,1985-10-20,7,23.072,CLE,,RAI,L 20-21,19,56,2.95,0,,2,22,11.00,1,,,1,6
8,1985,1985-10-27,8,23.079,CLE,,WAS,L 7-14,13,60,4.62,0,,1,19,19.00,0,,,0,0
9,1985,1985-11-03,9,23.086,CLE,@,PIT,L 9-10,11,30,2.73,0,,1,0,0.00,0,,,0,0
10,1985,1985-11-10,10,23.093,CLE,@,CIN,L 10-27,9,88,9.78,0,,0,0,,0,,,0,0
11,1985,1985-11-17,11,23.100,CLE,,BUF,W 17-7,21,94,4.48,0,,1,6,6.00,0,,,0,0
12,1985,1985-11-24,12,23.107,CLE,,CIN,W 24-6,14,117,8.36,2,,0,0,,0,,,2,12
13,1985,1985-12-01,13,23.114,CLE,@,NYG,W 35-33,14,66,4.71,1,,2,8,4.00,0,,,1,6
14,1985,1985-12-08,14,23.121,CLE,@,SEA,L 13-31,9,44,4.89,0,,1,4,4.00,0,,,0,0
15,1985,1985-12-15,15,23.128,CLE,,HOU,W 28-21,13,72,5.54,0,,1,5,5.00,1,,,1,6
16,1985,1985-12-22,16,23.135,CLE,@,NYJ,L 10-37,12,30,2.50,0,,0,0,,0,,,0,0
17,1986,1986-09-07,1,24.029,CLE,@,CHI,L 31-41,10,50,5.00,2,,2,14,7.00,0,,,2,12
18,1986,1986-09-28,4,24.050,CLE,,DET,W 24-21,4,12,3.00,0,,2,29,14.50,0,,,0,0
19,1986,1986-10-19,7,24.071,CLE,,GNB,L 14-17,16,41,2.56,0,,8,68,8.50,0,,,0,0
20,1986,1986-10-26,8,24.078,CLE,@,MIN,W 23-20,11,44,4.00,0,,2,25,12.50,0,,,0,0
21,1986,1986-11-02,9,24.085,CLE,@,IND,W 24-9,17,39,2.29,0,,1,4,4.00,0,,,0,0
22,1986,1986-11-10,10,24.093,CLE,,MIA,W 26-16,8,27,3.38,0,,6,94,15.67,0,,,0,0
23,1986,1986-11-16,11,24.099,CLE,@,RAI,L 14-27,8,31,3.88,2,,0,0,,0,,,2,12
24,1986,1986-11-23,12,24.106,CLE,,PIT,W 37-31,24,106,4.42,1,,2,15,7.50,0,,,1,6
25,1986,1986-11-30,13,24.113,CLE,,HOU,W 13-10,28,121,4.32,0,,1,-1,-1.00,0,,,0,0
26,1986,1986-12-07,14,24.120,CLE,@,BUF,W 21-17,16,65,4.06,2,,1,23,23.00,0,,,2,12
27,1986,1986-12-14,15,24.127,CLE,@,CIN,W 34-3,23,93,4.04,2,,1,3,3.00,0,,,2,12
28,1986,1986-12-21,16,24.134,CLE,,SDG,W 47-17,9,36,4.00,1,,2,18,9.00,0,,,1,6
29,1987,1987-09-13,1,25.035,CLE,@,NOR,L 21-28,11,37,3.36,0,,2,17,8.50,0,,,0,0
30,1987,1987-09-20,2,25.042,CLE,,PIT,W 34-10,14,53,3.79,1,,8,45,5.63,0,,,1,6
31,1987,1987-10-26,6,25.078,CLE,,RAM,W 30-17,14,47,3.36,1,,3,17,5.67,0,,,1,6
32,1987,1987-11-01,7,25.084,CLE,@,SDG,L 24-27,14,61,4.36,0,,3,14,4.67,0,,,0,0
33,1987,1987-11-08,8,25.091,CLE,,ATL,W 38-3,18,52,2.89,1,,1,7,7.00,0,,,1,6
34,1987,1987-11-15,9,25.098,CLE,,BUF,W 27-21,17,48,2.82,0,,4,46,11.50,0,,,0,0
35,1987,1987-11-22,10,25.105,CLE,@,HOU,W 40-7,26,114,4.38,1,,2,17,8.50,0,,,1,6
36,1987,1987-11-29,11,25.112,CLE,@,SFO,L 24-38,9,37,4.11,0,,2,17,8.50,0,,,0,0
37,1987,1987-12-06,12,25.119,CLE,,IND,L 7-9,16,61,3.81,0,,2,7,3.50,0,,,0,0
38,1987,1987-12-13,13,25.126,CLE,,CIN,W 38-24,27,133,4.93,1,,3,19,6.33,1,,,2,12
39,1987,1987-12-20,14,25.133,CLE,@,RAI,W 24-17,17,55,3.24,0,,0,0,,0,,,0,0
40,1987,1987-12-26,15,25.139,CLE,@,PIT,W 19-13,18,37,2.06,0,,2,17,8.50,0,,,0,0
41,1988,1988-09-04,1,26.026,CLE,@,KAN,W 6-3,9,41,4.56,0,,2,20,10.00,0,,,0,0
42,1988,1988-09-11,2,26.033,CLE,,NYJ,L 3-23,8,26,3.25,0,,2,2,1.00,0,,,0,0
43,1988,1988-09-19,3,26.041,CLE,,IND,W 23-17,23,76,3.30,0,,3,49,16.33,0,,,0,0
44,1988,1988-09-25,4,26.047,CLE,@,CIN,L 17-24,14,39,2.79,1,,1,7,7.00,0,,,1,6
45,1988,1988-10-02,5,26.054,CLE,@,PIT,W 23-9,3,3,1.00,0,,0,0,,0,,,0,0
46,1988,1988-10-09,6,26.061,CLE,,SEA,L 10-16,15,66,4.40,1,,0,0,,0,,,1,6
47,1988,1988-10-16,7,26.068,CLE,,PHI,W 19-3,16,100,6.25,0,,0,0,,0,,,0,0
48,1988,1988-10-23,8,26.075,CLE,@,PHO,W 29-21,0,0,,0,,1,5,5.00,0,,,0,0
49,1988,1988-11-07,10,26.090,CLE,@,HOU,L 17-24,6,11,1.83,0,,0,0,,0,,,0,0
50,1988,1988-11-27,13,26.110,CLE,@,WAS,W 17-13,22,116,5.27,1,,1,3,3.00,0,,,1,6
51,1988,1988-12-04,14,26.117,CLE,,DAL,W 24-21,7,7,1.00,0,,1,1,1.00,0,,,0,0
52,1989,1989-12-03,13,27.116,CLE,,CIN,L 0-21,1,-3,-3.00,0,,0,0,,0,,,0,0
53,1989,1989-12-10,14,27.123,CLE,@,IND,L 17-23,6,16,2.67,0,,0,0,,0,,,0,0
54,1989,1989-12-17,15,27.130,CLE,,MIN,W 23-17,18,55,3.06,0,,1,4,4.00,0,,,0,0
55,1989,1989-12-23,16,27.136,CLE,@,HOU,W 24-20,12,62,5.17,1,,1,3,3.00,0,,,1,6
56,1990,1990-09-09,1,28.031,CLE,,PIT,W 13-3,6,45,7.50,0,,4,24,6.00,0,,,0,0
57,1990,1990-09-30,4,28.052,CLE,@,KAN,L 0-34,7,32,4.57,0,,2,-5,-2.50,0,,,0,0
58,1990,1990-10-08,5,28.060,CLE,@,DEN,W 30-29,15,54,3.60,0,,2,17,8.50,1,,,1,6
59,1990,1990-10-14,6,28.066,CLE,@,NOR,L 20-25,13,66,5.08,1,,3,28,9.33,0,,,1,6
60,1990,1990-10-22,7,28.074,CLE,,CIN,L 13-34,12,53,4.42,0,,5,67,13.40,0,,,0,0
61,1990,1990-10-28,8,28.080,CLE,@,SFO,L 17-20,14,29,2.07,0,,2,26,13.00,0,,,0,0
62,1990,1990-11-04,9,28.087,CLE,,BUF,L 0-42,11,37,3.36,0,,1,3,3.00,0,,,0,0
63,1990,1990-11-18,10,28.101,CLE,,HOU,L 23-35,14,73,5.21,0,,6,58,9.67,0,,,0,0
64,1990,1990-11-25,11,28.108,CLE,,MIA,L 13-30,13,79,6.08,1,,4,29,7.25,0,,,1,6
65,1990,1990-12-02,12,28.115,CLE,,RAM,L 23-38,7,15,2.14,1,,7,78,11.14,1,,,2,12
66,1990,1990-12-09,13,28.122,CLE,@,HOU,L 14-58,8,35,4.38,0,,1,4,4.00,0,,,0,0
67,1990,1990-12-16,14,28.129,CLE,,ATL,W 13-10,13,80,6.15,1,,2,17,8.50,0,,,1,6
68,1990,1990-12-23,15,28.136,CLE,@,PIT,L 0-35,9,19,2.11,0,,0,0,,0,,,0,0
69,1990,1990-12-30,16,28.143,CLE,@,CIN,L 14-21,16,85,5.31,1,,3,14,4.67,0,,,1,6
70,1991,1991-09-01,1,29.023,CLE,,DAL,L 14-26,7,12,1.71,1,,3,14,4.67,0,,,1,6
71,1991,1991-09-15,3,29.037,CLE,,CIN,W 14-13,10,37,3.70,0,,0,0,,0,,,0,0
72,1991,1991-09-22,4,29.044,CLE,@,NYG,L 10-13,20,71,3.55,0,,4,22,5.50,1,,,1,6
73,1991,1991-10-06,5,29.058,CLE,,NYJ,L 14-17,13,51,3.92,1,,6,41,6.83,0,,,1,6
74,1991,1991-10-13,6,29.065,CLE,@,WAS,L 17-42,14,70,5.00,0,,6,53,8.83,0,,,0,0
75,1991,1991-10-27,8,29.079,CLE,,PIT,W 17-14,19,54,2.84,1,,4,21,5.25,0,,,1,6
76,1991,1991-11-03,9,29.086,CLE,@,CIN,L 21-23,26,78,3.00,3,,1,11,11.00,0,,,3,18
77,1991,1991-11-10,10,29.093,CLE,,PHI,L 30-32,10,23,2.30,0,,1,-1,-1.00,0,,,0,0
78,1991,1991-11-17,11,29.100,CLE,@,HOU,L 24-28,16,32,2.00,0,,3,15,5.00,0,,,0,0
79,1991,1991-11-24,12,29.107,CLE,,KAN,W 20-15,16,46,2.88,0,,1,5,5.00,0,,,0,0
