ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
1,1965,1965-10-17,6,22.189,BOS,,SDG,T 13-13,0,0,,0,1,0,0.00,0,,,,,,,0,0
2,1965,1965-10-31,8,22.203,BOS,@,SDG,W 22-6,0,0,,0,1,0,0.00,0,,,,,,,0,0
3,1967,1967-09-03,1,24.145,BOS,@,DEN,L 21-26,,,,,,,,,,,,,,,,
4,1967,1967-09-09,2,24.151,BOS,@,SDG,L 14-28,,,,,,,,,,,,,,,,
5,1967,1967-09-17,3,24.159,BOS,@,OAK,L 7-35,,,,,,,,,,,,,,,,
6,1967,1967-09-24,4,24.166,BOS,@,BUF,W 23-0,,,,,,,,,,,,,,,,
7,1967,1967-10-08,5,24.180,BOS,@,SDG,T 31-31,,,,,,,,,,,,,,,,
8,1967,1967-10-15,6,24.187,BOS,,MIA,W 41-10,,,,,,,,,,,,,,,,
9,1967,1967-10-22,7,24.194,BOS,,OAK,L 14-48,,,,,,,,,,,,,,,,
10,1967,1967-10-29,8,24.201,BOS,@,NYJ,L 23-30,,,,,,,,,,,,,,,,
11,1967,1967-11-05,9,24.208,BOS,,HOU,W 18-7,0,0,,0,,,,,1,1,100.0,,,,0,1
12,1967,1967-11-12,10,24.215,BOS,,KAN,L 10-33,,,,,,,,,,,,,,,,
13,1967,1967-11-19,11,24.222,BOS,,NYJ,L 24-29,,,,,,,,,,,,,,,,
14,1967,1967-11-26,12,24.229,BOS,@,HOU,L 6-27,,,,,,,,,,,,,,,,
15,1967,1967-12-09,13,24.242,BOS,,BUF,L 16-44,,,,,,,,,,,,,,,,
16,1967,1967-12-17,14,24.250,BOS,@,MIA,L 32-41,,,,,,,,,,,,,,,,
17,1968,1968-11-10,9,25.213,BOS,,SDG,L 17-27,1,0,0.00,0,0,0,,0,,,,,,,0,0
