ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1992,1992-10-04,5,23.334,NYJ,,NWE,W 30-21,,3,3,100.0,3,3,100.0,0,12,0,0,,0
2,1992,1992-10-11,6,23.341,NYJ,@,IND,L 3-6,,,,,1,1,100.0,0,3,0,0,,0
3,1992,1992-10-26,7,23.356,NYJ,,BUF,L 20-24,,2,2,100.0,2,2,100.0,0,8,0,0,,0
4,1992,1992-11-01,8,23.362,NYJ,,MIA,W 26-14,,3,3,100.0,1,1,100.0,0,6,0,0,,0
5,1992,1992-11-08,9,24.003,NYJ,@,DEN,L 16-27,,1,1,100.0,3,5,60.0,0,10,0,0,,0
6,1992,1992-11-15,10,24.010,NYJ,,CIN,W 17-14,,2,2,100.0,1,3,33.3,0,5,0,0,,0
7,1992,1992-11-22,11,24.017,NYJ,@,NWE,L 3-24,,,,,1,1,100.0,0,3,0,0,,0
8,1992,1992-11-29,12,24.024,NYJ,,KAN,L 7-23,,1,1,100.0,,,,0,1,,,,
9,1992,1992-12-06,13,24.031,NYJ,@,BUF,W 24-17,,3,3,100.0,1,2,50.0,0,6,0,0,,0
10,1992,1992-12-13,14,24.038,NYJ,,IND,L 6-10,,,,,2,3,66.7,0,6,0,0,,0
11,1992,1992-12-20,15,24.045,NYJ,@,MIA,L 17-19,,2,2,100.0,1,1,100.0,0,5,0,0,,0
12,1993,1993-09-05,1,24.304,NYJ,,DEN,L 20-26,,2,2,100.0,2,2,100.0,0,8,0,0,,0
13,1993,1993-09-12,2,24.311,NYJ,@,MIA,W 24-14,,3,3,100.0,1,1,100.0,0,6,0,0,,0
14,1993,1993-09-26,3,24.325,NYJ,,NWE,W 45-7,,6,6,100.0,1,2,50.0,0,9,0,0,,0
15,1993,1993-10-03,4,24.332,NYJ,,PHI,L 30-35,,4,4,100.0,,,,0,4,,,,
16,1993,1993-10-10,5,24.339,NYJ,@,RAI,L 20-24,,2,2,100.0,2,3,66.7,0,8,0,0,,0
17,1993,1993-10-24,6,24.353,NYJ,,BUF,L 10-19,,1,1,100.0,1,1,100.0,0,4,0,0,,0
18,1993,1993-10-31,7,24.360,NYJ,@,NYG,W 10-6,,1,1,100.0,1,2,50.0,0,4,0,0,,0
19,1993,1993-11-07,8,25.002,NYJ,,MIA,W 27-10,,3,3,100.0,2,2,100.0,0,9,0,0,,0
20,1993,1993-11-14,9,25.009,NYJ,@,IND,W 31-17,,4,4,100.0,1,1,100.0,0,7,0,0,,0
21,1993,1993-11-21,10,25.016,NYJ,,CIN,W 17-12,,2,2,100.0,1,1,100.0,0,5,0,0,,0
22,1993,1993-11-28,11,25.023,NYJ,@,NWE,W 6-0,,,,,2,2,100.0,0,6,0,0,,0
23,1993,1993-12-05,12,25.030,NYJ,,IND,L 6-9,,,,,2,4,50.0,0,6,0,0,,0
24,1993,1993-12-11,13,25.036,NYJ,@,WAS,W 3-0,,,,,1,1,100.0,0,3,0,0,,0
25,1993,1993-12-18,14,25.043,NYJ,,DAL,L 7-28,,1,1,100.0,,,,0,1,,,,
26,1993,1993-12-26,15,25.051,NYJ,@,BUF,L 14-16,,2,2,100.0,,3,0.0,0,2,0,0,,0
27,1993,1994-01-02,16,25.058,NYJ,@,HOU,L 0-24,,,,,,1,0.0,0,0,0,0,,0
28,1995,1995-10-08,5,26.337,IND,@,MIA,W 27-24,,3,3,100.0,2,2,100.0,0,9,0,0,,0
29,1995,1995-10-15,6,26.344,IND,,SFO,W 18-17,,,,,4,4,100.0,0,12,0,0,,0
30,1995,1995-10-22,7,26.351,IND,@,OAK,L 17-30,,2,2,100.0,1,1,100.0,0,5,0,0,,0
31,1995,1995-10-29,8,26.358,IND,,NYJ,W 17-10,,2,2,100.0,1,1,100.0,0,5,0,0,,0
32,1995,1995-11-05,9,27.000,IND,,BUF,L 10-16,,1,1,100.0,1,1,100.0,0,4,0,0,,0
33,1995,1995-11-12,10,27.007,IND,@,NOR,L 14-17,,2,2,100.0,,2,0.0,0,2,0,0,,0
34,1995,1995-11-19,11,27.014,IND,@,NWE,W 24-10,,3,3,100.0,1,1,100.0,0,6,0,0,,0
35,1995,1995-11-26,12,27.021,IND,,MIA,W 36-28,,4,4,100.0,2,2,100.0,0,10,0,0,,0
36,1995,1995-12-03,13,27.028,IND,@,CAR,L 10-13,,1,1,100.0,1,1,100.0,0,4,0,0,,0
37,1995,1995-12-10,14,27.035,IND,@,JAX,W 41-31,,5,5,100.0,2,2,100.0,0,11,0,0,,0
38,1995,1995-12-17,15,27.042,IND,,SDG,L 24-27,,1,1,100.0,3,4,75.0,0,10,0,0,,0
39,1995,1995-12-23,16,27.048,IND,,NWE,W 10-7,,1,1,100.0,1,3,33.3,0,4,0,0,,0
40,1996,1996-09-01,1,27.301,IND,,ARI,W 20-13,,2,2,100.0,2,2,100.0,0,8,0,0,,0
41,1996,1996-09-08,2,27.308,IND,@,NYJ,W 21-7,,3,3,100.0,,,,0,3,,,,
42,1996,1996-09-15,3,27.315,IND,@,DAL,W 25-24,,1,1,100.0,4,4,100.0,0,13,0,0,,0
43,1996,1996-09-23,4,27.323,IND,,MIA,W 10-6,,1,1,100.0,1,1,100.0,0,4,0,0,,0
44,1996,1996-10-06,5,27.336,IND,@,BUF,L 13-16,,1,1,100.0,2,3,66.7,0,7,0,0,,0
45,1996,1996-10-13,6,27.343,IND,,BAL,W 26-21,,2,2,100.0,2,2,100.0,0,8,0,0,,0
46,1996,1996-10-20,7,27.350,IND,,NWE,L 9-27,,,,,3,3,100.0,0,9,0,0,,0
47,1996,1996-10-27,8,27.357,IND,@,WAS,L 16-31,,1,1,100.0,3,4,75.0,0,10,0,0,,0
48,1996,1996-11-03,9,27.364,IND,,SDG,L 19-26,,1,1,100.0,4,4,100.0,0,13,0,0,,0
49,1996,1996-11-10,10,28.005,IND,@,MIA,L 13-37,,1,1,100.0,2,2,100.0,0,7,0,0,,0
50,1996,1996-11-17,11,28.012,IND,,NYJ,W 34-29,,2,2,100.0,4,4,100.0,0,14,0,0,,0
51,1996,1996-11-24,12,28.019,IND,@,NWE,L 13-27,,1,1,100.0,2,2,100.0,0,7,0,0,,0
52,1996,1996-12-01,13,28.026,IND,,BUF,W 13-10,,1,1,100.0,2,4,50.0,0,7,0,0,,0
53,1996,1996-12-05,14,28.030,IND,,PHI,W 37-10,,4,4,100.0,3,3,100.0,0,13,0,0,,0
54,1996,1996-12-15,15,28.040,IND,@,KAN,W 24-19,,3,3,100.0,1,1,100.0,0,6,0,0,,0
55,1996,1996-12-22,16,28.047,IND,@,CIN,L 24-31,,3,3,100.0,1,1,100.0,0,6,0,0,,0
56,1997,1997-08-31,1,28.299,IND,@,MIA,L 10-16,,1,1,100.0,1,4,25.0,0,4,0,0,,0
57,1997,1997-09-07,2,28.306,IND,,NWE,L 6-31,,,,,2,2,100.0,0,6,0,0,,0
58,1997,1997-09-14,3,28.313,IND,,SEA,L 3-31,,,,,1,1,100.0,0,3,0,0,,0
59,1997,1997-09-21,4,28.320,IND,@,BUF,L 35-37,,2,2,100.0,5,5,100.0,0,17,0,0,,0
60,1997,1997-10-05,5,28.334,IND,,NYJ,L 12-16,,1,1,100.0,1,1,100.0,0,4,0,0,,0
61,1997,1997-10-12,6,28.341,IND,@,PIT,L 22-24,,1,1,100.0,3,4,75.0,0,10,0,0,,0
62,1997,1997-10-20,7,28.349,IND,,BUF,L 6-9,,,,,2,3,66.7,0,6,0,0,,0
63,1997,1997-10-26,8,28.355,IND,@,SDG,L 19-35,,1,1,100.0,,,,0,1,,,,
64,1997,1997-11-02,9,28.362,IND,,TAM,L 28-31,,2,2,100.0,2,3,66.7,0,8,0,0,,0
65,1997,1997-11-09,10,29.004,IND,,CIN,L 13-28,,1,1,100.0,2,3,66.7,0,7,0,0,,0
66,1997,1997-11-16,11,29.011,IND,,GNB,W 41-38,,1,1,100.0,4,5,80.0,0,13,0,0,,0
67,1997,1997-11-23,12,29.018,IND,@,DET,L 10-32,,1,1,100.0,1,1,100.0,0,4,0,0,,0
68,1997,1997-11-30,13,29.025,IND,@,NWE,L 17-20,,2,2,100.0,1,2,50.0,0,5,0,0,,0
69,1997,1997-12-07,14,29.032,IND,@,NYJ,W 22-14,,1,1,100.0,3,3,100.0,0,10,0,0,,0
70,1997,1997-12-14,15,29.039,IND,,MIA,W 41-0,,5,5,100.0,2,2,100.0,0,11,0,0,,0
71,1997,1997-12-21,16,29.046,IND,@,MIN,L 28-39,,2,2,100.0,2,2,100.0,0,8,0,0,,0
72,1998,1998-09-27,4,29.326,WAS,,DEN,L 16-38,,1,1,100.0,1,2,50.0,0,4,0,0,,0
73,1998,1998-10-04,5,29.333,WAS,,DAL,L 10-31,,1,1,100.0,1,1,100.0,0,4,0,0,,0
74,1998,1998-10-11,6,29.340,WAS,@,PHI,L 12-17,,,,,2,3,66.7,0,6,0,0,,0
75,1998,1998-10-18,7,29.347,WAS,@,MIN,L 7-41,,1,1,100.0,,1,0.0,0,1,0,0,,0
76,1998,1998-11-01,8,29.361,WAS,,NYG,W 21-14,,3,3,100.0,,,,0,3,,,,
77,1998,1998-11-08,9,30.003,WAS,@,ARI,L 27-29,,3,3,100.0,2,2,100.0,0,9,0,0,,0
78,1998,1998-11-15,10,30.010,WAS,,PHI,W 28-3,,4,4,100.0,,1,0.0,0,4,0,0,,0
79,1998,1998-11-22,11,30.017,WAS,,ARI,L 42-45,,4,5,80.0,,2,0.0,0,4,0,0,,0
80,1998,1998-11-29,12,30.024,WAS,@,OAK,W 29-19,,3,3,100.0,2,2,100.0,0,9,0,0,,0
