ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,def_int,def_int_yds,def_int_td
1,1963,1963-10-13,5,26.338,PHI,@,WAS,W 37-24,,,,,,,0,0,1,5,0
2,1963,1963-12-01,12,27.022,PHI,@,PIT,T 20-20,,,,,,,0,0,2,25,0
3,1964,1964-09-13,1,27.309,PHI,,NYG,W 38-7,,,,,,,0,0,1,26,0
4,1964,1964-09-20,2,27.316,PHI,,SFO,L 24-28,,,,,,,0,0,1,15,0
5,1964,1964-10-11,5,27.337,PHI,@,WAS,L 20-35,,,,,,,0,0,1,27,0
6,1965,1965-10-03,3,28.328,PHI,,CLE,L 17-35,2,2,100.0,1,1,100.0,0,5,0,0,0
7,1965,1965-10-10,4,28.335,PHI,@,DAL,W 35-24,5,5,100.0,,1,0.0,0,5,1,14,0
8,1966,1966-09-25,3,29.320,PHI,,NYG,W 35-17,,,,,,,0,0,1,24,0
9,1966,1966-10-30,8,29.355,PHI,,WAS,L 13-27,,,,,,,0,0,1,4,0
10,1966,1966-11-20,11,30.011,PHI,@,SFO,W 35-34,,,,,,,0,0,1,18,0
11,1967,1967-10-29,7,30.354,PHI,,DAL,W 21-14,,,,,,,0,0,1,1,0
12,1969,1969-10-26,6,32.351,PHI,,NOR,W 13-10,,,,,,,0,0,1,14,0
13,1969,1969-11-23,10,33.014,PHI,@,STL,W 34-30,,,,,,,0,0,1,8,0
14,1970,1970-09-20,1,33.315,PHI,,DAL,L 7-17,,,,,,,,,,,
15,1970,1970-09-27,2,33.322,PHI,@,CHI,L 16-20,,,,,,,,,,,
16,1970,1970-10-04,3,33.329,PHI,,WAS,L 21-33,,,,,,,,,,,
17,1970,1970-10-11,4,33.336,PHI,@,NYG,L 23-30,,,,,,,,,,,
18,1970,1970-10-18,5,33.343,PHI,,STL,L 20-35,,,,,,,,,,,
19,1970,1970-10-25,6,33.350,PHI,@,GNB,L 17-30,,,,,,,,,,,
20,1970,1970-11-15,9,34.006,PHI,,ATL,T 13-13,,,,,,,,,,,
21,1970,1970-11-23,10,34.014,PHI,,NYG,W 23-20,,,,,,,,,,,
22,1970,1970-11-29,11,34.020,PHI,@,STL,L 14-23,,,,,,,,,,,
23,1970,1970-12-06,12,34.027,PHI,@,BAL,L 10-29,,,,,,,,,,,
24,1970,1970-12-13,13,34.034,PHI,@,WAS,L 6-24,,,,,,,,,,,
25,1970,1970-12-20,14,34.041,PHI,,PIT,W 30-20,,,,,,,,,,,
