ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1999,1999-09-12,1,24.045,IND,,BUF,W 31-14,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0
2,1999,1999-09-19,2,24.052,IND,@,NWE,L 28-31,,0,0,0,,0,0.0%,,0,0,,0,5,97,19.40,0,3,38,12.67,0,0,0
3,1999,1999-09-26,3,24.059,IND,@,SDG,W 27-19,,2,2,37,18.50,1,100.0%,18.50,0,0,,0,1,23,23.00,0,4,31,7.75,0,1,6
4,1999,1999-10-10,4,24.073,IND,,MIA,L 31-34,*,4,4,81,20.25,0,100.0%,20.25,0,0,,0,4,153,38.25,1,2,14,7.00,0,1,6
5,1999,1999-10-17,5,24.080,IND,@,NYJ,W 16-13,,1,2,40,20.00,1,200.0%,40.00,0,0,,0,2,33,16.50,0,1,11,11.00,0,1,6
6,1999,1999-10-24,6,24.087,IND,,CIN,W 31-10,*,4,3,54,18.00,0,75.0%,13.50,0,0,,0,0,0,,0,4,28,7.00,0,0,0
7,1999,1999-10-31,7,24.094,IND,,DAL,W 34-24,*,7,5,60,12.00,0,71.4%,8.57,1,2,2.00,0,5,121,24.20,0,3,12,4.00,0,0,0
8,1999,1999-11-07,8,24.101,IND,,KAN,W 25-17,*,4,3,26,8.67,0,75.0%,6.50,0,0,,0,4,95,23.75,0,3,27,9.00,0,0,0
9,1999,1999-11-14,9,24.108,IND,@,NYG,W 27-19,*,5,1,3,3.00,0,20.0%,0.60,0,0,,0,3,69,23.00,0,2,56,28.00,1,1,6
10,1999,1999-11-21,10,24.115,IND,@,PHI,W 44-17,*,6,4,111,27.75,1,66.7%,18.50,0,0,,0,2,39,19.50,0,4,18,4.50,0,1,6
11,1999,1999-11-28,11,24.122,IND,,NYJ,W 13-6,*,7,5,39,7.80,0,71.4%,5.57,0,0,,0,3,80,26.67,0,4,37,9.25,0,0,0
12,1999,1999-12-05,12,24.129,IND,@,MIA,W 37-34,,4,2,25,12.50,1,50.0%,6.25,0,0,,0,5,105,21.00,0,3,41,13.67,0,1,6
13,1999,1999-12-12,13,24.136,IND,,NWE,W 20-15,*,6,3,18,6.00,0,50.0%,3.00,0,0,,0,3,54,18.00,0,1,10,10.00,0,0,0
14,1999,1999-12-19,14,24.143,IND,,WAS,W 24-21,*,2,2,18,9.00,0,100.0%,9.00,0,0,,0,4,100,25.00,0,2,4,2.00,0,0,0
15,1999,1999-12-26,15,24.150,IND,@,CLE,W 29-28,*,7,3,28,9.33,0,42.9%,4.00,0,0,,0,5,65,13.00,0,4,56,14.00,0,0,0
16,1999,2000-01-02,16,24.157,IND,@,BUF,L 6-31,*,8,3,25,8.33,0,37.5%,3.13,0,0,,0,5,100,20.00,0,1,5,5.00,0,0,0
17,2000,2000-09-25,3,25.058,IND,,JAX,W 43-14,*,11,9,148,16.44,1,81.8%,13.45,0,0,,0,0,0,,0,4,20,5.00,0,1,6
18,2000,2000-10-01,4,25.064,IND,@,BUF,W 18-16,*,4,1,10,10.00,1,25.0%,2.50,0,0,,0,0,0,,0,1,14,14.00,0,1,6
19,2000,2000-10-08,5,25.071,IND,@,NWE,L 16-24,*,10,6,78,13.00,0,60.0%,7.80,1,2,2.00,0,0,0,,0,2,6,3.00,0,0,0
20,2000,2000-10-15,6,25.078,IND,@,SEA,W 37-24,*,9,5,32,6.40,0,55.6%,3.56,0,0,,0,0,0,,0,1,5,5.00,0,0,0
21,2000,2000-10-22,7,25.085,IND,,NWE,W 30-23,,5,4,33,8.25,0,80.0%,6.60,1,6,6.00,0,0,0,,0,2,28,14.00,0,0,0
22,2000,2000-10-29,8,25.092,IND,,DET,W 30-18,*,5,2,27,13.50,0,40.0%,5.40,0,0,,0,2,45,22.50,0,3,26,8.67,0,0,0
23,2000,2000-11-05,9,25.099,IND,@,CHI,L 24-27,*,2,0,0,,0,0.0%,0.00,0,0,,0,1,17,17.00,0,0,0,,0,0,0
24,2000,2000-11-12,10,25.106,IND,,NYJ,W 23-15,,2,1,10,10.00,0,50.0%,5.00,0,0,,0,1,22,22.00,0,1,6,6.00,0,0,0
25,2000,2000-11-19,11,25.113,IND,@,GNB,L 24-26,,2,2,30,15.00,0,100.0%,15.00,0,0,,0,4,79,19.75,0,0,0,,0,0,0
26,2000,2000-11-26,12,25.120,IND,,MIA,L 14-17,,3,2,34,17.00,0,66.7%,11.33,0,0,,0,1,16,16.00,0,4,67,16.75,0,0,0
27,2000,2000-12-03,13,25.127,IND,@,NYJ,L 17-27,,10,7,109,15.57,1,70.0%,10.90,0,0,,0,1,24,24.00,0,1,9,9.00,0,1,6
28,2000,2000-12-11,14,25.135,IND,,BUF,W 44-20,,2,2,37,18.50,0,100.0%,18.50,1,0,0.00,0,0,0,,0,4,39,9.75,0,0,0
29,2000,2000-12-17,15,25.141,IND,@,MIA,W 20-13,,0,0,0,,0,0.0%,,0,0,,0,3,44,14.67,0,3,7,2.33,0,0,0
30,2000,2000-12-24,16,25.148,IND,,MIN,W 31-10,,2,2,21,10.50,0,100.0%,10.50,0,0,,0,2,32,16.00,0,3,13,4.33,0,0,0
31,2001,2001-09-09,1,26.042,IND,@,NYJ,W 45-24,,3,3,31,10.33,0,100.0%,10.33,0,0,,0,2,59,29.50,0,4,105,26.25,1,1,6
32,2001,2001-09-23,2,26.056,IND,,BUF,W 42-26,,0,0,0,,0,0.0%,,0,0,,0,4,97,24.25,0,3,16,5.33,0,0,0
33,2001,2001-09-30,3,26.063,IND,@,NWE,L 13-44,,5,3,15,5.00,0,60.0%,3.00,0,0,,0,5,104,20.80,0,2,4,2.00,0,0,0
34,2001,2001-10-14,4,26.077,IND,,OAK,L 18-23,,8,5,46,9.20,0,62.5%,5.75,0,0,,0,0,0,,0,2,25,12.50,0,0,0
35,2001,2001-11-04,7,26.098,IND,@,BUF,W 30-14,,3,2,24,12.00,0,66.7%,8.00,0,0,,0,2,48,24.00,0,0,0,,0,0,0
36,2001,2001-11-11,8,26.105,IND,,MIA,L 24-27,,6,4,20,5.00,0,66.7%,3.33,0,0,,0,6,157,26.17,0,3,23,7.67,0,0,0
37,2001,2001-11-18,9,26.112,IND,@,NOR,L 20-34,,1,1,13,13.00,0,100.0%,13.00,0,0,,0,6,115,19.17,0,2,5,2.50,0,0,0
38,2001,2001-11-25,10,26.119,IND,,SFO,L 21-40,*,13,8,87,10.88,0,61.5%,6.69,0,0,,0,5,109,21.80,0,4,24,6.00,0,0,0
39,2001,2001-12-02,11,26.126,IND,@,BAL,L 27-39,*,11,5,61,12.20,0,45.5%,5.55,0,0,,0,8,173,21.63,0,0,0,,0,0,0
40,2001,2001-12-10,12,26.134,IND,@,MIA,L 6-41,*,1,0,0,,0,0.0%,0.00,0,0,,0,1,26,26.00,0,0,0,,0,0,0
41,2001,2001-12-30,15,26.154,IND,@,STL,L 17-42,*,5,3,35,11.67,0,60.0%,7.00,0,0,,0,5,119,23.80,0,1,17,17.00,0,0,0
42,2002,2002-09-08,1,27.041,STL,@,DEN,L 16-23,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,3,14,4.67,0,0,0
43,2002,2002-09-15,2,27.048,STL,,NYG,L 21-26,,0,0,0,,0,0.0%,,0,0,,0,6,169,28.17,0,2,26,13.00,0,0,0
44,2002,2002-09-23,3,27.056,STL,@,TAM,L 14-26,,1,1,10,10.00,0,100.0%,10.00,1,2,2.00,0,4,68,17.00,0,1,7,7.00,0,0,0
45,2002,2002-09-29,4,27.062,STL,,DAL,L 10-13,,0,0,0,,0,0.0%,,0,0,,0,3,69,23.00,0,3,1,0.33,0,0,0
46,2002,2002-10-06,5,27.069,STL,@,SFO,L 13-37,,0,0,0,,0,0.0%,,0,0,,0,6,169,28.17,0,2,4,2.00,0,0,0
47,2002,2002-10-13,6,27.076,STL,,OAK,W 28-13,,1,1,14,14.00,0,100.0%,14.00,0,0,,0,3,70,23.33,0,2,58,29.00,0,0,0
48,2002,2002-10-20,7,27.083,STL,,SEA,W 37-20,,1,1,-2,-2.00,0,100.0%,-2.00,3,32,10.67,0,2,36,18.00,0,0,0,,0,0,0
49,2002,2002-11-03,8,27.097,STL,@,ARI,W 27-14,,0,0,0,,0,0.0%,,0,0,,0,3,65,21.67,0,2,6,3.00,0,0,0
50,2002,2002-11-10,9,27.104,STL,,SDG,W 28-24,,1,0,0,,0,0.0%,0.00,0,0,,0,3,62,20.67,0,2,-6,-3.00,0,0,0
51,2002,2002-11-18,10,27.112,STL,,CHI,W 21-16,,0,0,0,,0,0.0%,,0,0,,0,4,83,20.75,0,1,0,0.00,0,0,0
52,2002,2002-11-24,11,27.118,STL,@,WAS,L 17-20,,1,1,4,4.00,0,100.0%,4.00,1,18,18.00,0,3,66,22.00,0,0,0,,0,0,0
53,2002,2002-12-01,12,27.125,STL,@,PHI,L 3-10,,0,0,0,,0,0.0%,,0,0,,0,3,59,19.67,0,4,38,9.50,0,0,0
54,2002,2002-12-08,13,27.132,STL,@,KAN,L 10-49,,1,1,5,5.00,0,100.0%,5.00,1,4,4.00,0,7,158,22.57,0,3,94,31.33,0,0,0
55,2003,2003-11-16,10,28.110,IND,,NYJ,W 38-31,,0,0,0,,0,0.0%,,0,0,,0,5,127,25.40,0,2,8,4.00,0,0,0
56,2003,2003-11-23,11,28.117,IND,@,BUF,W 17-14,,0,0,0,,0,0.0%,,0,0,,0,3,74,24.67,0,4,17,4.25,0,0,0
57,2003,2003-11-30,12,28.124,IND,,NWE,L 34-38,,0,0,0,,0,0.0%,,0,0,,0,6,124,20.67,0,1,0,0.00,0,0,0
58,2006,2006-09-10,1,31.043,IND,@,NYG,W 26-21,,0,0,0,,0,0.0%,,0,0,,0,4,111,27.75,0,1,1,1.00,0,0,0
59,2006,2006-09-17,2,31.050,IND,,HOU,W 43-24,,0,0,0,,0,0.0%,,0,0,,0,4,84,21.00,0,3,18,6.00,0,0,0
60,2006,2006-09-24,3,31.057,IND,,JAX,W 21-14,,0,0,0,,0,0.0%,,0,0,,0,2,30,15.00,0,3,82,27.33,1,1,6
61,2006,2006-10-01,4,31.064,IND,@,NYJ,W 31-28,,0,0,0,,0,0.0%,,0,0,,0,4,84,21.00,0,3,25,8.33,0,0,0
62,2006,2006-10-22,6,31.085,IND,,WAS,W 36-22,,0,0,0,,0,0.0%,,0,0,,0,3,72,24.00,0,2,6,3.00,0,0,0
63,2006,2006-10-29,7,31.092,IND,@,DEN,W 34-31,,0,0,0,,0,0.0%,,0,0,,0,2,49,24.50,0,1,19,19.00,0,0,0
64,2006,2006-11-05,8,31.099,IND,@,NWE,W 27-20,,0,0,0,,0,0.0%,,0,0,,0,5,175,35.00,0,1,3,3.00,0,0,0
65,2006,2006-11-12,9,31.106,IND,,BUF,W 17-16,,0,0,0,,0,0.0%,,0,0,,0,5,116,23.20,0,1,0,0.00,0,0,0
66,2006,2006-11-19,10,31.113,IND,@,DAL,L 14-21,,0,0,0,,0,0.0%,,0,0,,0,4,90,22.50,0,0,0,,0,0,0
67,2006,2006-11-26,11,31.120,IND,,PHI,W 45-21,,0,0,0,,0,0.0%,,0,0,,0,4,113,28.25,0,2,25,12.50,0,0,0
68,2006,2006-12-03,12,31.127,IND,@,TEN,L 17-20,,0,0,0,,0,0.0%,,0,0,,0,2,47,23.50,0,0,0,,0,0,0
69,2006,2006-12-10,13,31.134,IND,@,JAX,L 17-44,,0,0,0,,0,0.0%,,0,0,,0,4,78,19.50,0,0,0,,0,0,0
70,2006,2006-12-18,14,31.142,IND,,CIN,W 34-16,,0,0,0,,0,0.0%,,0,0,,0,5,119,23.80,0,3,6,2.00,0,0,0
71,2006,2006-12-24,15,31.148,IND,@,HOU,L 24-27,,0,0,0,,0,0.0%,,0,0,,0,4,104,26.00,0,0,0,,0,0,0
72,2006,2006-12-31,16,31.155,IND,,MIA,W 27-22,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,1,8,8.00,0,0,0
