ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td
1,1987,1987-10-04,3,23.032,RAI,,KAN,W 35-17,2,66,33.00,0
2,1987,1987-10-12,4,23.040,RAI,@,DEN,L 14-30,3,32,10.67,0
3,1987,1987-10-18,5,23.046,RAI,,SDG,L 17-23,,,,
