ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2013,2013-09-08,1,23.191,IND,,OAK,W 21-17,,,,,,,0.0%,,,,,,,,,,,,,,
2,2013,2013-09-15,2,23.198,IND,,MIA,L 20-24,,3,2,28,14.00,0,66.7%,9.33,0,0,,0,0,0,,0,0,0,0.0,0,1
3,2013,2013-09-22,3,23.205,IND,@,SFO,W 27-7,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,1,0
4,2013,2013-11-03,8,23.247,IND,@,HOU,W 27-24,,9,3,32,10.67,0,33.3%,3.56,0,0,,0,0,0,,0,0,0,0.0,0,0
5,2013,2013-11-10,9,23.254,IND,,STL,L 8-38,,5,3,36,12.00,0,60.0%,7.20,0,0,,0,0,0,,0,0,0,0.0,0,1
6,2013,2013-11-14,10,23.258,IND,@,TEN,W 30-27,,3,1,6,6.00,0,33.3%,2.00,0,0,,0,0,0,,0,0,0,0.0,0,0
7,2013,2013-12-15,14,23.289,IND,,HOU,W 25-3,*,5,4,45,11.25,1,80.0%,9.00,1,22,22.00,0,3,67,22.33,0,1,6,0.0,0,0
8,2013,2013-12-22,15,23.296,IND,@,KAN,W 23-7,*,8,7,80,11.43,0,87.5%,10.00,0,0,,0,4,32,8.00,0,0,0,0.0,0,0
9,2013,2013-12-29,16,23.303,IND,,JAX,W 30-10,*,7,4,32,8.00,1,57.1%,4.57,0,0,,0,1,5,5.00,0,1,6,0.0,0,0
10,2014,2014-09-07,1,24.190,IND,@,DEN,L 24-31,,0,0,0,,0,0.0%,,0,0,,0,5,24,4.80,0,0,0,0.0,1,0
11,2014,2014-09-15,2,24.198,IND,,PHI,L 27-30,,0,0,0,,0,0.0%,,1,29,29.00,0,4,44,11.00,0,0,0,0.0,0,0
12,2014,2014-09-21,3,24.204,IND,@,JAX,W 44-17,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0
13,2014,2014-09-28,4,24.211,IND,,TEN,W 41-17,,0,0,0,,0,0.0%,,2,61,30.50,0,4,14,3.50,0,0,0,0.0,0,0
14,2014,2014-10-05,5,24.218,IND,,BAL,W 20-13,,0,0,0,,0,0.0%,,1,25,25.00,0,3,7,2.33,0,0,0,0.0,0,0
15,2014,2014-10-09,6,24.222,IND,@,HOU,W 33-28,,0,0,0,,0,0.0%,,3,79,26.33,0,2,31,15.50,0,0,0,0.0,0,0
16,2014,2014-10-19,7,24.232,IND,,CIN,W 27-0,,0,0,0,,0,0.0%,,1,27,27.00,0,2,13,6.50,0,0,0,0.0,0,1
17,2014,2014-10-26,8,24.239,IND,@,PIT,L 34-51,,3,2,23,11.50,0,66.7%,7.67,5,122,24.40,0,1,16,16.00,0,0,0,0.0,0,0
18,2014,2014-11-03,9,24.247,IND,@,NYG,W 40-24,,0,0,0,,0,0.0%,,2,36,18.00,0,5,38,7.60,0,0,0,0.0,0,0
19,2014,2014-11-16,10,24.260,IND,,NWE,L 20-42,,,,,,,0.0%,,,,,,,,,,,,,,
20,2015,2015-09-13,1,25.196,IND,@,BUF,L 14-27,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0
21,2015,2015-09-21,2,25.204,IND,,NYJ,L 7-20,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0
