ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
1,2004,2004-09-26,3,26.265,MIA,,PIT,L 3-13,,21,41,1.95,0,3,0,0,,0,0.0%,0.00
2,2004,2004-10-03,4,26.272,MIA,,NYJ,L 9-17,*,18,85,4.72,0,3,3,12,4.00,0,100.0%,4.00
3,2004,2004-10-10,5,26.279,MIA,@,NWE,L 10-24,*,5,10,2.00,0,0,0,0,,0,0.0%,
4,2004,2004-10-17,6,26.286,MIA,@,BUF,L 13-20,,,,,,,,,,,0.0%,
5,2004,2004-11-28,11,26.328,MIA,@,SFO,W 24-17,,,,,,,,,,,0.0%,
6,2004,2004-12-05,12,26.335,MIA,,BUF,L 32-42,,2,5,2.50,0,0,0,0,,0,0.0%,
