ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2009,2009-09-13,1,23.219,ATL,,MIA,W 19-7,,,,,,
2,2009,2009-09-20,2,23.226,ATL,,CAR,W 28-20,,,,,,
3,2009,2009-09-27,3,23.233,ATL,@,NWE,L 10-26,,0,0,0.0,0,0
4,2009,2009-10-11,4,23.247,ATL,@,SFO,W 45-10,,,,,,
5,2009,2009-10-18,5,23.254,ATL,,CHI,W 21-14,,,,,,
6,2009,2009-10-25,6,23.261,ATL,@,DAL,L 21-37,,,,,,
7,2009,2009-11-02,7,23.269,ATL,@,NOR,L 27-35,,,,,,
8,2009,2009-11-08,8,23.275,ATL,,WAS,W 31-17,,,,,,
9,2009,2009-11-15,9,23.282,ATL,@,CAR,L 19-28,,,,,,
10,2009,2009-11-22,10,23.289,ATL,@,NYG,L 31-34,,,,,,
11,2009,2009-11-29,11,23.296,ATL,,TAM,W 20-17,,,,,,
12,2009,2009-12-06,12,23.303,ATL,,PHI,L 7-34,,0,0,1.0,3,0
13,2009,2009-12-13,13,23.310,ATL,,NOR,L 23-26,,,,,,
14,2009,2009-12-20,14,23.317,ATL,@,NYJ,W 10-7,,0,0,0.0,1,0
15,2009,2009-12-27,15,23.324,ATL,,BUF,W 31-3,,1,6,0.0,0,0
16,2009,2010-01-03,16,23.331,ATL,@,TAM,W 20-10,,,,,,
17,2010,2010-09-12,1,24.218,ATL,@,PIT,L 9-15,,,,,,
18,2010,2010-09-19,2,24.225,ATL,,ARI,W 41-7,,,,,,
19,2010,2010-09-26,3,24.232,ATL,@,NOR,W 27-24,,,,,,
20,2010,2010-10-03,4,24.239,ATL,,SFO,W 16-14,,,,,,
21,2010,2010-10-24,7,24.260,ATL,,CIN,W 39-32,,,,,,
22,2010,2010-11-21,10,24.288,ATL,@,STL,W 34-17,,,,,,
23,2011,2011-09-11,1,25.217,ATL,@,CHI,L 12-30,,0,0,1.0,3,0
24,2011,2011-09-18,2,25.224,ATL,,PHI,W 35-31,,,,,,
25,2011,2011-09-25,3,25.231,ATL,@,TAM,L 13-16,,,,,,
26,2011,2011-10-02,4,25.238,ATL,@,SEA,W 30-28,,,,,,
27,2011,2011-10-09,5,25.245,ATL,,GNB,L 14-25,,0,0,1.0,1,0
28,2011,2011-10-16,6,25.252,ATL,,CAR,W 31-17,,0,0,0.0,0,1
29,2011,2011-10-23,7,25.259,ATL,@,DET,W 23-16,,,,,,
30,2011,2011-11-06,8,25.273,ATL,@,IND,W 31-7,,,,,,
31,2011,2011-11-13,9,25.280,ATL,,NOR,L 23-26,,,,,,
32,2011,2011-11-20,10,25.287,ATL,,TEN,W 23-17,,,,,,
33,2011,2011-11-27,11,25.294,ATL,,MIN,W 24-14,,0,0,2.0,2,0
34,2011,2011-12-04,12,25.301,ATL,@,HOU,L 10-17,,,,,,
35,2011,2011-12-11,13,25.308,ATL,@,CAR,W 31-23,,0,0,0.0,1,0
36,2011,2011-12-15,14,25.312,ATL,,JAX,W 41-14,,,,,,
37,2011,2011-12-26,15,25.323,ATL,@,NOR,L 16-45,,0,0,0.0,0,1
38,2011,2012-01-01,16,25.329,ATL,,TAM,W 45-24,,0,0,0.0,1,0
39,2012,2012-09-17,2,26.224,ATL,,DEN,W 27-21,,,,,,
40,2012,2012-09-23,3,26.230,ATL,@,SDG,W 27-3,,0,0,0.0,0,1
41,2012,2012-09-30,4,26.237,ATL,,CAR,W 30-28,,,,,,
42,2012,2012-10-07,5,26.244,ATL,@,WAS,W 24-17,,,,,,
43,2012,2012-10-14,6,26.251,ATL,,OAK,W 23-20,,,,,,
44,2012,2012-10-28,7,26.265,ATL,@,PHI,W 30-17,,,,,,
45,2012,2012-11-04,8,26.272,ATL,,DAL,W 19-13,,,,,,
46,2012,2012-11-11,9,26.279,ATL,@,NOR,L 27-31,,,,,,
47,2012,2012-12-22,15,26.320,ATL,@,DET,W 31-18,,,,,,
48,2012,2012-12-30,16,26.328,ATL,,TAM,L 17-22,,,,,,
49,2014,2014-12-28,16,28.325,TAM,,NOR,L 20-23,,0,0,0.0,1,0
50,2015,2015-11-22,10,29.289,TAM,@,PHI,W 45-17,,0,0,0.0,0,0
