ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1987,1987-09-13,1,23.349,CIN,@,IND,W 23-21,,,,,,,,,,,
2,1987,1987-09-20,2,23.356,CIN,,SFO,L 26-27,,,,,,,,,,,
3,1987,1987-10-25,6,24.026,CIN,@,PIT,L 20-23,,,,,,,,,,,
4,1987,1987-11-01,7,24.033,CIN,,HOU,L 29-31,,,,,,,,,,,
5,1987,1987-11-08,8,24.040,CIN,,MIA,L 14-20,,,,,,,,,,,
6,1987,1987-11-15,9,24.047,CIN,@,ATL,W 16-10,,,,,,,,,,,
7,1987,1987-12-13,13,24.075,CIN,@,CLE,L 24-38,,,,,,,,,,,
8,1987,1987-12-20,14,24.082,CIN,,NOR,L 24-41,,,,,,,,,,,
9,1987,1987-12-27,15,24.089,CIN,@,HOU,L 17-21,,,,,,,,,,,
10,1988,1988-09-04,1,24.341,CIN,,PHO,W 21-14,,0,0,,0,,,0,0,,0
11,1988,1988-09-11,2,24.348,CIN,@,PHI,W 28-24,,0,0,,0,,,0,0,,0
12,1988,1988-09-18,3,24.355,CIN,@,PIT,W 17-12,,0,0,,0,,,0,0,,0
13,1988,1988-09-25,4,24.362,CIN,,CLE,W 24-17,,1,16,16.00,0,,,0,0,,0
14,1988,1988-10-02,5,25.003,CIN,@,RAI,W 45-21,,0,0,,0,,,0,0,,0
15,1988,1988-10-09,6,25.010,CIN,,NYJ,W 36-19,,1,12,12.00,0,,,0,0,,0
16,1988,1988-10-16,7,25.017,CIN,@,NWE,L 21-27,,2,6,3.00,0,,,0,0,,0
17,1988,1988-10-23,8,25.024,CIN,,HOU,W 44-21,,0,0,,0,,,0,0,,0
18,1988,1988-10-30,9,25.031,CIN,@,CLE,L 16-23,,1,8,8.00,0,,,0,0,,0
19,1988,1988-11-06,10,25.038,CIN,,PIT,W 42-7,,1,7,7.00,0,,,0,0,,0
20,1988,1988-11-13,11,25.045,CIN,@,KAN,L 28-31,,2,19,9.50,0,,,0,0,,0
21,1988,1988-11-20,12,25.052,CIN,@,DAL,W 38-24,,0,0,,0,,,0,0,,0
22,1988,1988-11-27,13,25.059,CIN,,BUF,W 35-21,,1,14,14.00,0,,,0,0,,0
23,1988,1988-12-04,14,25.066,CIN,,SDG,W 27-10,,0,0,,0,,,0,0,,0
24,1988,1988-12-11,15,25.073,CIN,@,HOU,L 6-41,,0,0,,0,,,0,0,,0
25,1988,1988-12-17,16,25.079,CIN,,WAS,W 20-17,,0,0,,0,,,0,0,,0
26,1989,1989-10-22,7,26.023,CIN,,IND,L 12-23,,0,0,,0,,,,,,
27,1989,1989-10-29,8,26.030,CIN,,TAM,W 56-23,,1,5,5.00,0,,,0,0,,0
28,1989,1989-11-05,9,26.037,CIN,@,RAI,L 7-28,,0,0,,0,,,,,,
29,1989,1989-11-13,10,26.045,CIN,@,HOU,L 24-26,,0,0,,0,,,,,,
30,1989,1989-11-19,11,26.051,CIN,,DET,W 42-7,,1,3,3.00,0,,,0,0,,0
31,1989,1989-11-26,12,26.058,CIN,@,BUF,L 7-24,,2,16,8.00,0,,,0,0,,0
32,1989,1989-12-03,13,26.065,CIN,@,CLE,W 21-0,,0,0,,0,,,,,,
33,1989,1989-12-10,14,26.072,CIN,,SEA,L 17-24,,0,0,,0,,,,,,
34,1989,1989-12-17,15,26.079,CIN,,HOU,W 61-7,,1,5,5.00,0,,,0,0,,0
35,1989,1989-12-25,16,26.087,CIN,@,MIN,L 21-29,,0,0,,0,,,,,,
36,1990,1990-09-09,1,26.345,CIN,,NYJ,W 25-20,,2,16,8.00,0,,,0,0,,0
37,1990,1990-09-16,2,26.352,CIN,@,SDG,W 21-16,,0,0,,0,,,0,0,,0
38,1990,1990-09-23,3,26.359,CIN,,NWE,W 41-7,,0,0,,0,,,0,0,,0
39,1990,1990-10-01,4,27.002,CIN,@,SEA,L 16-31,,2,22,11.00,0,,,0,0,,0
40,1990,1990-10-07,5,27.008,CIN,@,RAM,W 34-31,,0,0,,0,,,0,0,,0
41,1990,1990-10-14,6,27.015,CIN,@,HOU,L 17-48,,1,21,21.00,0,,,0,0,,0
42,1990,1990-10-22,7,27.023,CIN,@,CLE,W 34-13,,0,0,,0,,,0,0,,0
43,1990,1990-10-28,8,27.029,CIN,@,ATL,L 17-38,,1,9,9.00,0,,,0,0,,0
