ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2004,2004-09-13,1,21.040,GNB,@,CAR,W 24-14,,0,,,,,0.0%,,,,,,,,,,,
2,2004,2004-09-19,2,21.046,GNB,,CHI,L 10-21,,0,0,0,,0,0.0%,,2,31,15.50,0,0.0,,,0,0,0
3,2004,2004-10-11,5,21.068,GNB,,TEN,L 27-48,,0,,,,,0.0%,,,,,,,,,,,
4,2004,2004-10-17,6,21.074,GNB,@,DET,W 38-10,*,0,,,,,0.0%,,,,,,,,,,,
5,2004,2004-10-24,7,21.081,GNB,,DAL,W 41-20,*,0,,,,,0.0%,,,,,,,,,,,
6,2004,2004-10-31,8,21.088,GNB,@,WAS,W 28-14,*,0,0,0,,0,0.0%,,0,0,,0,1.0,,,0,0,0
7,2004,2004-11-14,9,21.102,GNB,,MIN,W 34-31,*,0,,,,,0.0%,,,,,,,,,,,
8,2004,2004-11-21,10,21.109,GNB,@,HOU,W 16-13,*,0,,,,,0.0%,,,,,,,,,,,
9,2004,2004-11-29,11,21.117,GNB,,STL,W 45-17,*,0,0,0,,0,0.0%,,0,0,,0,0.0,,,1,0,0
10,2004,2004-12-05,12,21.123,GNB,@,PHI,L 17-47,*,0,0,0,,0,0.0%,,0,0,,0,1.0,,,0,0,0
11,2004,2004-12-12,13,21.130,GNB,,DET,W 16-13,*,0,,,,,0.0%,,,,,,,,,,,
12,2004,2004-12-19,14,21.137,GNB,,JAX,L 25-28,*,0,,,,,0.0%,,,,,,,,,,,
13,2004,2004-12-24,15,21.142,GNB,@,MIN,W 34-31,*,0,,,,,0.0%,,,,,,,,,,,
14,2004,2005-01-02,16,21.151,GNB,@,CHI,W 31-14,*,0,,,,,0.0%,,,,,,,,,,,
15,2005,2005-09-11,1,22.038,GNB,@,DET,L 3-17,*,0,,,,,0.0%,,,,,,,,,,,
16,2005,2005-09-18,2,22.045,GNB,,CLE,L 24-26,*,0,0,0,,0,0.0%,,2,34,17.00,0,0.0,,,0,0,0
17,2005,2005-09-25,3,22.052,GNB,,TAM,L 16-17,*,0,0,0,,0,0.0%,,0,0,,0,0.0,,,1,38,0
18,2005,2005-10-03,4,22.060,GNB,@,CAR,L 29-32,*,0,,,,,0.0%,,,,,,,,,,,
19,2005,2005-10-09,5,22.066,GNB,,NOR,W 52-3,*,0,,,,,0.0%,,,,,,,,,,,
20,2005,2005-10-23,6,22.080,GNB,@,MIN,L 20-23,*,0,,,,,0.0%,,,,,,,,,,,
21,2005,2005-10-30,7,22.087,GNB,@,CIN,L 14-21,*,0,0,0,,0,0.0%,,0,0,,0,0.0,,,1,0,0
22,2005,2005-11-06,8,22.094,GNB,,PIT,L 10-20,*,0,,,,,0.0%,,,,,,,,,,,
23,2005,2005-11-13,9,22.101,GNB,@,ATL,W 33-25,*,0,,,,,0.0%,,,,,,,,,,,
24,2005,2005-11-21,10,22.109,GNB,,MIN,L 17-20,*,0,,,,,0.0%,,,,,,,,,,,
25,2005,2005-11-27,11,22.115,GNB,@,PHI,L 14-19,*,0,,,,,0.0%,,,,,,,,,,,
26,2005,2005-12-04,12,22.122,GNB,@,CHI,L 7-19,*,0,0,0,,0,0.0%,,2,43,21.50,0,0.0,,,0,0,0
27,2005,2005-12-11,13,22.129,GNB,,DET,W 16-13,*,0,0,0,,0,0.0%,,3,45,15.00,0,0.0,,,0,0,0
28,2005,2005-12-19,14,22.137,GNB,@,BAL,L 3-48,*,0,0,0,,0,0.0%,,5,118,23.60,0,0.0,,,0,0,0
29,2005,2005-12-25,15,22.143,GNB,,CHI,L 17-24,*,0,0,0,,0,0.0%,,5,97,19.40,0,0.0,,,0,0,0
30,2005,2006-01-01,16,22.150,GNB,,SEA,W 23-17,*,0,0,0,,0,0.0%,,2,53,26.50,0,0.0,,,0,0,0
31,2006,2006-09-10,1,23.037,GNB,,CHI,L 0-26,,0,,,,,0.0%,,,,,,,,,,,
32,2006,2006-09-17,2,23.044,GNB,,NOR,L 27-34,*,0,,,,,0.0%,,,,,,,,,,,
